date,Open,High,Low,Close,Volume
2025-10-31,345.18,347.2,343.4301,344.94,1558224.0
2025-10-30,347.09,353.92,345.11,347.9,1609866.0
2025-10-29,351.89,353.45,344.99,345.73,2037281.0
2025-10-28,356.425,368.615,345.97,354.45,5420913.0
2025-10-27,335.7,337.33,333.17,336.08,3088748.0
2025-10-24,334.5,337.68,332.3,334.0,2375277.0
2025-10-23,333.7,335.32,329.95,331.75,2346555.0
2025-10-22,337.78,339.059,333.14,333.81,1797715.0
2025-10-21,331.24,340.91,330.62,338.44,2268485.0
2025-10-20,332.18,333.75,328.98,331.24,3061363.0
2025-10-17,332.26,333.34,328.27,330.74,2203437.0
2025-10-16,334.5,334.5,329.59,331.46,1913946.0
2025-10-15,334.98,336.89,331.71,332.73,2245888.0
2025-10-14,329.78,337.04,329.25,335.27,3393520.0
2025-10-13,331.86,333.98,329.45,332.16,1697766.0
2025-10-10,335.99,337.86,331.72,332.81,2419298.0
2025-10-09,337.5,337.5,330.7905,333.22,2228618.0
2025-10-08,337.05,338.98,335.52,337.57,1548963.0
2025-10-07,336.84,337.455,334.73,337.0,1499853.0
2025-10-06,346.235,346.235,336.79,336.91,2032073.0
2025-10-03,343.8,349.68,342.6259,346.6,1188204.0
2025-10-02,340.03,344.705,339.17,343.9,1564091.0
2025-10-01,344.66,346.05,340.32,341.22,1414056.0
2025-09-30,342.77,346.7716,341.55,346.26,1332909.0
2025-09-29,342.54,343.41,340.59,342.92,1642141.0
2025-09-26,341.31,343.22,340.0,341.91,1039363.0
2025-09-25,341.12,343.01,338.9922,340.1,1582435.0
2025-09-24,342.8,346.81,342.45,342.96,1128156.0
2025-09-23,345.59,348.9,344.03,344.45,1350593.0
2025-09-22,345.61,348.78,343.95,346.41,1224182.0
2025-09-19,350.64,350.64,345.99,346.8,2559029.0
2025-09-18,350.1,353.06,347.98,349.56,1607995.0
2025-09-17,354.4,359.205,348.5,350.21,2165937.0
2025-09-16,356.55,357.4,352.38,353.2,2266115.0
2025-09-15,360.06,360.1,354.51,357.08,2016418.0
2025-09-12,365.84,367.48,359.99,360.1,1848812.0
2025-09-11,358.69,369.52,357.74,368.68,2078963.0
2025-09-10,358.94,362.24,354.59,357.45,1777820.0
2025-09-09,370.98,372.0,358.56,361.38,2210187.0
2025-09-08,372.38,375.59,370.62,375.23,1545017.0
2025-09-05,368.85,376.58,366.5,372.43,3066961.0
2025-09-04,365.5,366.96,361.75,365.78,1922919.0
2025-09-03,360.3,364.17,359.66,363.03,2514353.0
2025-09-02,361.47,363.16,359.24,360.92,1472540.0
2025-08-29,365.8,367.43,364.615,365.83,1328498.0
2025-08-28,368.15,368.33,364.08,366.18,1137046.0
2025-08-27,367.05,368.35,365.5825,367.4,812385.0
2025-08-26,367.4,367.975,364.97,366.46,1828383.0
2025-08-25,370.23,371.87,365.07,367.0,1411034.0
2025-08-22,365.93,379.65,363.3352,372.93,2298590.0
2025-08-21,364.14,366.31,360.88,363.86,1450130.0
2025-08-20,367.44,369.9999,365.16,367.13,1798278.0
2025-08-19,358.43,368.895,358.43,367.93,2089422.0
2025-08-18,364.11,364.725,358.26,358.85,2097300.0
2025-08-15,365.86,367.6223,362.35,364.4,1785136.0
2025-08-14,368.055,371.76,363.78,365.57,2615146.0
2025-08-13,360.06,370.06,359.765,368.83,2880924.0
2025-08-12,355.53,361.18,354.05,358.09,2567548.0
2025-08-11,353.16,356.98,350.5,354.58,2626035.0
2025-08-08,349.94,352.84,348.83,352.16,1628321.0
2025-08-07,354.97,354.97,347.93,349.93,1410294.0
2025-08-06,351.96,353.14,347.47,350.73,2134153.0
2025-08-05,348.45,352.12,347.6,352.09,1565444.0
2025-08-04,343.48,348.04,342.56,347.85,2145735.0
2025-08-01,329.77,345.0,327.54,343.41,4073921.0
2025-07-31,329.48,334.04,329.48,330.88,1752558.0
2025-07-30,335.19,336.97,330.825,331.98,1539721.0
2025-07-29,336.32,337.75,333.72,336.97,1518204.0
2025-07-28,338.03,340.6,334.32,336.16,1919641.0
2025-07-25,341.88,341.88,338.17,340.1,1868405.0
2025-07-24,340.075,347.1,338.795,340.21,2132383.0
2025-07-23,343.53,345.57,341.12,342.94,2234121.0
2025-07-22,331.43,341.18,328.1,340.07,3896953.0
2025-07-21,343.43,346.1382,340.1,341.3,2350922.0
2025-07-18,339.89,340.345,335.965,340.07,2202483.0
2025-07-17,339.6,341.255,337.48,339.9,1331617.0
2025-07-16,338.9,340.82,335.34,339.86,1273419.0
2025-07-15,346.0,346.76,338.81,339.05,1322189.0
2025-07-14,344.28,346.74,343.21,344.5,999820.0
2025-07-11,347.2,348.235,344.63,345.93,1038540.0
2025-07-10,351.0,356.27,350.97,351.83,1216370.0
2025-07-09,347.42,352.7,345.6835,351.54,2120078.0
2025-07-08,345.84,348.13,344.1,346.0,1319796.0
2025-07-07,352.96,352.96,343.98,346.29,2209222.0
2025-07-03,353.62,355.75,351.785,354.0,1088732.0
2025-07-02,354.58,356.3,351.415,352.51,1340775.0
2025-07-01,342.32,359.38,341.6,355.3,2310257.0
2025-06-30,345.21,345.74,341.0,343.36,1809764.0
2025-06-27,342.82,348.775,342.54,345.72,1366906.0
2025-06-26,345.03,345.03,339.375,341.87,1724507.0
2025-06-25,344.67,346.175,341.54,343.62,1614617.0
2025-06-24,347.86,349.45,340.77,345.69,1585101.0
2025-06-23,333.42,344.56,331.71,343.77,1600878.0
2025-06-20,334.0,337.18,330.22,333.5,2707376.0
2025-06-18,331.64,333.9522,329.9,331.47,1451757.0
2025-06-17,333.93,335.155,329.1401,331.03,1593467.0
2025-06-16,337.49,340.24,334.3,335.76,1706373.0
2025-06-13,350.29,350.29,335.12,335.88,2797956.0
2025-06-12,357.66,357.66,354.29,356.2,888460.0
2025-06-11,361.47,362.67,356.5,357.13,1115259.0
