date,Open,High,Low,Close,Volume
2025-10-31,51.14,51.5,50.49,51.35,1062840.0
2025-10-30,51.12,52.26,50.92,51.41,1079802.0
2025-10-29,52.38,52.98,51.0101,51.57,1456142.0
2025-10-28,52.4,53.69,51.9525,53.19,970852.0
2025-10-27,51.87,52.84,51.54,52.72,1003980.0
2025-10-24,52.23,52.285,50.94,51.86,1321051.0
2025-10-23,53.07,53.15,51.14,51.75,1190325.0
2025-10-22,52.83,53.71,52.595,53.08,1260572.0
2025-10-21,51.81,53.44,51.735,52.6,1325111.0
2025-10-20,52.85,53.0,50.9,51.71,1783804.0
2025-10-17,53.5,53.93,51.8711,52.59,2270242.0
2025-10-16,57.54,57.88,53.53,53.83,2627590.0
2025-10-15,56.19,58.01,55.95,57.14,1366738.0
2025-10-14,55.14,56.37,54.56,56.03,1198815.0
2025-10-13,56.25,56.265,55.25,55.47,768157.0
2025-10-10,57.18,57.18,55.14,55.17,978963.0
2025-10-09,57.88,58.16,56.435,56.86,820222.0
2025-10-08,59.2,59.71,58.01,58.04,781339.0
2025-10-07,59.165,59.6,58.9,59.07,677958.0
2025-10-06,59.68,59.7206,58.745,58.96,493542.0
2025-10-03,60.82,60.82,59.2,59.33,527961.0
2025-10-02,60.53,60.62,59.76,60.44,397172.0
2025-10-01,60.01,60.93,59.549,60.52,513697.0
2025-09-30,59.89,60.01,58.625,59.81,668441.0
2025-09-29,59.69,60.38,59.015,59.93,688841.0
2025-09-26,59.63,59.98,58.86,59.37,746857.0
2025-09-25,60.41,60.88,59.42,59.7,744750.0
2025-09-24,61.35,61.8025,60.69,61.0,621411.0
2025-09-23,61.57,62.28,61.44,61.66,487163.0
2025-09-22,61.76,62.08,60.71,61.42,630924.0
2025-09-19,62.64,63.03,61.16,61.66,2142025.0
2025-09-18,62.05,63.58,61.9001,63.03,1080548.0
2025-09-17,65.25,66.29,60.62,61.72,2622567.0
2025-09-16,65.04,65.84,64.5703,65.67,802415.0
2025-09-15,65.67,65.835,64.23,64.94,1159099.0
2025-09-12,64.83,66.15,64.205,65.67,1614323.0
2025-09-11,60.76,63.44,60.76,63.33,1243755.0
2025-09-10,59.31,60.6,59.1185,60.47,716899.0
2025-09-09,60.68,60.68,59.18,59.28,882647.0
2025-09-08,60.0,60.95,59.565,60.76,1040277.0
2025-09-05,60.71,62.2,60.665,61.99,1175432.0
2025-09-04,58.73,60.665,58.73,59.88,1046703.0
2025-09-03,56.44,58.9092,56.44,58.62,1237423.0
2025-09-02,55.62,56.47,55.565,56.47,860050.0
2025-08-29,56.53,57.325,56.53,56.89,867689.0
2025-08-28,56.98,56.98,56.07,56.88,521771.0
2025-08-27,55.7,57.08,55.69,56.88,860544.0
2025-08-26,55.96,56.455,55.16,55.63,1035018.0
2025-08-25,56.75,56.9,55.93,56.16,643293.0
2025-08-22,55.24,57.615,55.04,56.8,793922.0
2025-08-21,54.44,55.06,54.245,54.8,650731.0
2025-08-20,55.44,55.55,54.35,54.86,741077.0
2025-08-19,54.34,55.9,54.115,55.31,832726.0
2025-08-18,54.24,54.395,53.48,54.08,909503.0
2025-08-15,54.61,54.85,53.52,54.23,856122.0
2025-08-14,54.75,55.02,54.0201,54.47,737948.0
2025-08-13,54.0,55.62,53.7,55.53,607150.0
2025-08-12,52.61,53.86,52.38,53.79,820371.0
2025-08-11,53.4,53.61,51.96,52.04,1019607.0
2025-08-08,54.32,54.525,53.38,53.41,520995.0
2025-08-07,55.73,55.99,54.1,54.44,877916.0
2025-08-06,55.43,56.105,55.1775,55.43,773160.0
2025-08-05,56.32,56.32,53.61,55.47,1098008.0
2025-08-04,56.0,56.38,55.45,56.09,780657.0
2025-08-01,57.32,57.6,55.54,55.76,1185201.0
2025-07-31,56.97,57.72,56.72,57.25,856776.0
2025-07-30,59.39,59.39,56.85,57.63,1404063.0
2025-07-29,58.71,59.46,58.53,59.25,675571.0
2025-07-28,60.32,60.395,58.5,58.5,991586.0
2025-07-25,60.59,60.72,59.29,60.65,710712.0
2025-07-24,59.74,60.036,59.29,59.36,985776.0
2025-07-23,60.92,61.2,59.73,60.25,1020810.0
2025-07-22,59.77,61.0,59.77,60.62,759598.0
2025-07-21,60.25,60.79,59.82,59.83,785486.0
2025-07-18,61.67,61.67,59.99,60.19,1475330.0
2025-07-17,62.74,63.58,60.1,61.3,3332746.0
2025-07-16,62.97,63.99,62.33,63.91,1996570.0
2025-07-15,63.58,64.0,62.17,62.34,971905.0
2025-07-14,63.75,64.31,62.98,63.6,1160317.0
2025-07-11,62.82,64.045,62.4,63.94,841408.0
2025-07-10,62.24,64.07,62.1236,63.5,950040.0
2025-07-09,61.82,62.86,61.82,62.23,912796.0
2025-07-08,60.81,62.0,60.4836,61.71,843563.0
2025-07-07,61.46,61.675,60.61,60.88,744078.0
2025-07-03,62.24,62.52,61.65,61.87,687346.0
2025-07-02,62.42,62.785,61.49,62.3,1122163.0
2025-07-01,61.53,63.75,61.09,62.42,1590450.0
2025-06-30,61.99,61.99,60.515,61.9,1355452.0
2025-06-27,61.14,62.485,60.75,61.75,1248289.0
2025-06-26,59.21,60.73,58.62,60.62,1267851.0
2025-06-25,59.7,60.35,57.775,58.45,2456232.0
2025-06-24,63.0,63.5,60.63,61.97,1629073.0
2025-06-23,64.15,64.94,61.17,63.26,1487076.0
2025-06-20,65.02,65.13,64.11,64.33,1104632.0
2025-06-18,64.7,65.52,64.36,64.75,844416.0
2025-06-17,65.7,65.83,64.2,64.52,869685.0
2025-06-16,65.41,66.3725,65.005,65.94,807432.0
