date,Open,High,Low,Close,Volume
2025-10-31,445.3,456.235,442.69,453.82,1699437.0
2025-10-30,450.0,452.77,438.5501,442.93,1717041.0
2025-10-29,454.75,457.15,444.455,455.34,2315115.0
2025-10-28,461.68,462.4,445.0,456.83,2173824.0
2025-10-27,471.28,475.42,461.49,465.41,1720491.0
2025-10-24,461.65,473.49,458.13,464.18,1294614.0
2025-10-23,452.0,460.41,450.5,456.09,1384061.0
2025-10-22,456.48,465.7527,444.36,454.3,2755264.0
2025-10-21,448.25,459.69,445.01,459.04,1356252.0
2025-10-20,450.66,457.82,449.0,453.35,1539868.0
2025-10-17,435.64,456.84,435.26,447.64,2510448.0
2025-10-16,439.53,445.54,435.58,440.2,1931270.0
2025-10-15,446.26,448.8936,432.0,435.9,3109662.0
2025-10-14,436.41,452.8,433.36,443.76,2937588.0
2025-10-13,449.475,453.8,440.0,448.0,2260571.0
2025-10-10,484.41,487.58,437.2675,438.92,3588204.0
2025-10-09,487.5,488.08,480.69,484.41,1727503.0
2025-10-08,476.81,492.355,476.72,489.36,1789645.0
2025-10-07,484.11,484.11,468.425,477.83,1222238.0
2025-10-06,471.985,481.23,469.55,478.22,1650967.0
2025-10-03,473.5,475.8,466.59,469.17,2263600.0
2025-10-02,484.7,489.29,470.35,471.145,2693359.0
2025-10-01,488.75,495.72,484.5,488.78,2017588.0
2025-09-30,482.05,495.21,480.785,493.39,2649377.0
2025-09-29,488.0,491.96,478.28,481.61,2905471.0
2025-09-26,477.14,493.0,477.14,487.76,2533277.0
2025-09-25,462.5,487.585,462.0,487.2,3647299.0
2025-09-24,491.0,491.32,464.24,468.09,4028363.0
2025-09-23,511.455,512.9999,488.5801,490.32,3517931.0
2025-09-22,490.0,515.64,481.46,514.79,4831772.0
2025-09-19,479.0,498.05,475.2786,495.5,6099828.0
2025-09-18,460.0,483.24,448.0,480.11,8240335.0
2025-09-17,425.0,429.25,417.51,425.4,3082105.0
2025-09-16,420.55,427.37,417.0,425.97,3006152.0
2025-09-15,431.5,433.99,416.79,419.2,4432296.0
2025-09-12,443.82,444.19,421.94,425.45,6689000.0
2025-09-11,415.965,439.68,405.5,438.1,15275581.0
2025-09-10,427.8,429.6399,380.84,387.78,21155816.0
2025-09-09,610.94,614.89,602.5,604.37,2236236.0
2025-09-08,600.92,615.7925,599.22,609.08,1729462.0
2025-09-05,609.77,615.75,594.605,598.14,1389122.0
2025-09-04,591.99,602.85,584.0001,601.96,1012922.0
2025-09-03,590.76,593.7,586.77,592.12,822879.0
2025-09-02,589.05,596.82,584.005,592.01,1399878.0
2025-08-29,608.98,612.0,601.94,603.52,993108.0
2025-08-28,605.03,614.63,604.99,612.17,902258.0
2025-08-27,596.94,603.87,593.315,603.17,916629.0
2025-08-26,595.93,600.13,593.0,596.0,1224369.0
2025-08-25,604.97,605.34,596.1,597.0,783818.0
2025-08-22,600.36,612.98,597.48,606.52,863358.0
2025-08-21,597.19,603.94,593.0501,598.17,1145662.0
2025-08-20,611.09,613.83,595.1,601.13,1659454.0
2025-08-19,620.61,624.821,611.0,612.79,1170674.0
2025-08-18,617.91,626.24,615.115,625.33,749721.0
2025-08-15,616.36,620.0,606.31,617.91,881763.0
2025-08-14,616.5,619.79,612.1728,616.36,954202.0
2025-08-13,628.75,628.89,612.69,618.57,1012567.0
2025-08-12,615.42,627.12,609.16,625.8,1168486.0
2025-08-11,620.4,623.47,613.65,616.12,956156.0
2025-08-08,625.0,625.23,618.36,619.42,700666.0
2025-08-07,632.83,632.99,608.19,620.325,1428817.0
2025-08-06,627.5,630.29,615.95,625.88,1016525.0
2025-08-05,634.77,636.25,624.08,628.5,1032327.0
2025-08-04,622.42,636.6075,615.785,636.02,1121673.0
2025-08-01,617.55,625.31,608.1,618.65,1300547.0
2025-07-31,644.78,646.285,632.74,633.47,1165883.0
2025-07-30,635.135,651.73,632.665,645.35,1919045.0
2025-07-29,614.06,647.2,613.58,635.81,3293702.0
2025-07-28,605.28,607.71,588.37,592.63,1770544.0
2025-07-25,611.65,611.65,600.86,601.55,1820247.0
2025-07-24,611.55,615.05,606.31,609.68,1414535.0
2025-07-23,612.8,618.49,605.025,614.42,2002657.0
2025-07-22,583.92,617.0,578.87,615.13,2890615.0
2025-07-21,587.59,596.43,582.65,591.46,2445322.0
2025-07-18,588.205,600.895,578.87,584.76,3682373.0
2025-07-17,567.505,590.0,562.995,589.01,3621099.0
2025-07-16,569.25,574.98,550.62,571.2,7936047.0
2025-07-15,553.89,570.38,549.0,569.1,3178745.0
2025-07-14,575.0,579.0,542.49,549.53,5084276.0
2025-07-11,563.97,572.91,559.14,559.28,1358518.0
2025-07-10,552.49,569.44,545.825,566.19,1775454.0
2025-07-09,552.38,554.425,544.06,550.95,840004.0
2025-07-08,540.67,552.35,538.98,551.51,1314790.0
2025-07-07,544.11,545.08,534.34,536.52,1391033.0
2025-07-03,544.7,555.0,536.35,548.74,2020024.0
2025-07-02,517.18,526.09,514.0,523.11,979181.0
2025-07-01,509.215,522.85,506.08,521.78,1512846.0
2025-06-30,505.89,517.4,503.92,512.68,1343857.0
2025-06-27,500.01,521.69,500.01,502.63,2153612.0
2025-06-26,489.01,496.71,486.055,495.7,1019600.0
2025-06-25,478.98,487.68,474.0,487.27,868074.0
2025-06-24,474.3,481.0,472.56,478.98,866291.0
2025-06-23,468.89,474.2,460.89,470.98,897712.0
2025-06-20,480.0,482.53,468.54,470.53,1511213.0
2025-06-18,473.33,478.49,468.76,473.62,1040704.0
2025-06-17,477.81,484.53,473.82,475.4,765859.0
2025-06-16,480.5,482.83,473.75,479.41,1386481.0
2025-06-13,486.44,488.6525,477.53,478.86,1162636.0
2025-06-12,497.26,500.89,494.72,494.99,867947.0
2025-06-11,503.25,505.98,498.2401,500.73,1105065.0
