date,Open,High,Low,Close,Volume
2025-10-31,94.48,94.68,93.6,94.04,5432527.0
2025-10-30,93.06,95.52,93.06,95.07,7421398.0
2025-10-29,93.57,94.39,92.85,93.51,6431287.0
2025-10-28,95.1,95.24,93.32,93.91,6012811.0
2025-10-27,95.7,95.7,94.78,95.4,4019740.0
2025-10-24,96.26,96.61,95.835,95.88,4353320.0
2025-10-23,97.87,98.0,96.12,96.15,3194666.0
2025-10-22,96.98,98.11,96.435,97.48,3438254.0
2025-10-21,98.21,98.285,96.53,97.0,4582928.0
2025-10-20,98.4,98.405,97.34,97.69,5045062.0
2025-10-17,99.12,99.15,97.61,97.8,4916360.0
2025-10-16,100.12,100.835,98.38,98.43,4927361.0
2025-10-15,99.6,100.24,99.17,99.72,7287383.0
2025-10-14,98.7,99.81,98.46,99.68,5343034.0
2025-10-13,97.62,98.42,97.19,98.08,4262222.0
2025-10-10,96.66,98.3584,96.45,98.29,5296781.0
2025-10-09,96.66,96.66,96.01,96.13,4113973.0
2025-10-08,96.79,96.79,95.495,96.18,3700746.0
2025-10-07,95.49,96.77,95.3,96.42,5607665.0
2025-10-06,94.43,95.525,94.4,95.49,4870172.0
2025-10-03,93.5,94.85,93.5,94.54,6022128.0
2025-10-02,94.18,94.53,93.525,93.89,4436213.0
2025-10-01,94.92,95.38,94.61,94.8,4625938.0
2025-09-30,93.83,95.03,93.6401,94.77,7481606.0
2025-09-29,94.5,94.53,93.45,93.91,8002685.0
2025-09-26,94.08,94.67,93.83,94.53,5203418.0
2025-09-25,94.59,95.0605,93.575,93.69,6968487.0
2025-09-24,93.61,94.44,93.16,94.41,4826482.0
2025-09-23,92.3,93.72,92.11,93.72,4413517.0
2025-09-22,91.88,92.575,91.625,92.33,5569684.0
2025-09-19,91.04,92.3,90.345,91.8,9381466.0
2025-09-18,90.77,91.88,90.71,91.45,6074244.0
2025-09-17,91.59,92.0575,91.4,91.63,5065224.0
2025-09-16,92.1,92.32,91.35,91.36,6625697.0
2025-09-15,92.01,92.4,91.56,92.28,3922371.0
2025-09-12,91.88,92.435,91.72,92.27,4076346.0
2025-09-11,91.55,92.14,91.2203,92.13,3701904.0
2025-09-10,91.1,91.67,90.72,91.56,4309826.0
2025-09-09,90.68,91.495,90.53,91.21,2889784.0
2025-09-08,91.43,91.85,90.594,90.83,3712021.0
2025-09-05,91.98,92.38,91.55,91.78,3166440.0
2025-09-04,92.24,92.44,91.43,91.87,3468707.0
2025-09-03,91.64,91.9698,91.17,91.66,3444555.0
2025-09-02,92.24,92.82,91.63,92.09,3467461.0
2025-08-29,92.47,92.81,92.215,92.3,3227616.0
2025-08-28,93.04,93.04,92.07,92.24,2797437.0
2025-08-27,93.19,93.46,92.81,93.28,3090158.0
2025-08-26,93.15,93.5,92.49,93.09,3699643.0
2025-08-25,94.23,94.49,92.985,93.13,2559639.0
2025-08-22,95.06,95.5,94.075,94.48,3304940.0
2025-08-21,94.96,95.175,94.355,94.62,3294411.0
2025-08-20,94.5,95.64,94.325,94.93,5556630.0
2025-08-19,92.88,94.22,92.835,94.18,4691215.0
2025-08-18,93.58,93.64,92.77,92.85,5070536.0
2025-08-15,94.33,94.76,93.63,94.07,5698546.0
2025-08-14,94.7,94.7,93.75,94.19,5252565.0
2025-08-13,93.89,94.855,93.4042,94.79,5478283.0
2025-08-12,94.65,94.68,93.28,93.96,7908624.0
2025-08-11,95.02,95.34,94.23,94.57,4313213.0
2025-08-08,95.57,95.79,94.47,94.69,4148254.0
2025-08-07,94.4,95.57,94.31,95.35,4162527.0
2025-08-06,94.72,95.54,94.1725,94.68,3656368.0
2025-08-05,95.76,96.42,93.96,94.39,6033742.0
2025-08-04,95.12,96.2,95.02,96.0,5838373.0
2025-08-01,95.24,95.52,94.15,94.99,7496813.0
2025-07-31,94.88,95.9,92.91,94.48,12682471.0
2025-07-30,95.3,95.62,94.635,94.9,6808047.0
2025-07-29,94.55,95.24,94.35,95.2,5217535.0
2025-07-28,95.2,95.3221,93.96,94.3,5481417.0
2025-07-25,94.91,95.54,94.91,95.35,3069903.0
2025-07-24,95.17,95.69,94.93,95.0,3904958.0
2025-07-23,95.75,95.94,94.57,95.13,4353415.0
2025-07-22,95.12,96.44,94.795,95.85,3889463.0
2025-07-21,94.26,95.29,94.15,94.79,4206886.0
2025-07-18,93.53,94.63,93.37,94.1,4197913.0
2025-07-17,93.0,93.805,92.78,93.33,4489184.0
2025-07-16,92.38,93.4387,92.26,93.3,4498141.0
2025-07-15,92.55,92.995,91.87,92.47,5215563.0
2025-07-14,92.62,93.29,92.12,92.68,7698820.0
2025-07-11,92.85,93.02,92.23,92.66,5014980.0
2025-07-10,91.45,93.68,91.45,93.26,6686932.0
2025-07-09,91.4,91.98,90.7568,91.96,3236155.0
2025-07-08,90.9,91.57,90.38,91.26,4600140.0
2025-07-07,91.44,91.73,91.15,91.66,3433142.0
2025-07-03,91.0,91.97,90.635,91.51,3467244.0
2025-07-02,91.79,92.2,90.49,91.15,6437161.0
2025-07-01,92.0,92.515,91.27,92.3,7399409.0
2025-06-30,90.59,91.94,90.43,91.83,4924635.0
2025-06-27,90.24,91.2991,90.19,90.9,5228166.0
2025-06-26,90.43,91.0,89.47,90.35,6003366.0
2025-06-25,90.56,90.69,89.81,90.4,5548318.0
2025-06-24,90.48,91.29,90.44,90.89,4558342.0
2025-06-23,89.7,90.74,89.44,90.67,5907982.0
2025-06-20,88.6,89.96,88.4701,89.3,10746158.0
2025-06-18,88.54,88.96,88.145,88.63,5189710.0
2025-06-17,88.95,89.18,87.845,88.42,4413424.0
2025-06-16,90.56,90.93,88.785,88.94,5374118.0
2025-06-13,90.76,91.07,89.93,90.35,5059069.0
2025-06-12,89.85,91.05,89.42,90.36,7122654.0
2025-06-11,89.21,89.65,88.915,89.55,5151491.0
