date,Open,High,Low,Close,Volume
2025-10-31,91.69,92.45,91.03,91.94,3027424.0
2025-10-30,92.49,93.22,92.28,92.44,2064255.0
2025-10-29,92.26,93.06,91.67,92.2,2200478.0
2025-10-28,93.87,93.87,92.16,92.55,2407662.0
2025-10-27,92.825,93.32,92.05,93.17,2568557.0
2025-10-24,92.3,92.925,92.115,92.78,1876824.0
2025-10-23,92.63,92.99,91.38,91.81,1910294.0
2025-10-22,93.09,93.2375,91.3802,92.06,3320159.0
2025-10-21,93.2,93.58,91.645,92.29,2722469.0
2025-10-20,92.345,93.66,91.85,92.72,3444387.0
2025-10-17,91.25,91.64,90.58,91.29,2978795.0
2025-10-16,92.25,92.94,90.96,91.14,2674096.0
2025-10-15,91.73,92.65,91.51,92.29,3066487.0
2025-10-14,90.87,91.6,90.195,91.33,3087631.0
2025-10-13,90.37,91.72,89.99,91.17,3035906.0
2025-10-10,92.11,92.5,90.095,90.2,3899611.0
2025-10-09,93.88,94.5,91.32,91.64,4103950.0
2025-10-08,94.13,95.72,93.36,93.36,4820735.0
2025-10-07,93.62,94.05,92.5,94.01,4738819.0
2025-10-06,91.5,92.49,91.22,92.46,2863081.0
2025-10-03,89.49,91.99,89.1,91.44,4127090.0
2025-10-02,88.75,89.69,88.43,89.28,3580433.0
2025-10-01,89.45,89.625,88.82,89.26,2586973.0
2025-09-30,89.61,90.53,89.16,89.98,3512608.0
2025-09-29,88.81,89.8,88.29,89.7,3930819.0
2025-09-26,86.81,88.66,86.5,88.59,3494973.0
2025-09-25,87.17,87.65,86.055,86.49,3868482.0
2025-09-24,86.41,87.36,86.12,87.28,4580476.0
2025-09-23,85.0,86.8,83.71,86.05,7570881.0
2025-09-22,82.57,83.0,81.98,82.37,6043724.0
2025-09-19,82.96,83.58,82.3692,83.2,9015577.0
2025-09-18,82.32,82.9298,81.725,82.48,5866338.0
2025-09-17,83.27,83.995,82.57,82.65,6866006.0
2025-09-16,83.2,83.6,82.57,82.7,4362903.0
2025-09-15,84.03,85.215,83.32,83.39,5775386.0
2025-09-12,83.3,84.32,83.105,83.94,3204840.0
2025-09-11,82.0,83.575,81.75,83.47,4779633.0
2025-09-10,80.38,82.21,80.22,82.01,3727746.0
2025-09-09,79.15,80.815,79.15,80.32,4025734.0
2025-09-08,81.4,81.4,78.97,79.41,4818227.0
2025-09-05,82.07,82.37,80.46,81.11,4311464.0
2025-09-04,82.6,82.98,81.28,82.12,3601795.0
2025-09-03,82.45,82.97,81.355,82.23,3238213.0
2025-09-02,82.0,83.24,81.5847,82.89,4127691.0
2025-08-29,81.11,83.36,81.035,82.56,3485259.0
2025-08-28,82.26,82.33,81.31,81.44,2535070.0
2025-08-27,81.89,82.4699,81.83,82.26,3708703.0
2025-08-26,81.44,82.53,81.15,81.78,3964103.0
