date,Open,High,Low,Close,Volume
2025-10-31,234.7,237.045,232.2,235.7,604345.0
2025-10-30,235.79,239.42,235.4,236.19,697919.0
2025-10-29,241.0,241.0,236.0001,236.79,560446.0
2025-10-28,240.32,242.8303,238.2105,241.2,1475949.0
2025-10-27,240.99,242.38,239.07,240.91,1334342.0
2025-10-24,243.34,243.34,240.57,240.76,341704.0
2025-10-23,242.5,243.95,240.21,241.85,295358.0
2025-10-22,244.23,244.48,241.675,242.37,653598.0
2025-10-21,242.75,245.2,240.27,242.03,371197.0
2025-10-20,240.43,242.705,239.065,242.22,498464.0
2025-10-17,240.86,241.34,237.295,240.21,507512.0
2025-10-16,236.4,240.87,235.32,240.3,450790.0
2025-10-15,237.02,238.945,234.96,236.76,347414.0
2025-10-14,235.02,238.03,232.51,237.81,516874.0
2025-10-13,235.64,237.1,234.17,235.48,358476.0
2025-10-10,240.0,240.505,235.335,235.83,414026.0
2025-10-09,243.74,244.9054,239.23,239.42,371137.0
2025-10-08,242.25,242.63,240.44,242.33,396535.0
2025-10-07,242.01,243.2,240.84,241.56,694407.0
2025-10-06,241.82,242.695,239.16,240.64,563677.0
2025-10-03,242.78,244.61,241.1,242.5,714215.0
2025-10-02,240.18,243.31,240.18,242.4,504105.0
2025-10-01,248.33,249.45,236.66,241.3,935063.0
2025-09-30,246.0,248.46,244.56,247.44,537137.0
2025-09-29,248.73,248.73,244.66,245.37,796056.0
2025-09-26,244.37,249.14,244.37,249.08,445775.0
2025-09-25,245.0,245.64,238.4,244.19,631652.0
2025-09-24,247.93,250.1,245.49,245.99,564482.0
2025-09-23,248.78,251.755,248.49,249.23,432144.0
2025-09-22,248.2,250.25,246.34,249.71,363761.0
2025-09-19,250.72,250.89,248.6,248.78,643521.0
2025-09-18,249.02,251.73,246.635,250.5,597656.0
2025-09-17,248.73,251.84,247.1,248.79,462414.0
2025-09-16,247.79,249.84,247.12,247.99,567878.0
2025-09-15,250.02,250.89,246.96,247.81,757812.0
2025-09-12,252.32,253.0,248.8,249.88,774374.0
2025-09-11,245.43,252.55,243.01,252.43,758380.0
2025-09-10,248.29,248.55,243.83,243.83,431140.0
2025-09-09,248.45,249.195,246.69,248.39,399617.0
2025-09-08,244.86,249.35,243.245,248.32,932971.0
2025-09-05,243.65,246.99,242.58,245.3,331368.0
2025-09-04,241.37,243.47,239.395,243.39,499549.0
2025-09-03,240.58,242.59,240.01,242.46,534035.0
2025-09-02,243.66,244.835,241.79,242.02,406819.0
2025-08-29,244.8,246.855,242.7,245.06,561727.0
2025-08-28,248.34,248.47,244.08,244.77,512916.0
2025-08-27,247.49,249.44,246.62,248.98,629086.0
2025-08-26,247.99,248.88,246.395,248.58,548216.0
2025-08-25,251.69,252.13,247.94,248.48,320860.0
2025-08-22,249.19,252.46,247.77,251.87,375557.0
2025-08-21,248.24,249.15,247.175,247.5,331118.0
2025-08-20,248.27,251.33,247.44,249.55,489553.0
2025-08-19,243.46,248.04,243.46,247.62,376814.0
2025-08-18,244.95,246.83,244.32,244.56,319789.0
2025-08-15,247.01,248.02,244.53,245.56,466774.0
2025-08-14,246.74,246.85,244.29,246.14,447191.0
2025-08-13,243.86,248.06,242.9,247.07,455177.0
2025-08-12,242.09,243.91,241.285,243.76,341182.0
2025-08-11,242.87,243.64,241.29,241.62,424209.0
2025-08-08,238.6,244.25,236.83,242.85,863791.0
2025-08-07,227.16,237.56,226.58,236.24,1192943.0
2025-08-06,222.35,224.41,220.55,221.21,725977.0
2025-08-05,228.47,228.695,223.0875,223.87,735318.0
2025-08-04,226.59,228.88,226.26,228.43,590247.0
2025-08-01,226.09,227.78,224.0,226.87,733675.0
2025-07-31,228.57,229.97,226.05,226.49,700706.0
2025-07-30,227.59,229.84,227.59,229.27,408065.0
2025-07-29,226.48,228.73,225.895,228.37,438323.0
2025-07-28,229.61,230.56,226.23,226.53,429711.0
2025-07-25,226.89,231.27,226.4425,230.46,650272.0
2025-07-24,225.84,228.5,224.48,227.25,376548.0
2025-07-23,225.54,226.21,222.33,225.47,535245.0
2025-07-22,223.49,226.28,223.21,223.69,818037.0
2025-07-21,224.88,225.57,222.45,222.65,643674.0
2025-07-18,225.52,226.865,222.89,225.58,1721773.0
2025-07-17,226.42,227.57,224.15,224.59,1076152.0
2025-07-16,229.39,230.175,225.535,227.62,552907.0
2025-07-15,228.94,230.91,227.89,228.84,849984.0
2025-07-14,227.1,227.56,224.7,225.79,833951.0
2025-07-11,229.28,229.28,225.93,228.03,431191.0
2025-07-10,231.28,233.36,230.2,230.72,530745.0
2025-07-09,233.35,233.35,229.63,231.28,551947.0
2025-07-08,232.52,234.72,231.59,232.57,610301.0
2025-07-07,237.56,237.56,231.97,233.32,523505.0
2025-07-03,238.53,238.53,236.13,237.55,242380.0
2025-07-02,241.73,242.71,237.18,238.25,548174.0
2025-07-01,239.13,243.08,238.2,242.66,918422.0
2025-06-30,238.76,240.61,238.2,240.22,570020.0
2025-06-27,238.59,240.625,236.73,238.79,741594.0
2025-06-26,241.02,241.025,237.925,238.53,396112.0
2025-06-25,239.39,241.59,237.15,240.37,534990.0
2025-06-24,237.18,240.06,234.51,239.59,467766.0
2025-06-23,235.67,237.0,234.08,236.91,430320.0
2025-06-20,236.96,237.74,234.53,235.67,665864.0
2025-06-18,236.89,238.2702,235.92,236.23,540879.0
2025-06-17,238.93,239.57,236.4,237.08,563746.0
2025-06-16,241.88,243.72,240.53,241.16,417853.0
2025-06-13,240.07,244.26,240.0,241.34,464079.0
2025-06-12,240.83,242.42,239.74,242.41,360820.0
2025-06-11,242.67,243.22,240.2025,240.74,471834.0
