date,Open,High,Low,Close,Volume
2025-10-31,114.48,116.11,113.83,115.66,2278857.0
2025-10-30,116.34,117.27,115.19,115.22,2894683.0
2025-10-29,118.0,119.33,116.29,116.75,3290102.0
2025-10-28,117.03,118.98,116.61,118.68,3177428.0
2025-10-27,116.93,118.3,116.84,117.03,2226851.0
2025-10-24,115.51,116.9,115.06,116.12,1953816.0
2025-10-23,113.62,115.085,113.305,114.61,2093696.0
2025-10-22,113.94,114.3,112.48,113.22,3341734.0
2025-10-21,115.07,117.385,114.29,114.36,3134993.0
2025-10-20,112.31,115.71,112.13,115.29,2858772.0
2025-10-17,108.65,111.59,104.635,111.37,4352089.0
2025-10-16,116.85,117.0,111.84,112.95,2853880.0
2025-10-15,116.14,116.95,114.52,116.71,2011918.0
2025-10-14,113.16,116.02,113.16,115.4,1869724.0
2025-10-13,112.3,114.38,111.9,114.19,1421592.0
2025-10-10,117.79,118.1,110.87,111.0,2372778.0
2025-10-09,117.21,118.015,116.45,117.23,1511781.0
2025-10-08,117.1,118.24,115.21,116.69,1987867.0
2025-10-07,117.23,117.9842,116.23,116.89,1495275.0
2025-10-06,116.31,117.5,114.805,116.9,1147092.0
2025-10-03,116.13,117.41,115.69,116.38,1795773.0
2025-10-02,113.62,115.415,113.1501,115.12,1729243.0
2025-10-01,114.61,114.87,112.79,113.38,1213353.0
2025-09-30,117.19,118.06,114.84,116.01,1517534.0
2025-09-29,116.3,117.31,115.51,117.25,1417377.0
2025-09-26,114.84,116.07,114.4401,115.71,1194245.0
2025-09-25,113.0,114.77,112.795,114.24,1425415.0
2025-09-24,113.21,113.84,112.34,112.96,1257593.0
2025-09-23,113.48,115.065,112.27,112.95,1148831.0
2025-09-22,112.58,113.54,112.16,113.32,1037013.0
2025-09-19,113.36,113.61,112.44,113.5,3268706.0
2025-09-18,112.02,113.58,111.86,113.22,1537385.0
2025-09-17,111.05,112.535,110.59,111.7,1407939.0
2025-09-16,112.04,112.04,110.32,110.49,1682024.0
2025-09-15,112.76,113.605,111.755,112.12,1370177.0
2025-09-12,112.53,113.14,112.01,112.44,1068214.0
2025-09-11,110.86,113.21,110.69,112.94,2076691.0
2025-09-10,112.03,112.51,110.45,110.77,2191870.0
2025-09-09,111.39,113.32,111.01,112.05,2274386.0
2025-09-08,113.14,113.68,110.72,111.65,3045139.0
2025-09-05,115.2,115.6399,111.92,112.95,2598760.0
2025-09-04,113.65,114.16,112.86,114.06,1090386.0
2025-09-03,113.13,113.54,111.43,113.0,1553997.0
2025-09-02,113.6,114.005,111.965,113.26,1800446.0
2025-08-29,115.33,115.57,114.45,114.97,995205.0
2025-08-28,115.16,115.39,114.38,115.24,1326811.0
2025-08-27,115.7,116.37,114.8,114.88,1724646.0
2025-08-26,114.48,115.88,114.05,115.82,2316553.0
2025-08-25,115.49,115.865,114.845,114.91,1551346.0
2025-08-22,112.79,115.65,112.56,115.48,2144689.0
2025-08-21,111.51,112.65,111.22,112.36,1565979.0
2025-08-20,110.88,112.2,110.27,111.89,1683126.0
2025-08-19,110.91,111.94,110.52,111.15,1067505.0
2025-08-18,110.8,111.3,110.22,111.19,1409129.0
2025-08-15,114.04,114.08,110.9,111.07,1291690.0
2025-08-14,111.65,113.75,110.96,113.6,1429987.0
2025-08-13,111.88,112.59,110.01,111.5,2048089.0
2025-08-12,110.67,111.52,110.42,111.42,2380011.0
2025-08-11,111.51,111.675,109.52,109.83,1685834.0
2025-08-08,110.52,111.95,109.94,111.08,1184365.0
2025-08-07,111.61,111.65,109.63,109.82,1099702.0
2025-08-06,110.47,111.04,109.875,110.76,1262409.0
2025-08-05,110.31,110.6,108.81,110.06,1132834.0
2025-08-04,109.38,110.01,108.98,109.78,1171463.0
2025-08-01,109.99,109.99,107.34,108.59,1984220.0
2025-07-31,112.54,113.285,111.4,111.75,1635380.0
2025-07-30,113.58,114.28,112.44,113.11,1952591.0
2025-07-29,113.24,113.595,112.38,113.25,1443901.0
2025-07-28,112.67,113.0,111.83,112.45,1078113.0
2025-07-25,110.84,113.72,110.15,112.93,3321014.0
2025-07-24,110.91,111.61,110.42,110.98,1999780.0
2025-07-23,109.82,110.72,108.85,110.65,2314066.0
2025-07-22,108.43,109.79,107.995,109.71,1875194.0
2025-07-21,108.5,109.35,107.82,108.09,2266650.0
2025-07-18,107.66,108.6,107.155,108.51,2912765.0
2025-07-17,104.7,107.71,104.66,107.48,2927390.0
2025-07-16,102.85,105.33,102.81,105.03,4624164.0
2025-07-15,105.5,107.99,101.98,102.01,5942667.0
2025-07-14,109.55,110.435,109.17,110.03,2511603.0
2025-07-11,109.53,110.02,108.44,109.56,2668854.0
2025-07-10,109.73,110.925,109.005,110.21,1828557.0
2025-07-09,110.0,110.11,108.84,109.4,1607241.0
2025-07-08,110.0,110.0,108.83,109.2,2050096.0
2025-07-07,110.25,110.97,108.85,109.76,1810592.0
2025-07-03,109.61,110.8,109.05,110.31,1166677.0
2025-07-02,107.43,109.69,106.77,109.49,1973535.0
2025-07-01,105.27,107.385,104.79,106.96,2019751.0
2025-06-30,106.54,106.83,105.87,106.34,2182276.0
2025-06-27,105.43,106.06,104.54,106.0,2043269.0
2025-06-26,104.39,105.845,104.35,105.37,2207941.0
2025-06-25,102.94,104.54,101.89,104.35,2168021.0
2025-06-24,102.0,103.99,101.84,102.9,2552186.0
2025-06-23,99.51,101.32,99.0,101.24,2868162.0
2025-06-20,99.98,100.65,99.41,99.62,4284072.0
