date,Open,High,Low,Close,Volume
2025-10-31,276.83,280.35,243.34,255.88,8616065.0
2025-10-30,258.21,274.48,258.0,268.335,7175670.0
2025-10-29,240.515,268.91,240.06,265.62,9900845.0
2025-10-28,229.18,230.0,217.67,223.0,6500953.0
2025-10-27,241.33,241.999,227.63,230.32,4942396.0
2025-10-24,234.08,240.8543,230.53,234.12,3663962.0
2025-10-23,218.25,226.91,218.25,226.41,2569576.0
2025-10-22,213.67,219.32,209.0,215.05,2925241.0
2025-10-21,212.625,216.53,210.6793,214.57,2817458.0
2025-10-20,230.0,233.28,209.3701,214.4,4601975.0
2025-10-17,222.43,230.4476,220.942,225.4,3258777.0
2025-10-16,224.15,232.999,221.86,226.03,5196474.0
2025-10-15,215.66,220.59,212.3481,219.38,6236838.0
2025-10-14,215.38,217.395,210.57,211.63,3646678.0
2025-10-13,225.56,225.65,216.5101,219.51,3348846.0
2025-10-10,220.4,224.26,212.63,214.38,5190986.0
2025-10-09,223.51,225.066,218.63,221.7,3427020.0
2025-10-08,224.87,229.045,222.72,224.35,5190332.0
2025-10-07,244.65,244.735,223.01,225.01,10019376.0
2025-10-06,260.11,261.24,242.45,242.83,5233612.0
2025-10-03,254.965,261.29,251.65,252.79,4915965.0
2025-10-02,263.3,264.83,251.9,254.74,4801330.0
2025-10-01,234.34,258.3999,232.58,256.84,9751932.0
2025-09-30,226.88,236.51,226.26,236.06,4184033.0
2025-09-29,226.75,234.115,224.81,229.14,5108406.0
2025-09-26,220.33,220.82,213.0554,217.51,2477214.0
2025-09-25,219.95,222.53,216.01,219.85,4201146.0
2025-09-24,227.72,231.41,222.93,223.7,4121099.0
2025-09-23,229.37,231.96,223.505,228.13,4389409.0
2025-09-22,222.9,230.82,221.97,229.33,5243396.0
2025-09-19,218.43,221.66,216.0,221.23,4834914.0
2025-09-18,216.72,219.53,215.1,216.64,3044152.0
2025-09-17,210.4,214.21,206.26,213.36,4268762.0
2025-09-16,211.3,215.2,207.66,211.13,4888162.0
2025-09-15,200.0,214.2,199.65,211.12,7398136.0
2025-09-12,196.7,198.37,193.32,195.99,3293421.0
