date,Open,High,Low,Close,Volume
2025-10-31,68.31,68.79,66.89,67.72,3401155.0
2025-10-30,68.79,70.47,68.3411,68.58,1988559.0
2025-10-29,71.26,72.395,69.44,69.96,1861257.0
2025-10-28,71.9,73.429,71.04,71.88,1993027.0
2025-10-27,71.13,72.83,71.06,72.08,2000264.0
2025-10-24,71.51,71.56,70.12,70.21,1219083.0
2025-10-23,69.23,70.75,69.175,70.4,1233586.0
2025-10-22,70.49,71.05,68.97,69.23,1378994.0
2025-10-21,68.73,71.73,68.52,70.86,1746645.0
2025-10-20,68.25,69.62,67.68,69.09,1278491.0
2025-10-17,67.51,68.32,67.04,67.85,1248221.0
2025-10-16,68.24,68.5,67.01,67.91,1545304.0
2025-10-15,68.5,68.8,67.2,67.72,1797340.0
2025-10-14,63.24,67.375,63.2,67.02,2620636.0
2025-10-13,65.53,66.3501,64.44,64.49,2261010.0
2025-10-10,70.32,70.34,64.245,64.43,4777527.0
2025-10-09,72.35,72.35,69.25,69.72,2385771.0
2025-10-08,73.38,74.0099,72.63,72.74,1372189.0
2025-10-07,74.58,74.98,73.045,73.19,1311632.0
2025-10-06,75.94,75.94,73.57,74.35,1265044.0
2025-10-03,74.26,75.975,74.26,75.42,1854587.0
2025-10-02,74.05,75.94,73.68,74.04,1312303.0
2025-10-01,73.9,75.105,72.55,73.62,1664493.0
2025-09-30,74.19,74.41,73.05,74.33,1135499.0
2025-09-29,74.52,74.52,73.07,73.9,1247250.0
2025-09-26,73.45,73.88,72.81,73.85,1790698.0
2025-09-25,74.11,74.53,73.08,73.45,1188497.0
2025-09-24,75.02,75.9622,74.89,75.09,1160788.0
2025-09-23,75.63,76.76,75.07,75.27,1243265.0
2025-09-22,76.67,76.67,74.7,75.02,2351907.0
2025-09-19,79.18,79.41,76.62,76.67,5995071.0
2025-09-18,78.53,79.55,77.86,79.37,1767183.0
2025-09-17,78.29,81.44,77.52,78.18,2280333.0
2025-09-16,78.8,79.42,77.35,77.81,1753583.0
2025-09-15,77.96,78.86,77.351,78.56,1755435.0
2025-09-12,78.92,79.27,76.68,77.57,2757572.0
2025-09-11,77.34,80.06,76.61,79.52,2001071.0
2025-09-10,76.68,77.59,76.06,76.97,1677809.0
2025-09-09,77.84,78.11,76.34,76.74,2338899.0
2025-09-08,78.51,78.98,77.16,78.42,3113276.0
2025-09-05,75.61,78.43,75.61,78.42,3181203.0
2025-09-04,73.29,74.815,72.75,74.74,1630476.0
2025-09-03,72.45,73.77,72.08,72.85,1933799.0
2025-09-02,72.08,72.635,71.28,71.72,1738490.0
2025-08-29,75.13,76.11,73.85,74.29,2325583.0
2025-08-28,76.2,76.4399,74.335,75.3,1742238.0
2025-08-27,74.76,76.04,74.48,75.74,1816857.0
2025-08-26,76.46,76.94,74.93,75.19,2674359.0
2025-08-25,77.04,77.62,76.42,76.47,2191517.0
2025-08-22,73.81,77.94,73.425,77.53,3594613.0
2025-08-21,73.27,73.77,72.63,73.13,1756474.0
2025-08-20,75.92,75.92,73.92,73.92,1840419.0
2025-08-19,74.8,77.31,74.77,76.21,2186730.0
2025-08-18,74.33,75.68,74.12,74.54,2028945.0
2025-08-15,75.0,75.0,73.7317,74.06,1557710.0
2025-08-14,74.21,74.9,73.52,74.42,1728103.0
2025-08-13,71.89,76.21,71.53,75.98,2390073.0
2025-08-12,69.84,71.6,69.155,71.43,1610238.0
2025-08-11,69.96,70.2459,68.0,68.84,1936600.0
2025-08-08,68.77,69.49,68.37,69.32,946497.0
2025-08-07,69.28,69.99,68.02,68.74,973286.0
2025-08-06,69.7,69.79,68.125,68.27,1251787.0
2025-08-05,68.66,69.61,67.3601,69.36,1664768.0
2025-08-04,67.31,68.43,66.66,67.93,1642958.0
2025-08-01,66.73,67.17,65.405,66.98,2193442.0
2025-07-31,67.39,68.895,66.8603,67.65,4017524.0
2025-07-30,68.5,69.55,67.09,67.77,3389711.0
2025-07-29,68.22,69.77,66.51,68.61,5250499.0
2025-07-28,73.85,74.925,73.1,73.93,3271991.0
2025-07-25,72.95,74.09,72.125,73.9,1782176.0
2025-07-24,73.49,73.855,72.2208,72.69,1442313.0
2025-07-23,74.08,75.0,73.65,74.09,1986296.0
2025-07-22,70.28,73.09,69.86,72.8,1996858.0
2025-07-21,70.9,70.9399,69.53,69.57,1556368.0
2025-07-18,71.44,71.515,69.42,70.11,1970631.0
2025-07-17,69.74,70.965,69.512,70.82,2052107.0
2025-07-16,69.79,70.2988,68.226,69.51,1847047.0
2025-07-15,72.6,72.73,69.72,69.8,1704553.0
2025-07-14,72.39,72.46,70.93,71.58,1537504.0
2025-07-11,72.71,73.36,72.105,72.87,1722816.0
2025-07-10,73.02,75.28,72.8301,73.85,2598640.0
2025-07-09,72.35,73.01,71.48,72.91,1642456.0
2025-07-08,70.56,73.1,70.24,71.69,2770446.0
2025-07-07,70.31,71.49,69.02,69.3,2155837.0
2025-07-03,71.93,72.055,70.895,71.1,1088708.0
2025-07-02,70.53,71.93,69.74,71.56,2237648.0
2025-07-01,67.44,72.25,67.05,70.41,2871563.0
2025-06-30,67.74,68.18,67.0638,67.75,2453347.0
2025-06-27,68.15,68.82,67.09,67.65,2579950.0
2025-06-26,66.99,67.81,66.55,67.59,1737404.0
2025-06-25,66.74,66.87,65.85,66.25,1402564.0
2025-06-24,66.41,66.79,65.75,66.36,1380835.0
2025-06-23,64.23,65.765,63.31,65.66,1715171.0
2025-06-20,64.9,65.595,64.36,64.55,3615254.0
2025-06-18,64.02,65.63,63.93,64.59,2191513.0
2025-06-17,65.375,65.86,63.843,64.14,2597312.0
2025-06-16,66.45,66.56,65.21,65.75,2192052.0
2025-06-13,65.82,66.8016,64.775,65.26,1730350.0
2025-06-12,67.15,68.03,66.6,67.42,2087609.0
2025-06-11,69.89,70.0,67.51,68.13,2238085.0
