date,Open,High,Low,Close,Volume
2025-10-31,79.04,80.0,76.8,77.72,3872749.0
2025-10-30,78.74,81.12,78.485,79.16,3923967.0
2025-10-29,83.14,84.53,78.59,78.74,7443149.0
2025-10-28,85.66,90.9,80.14,80.26,11143942.0
2025-10-27,74.67,76.01,74.5,75.84,1853343.0
2025-10-24,76.51,76.51,73.96,74.04,2067410.0
2025-10-23,73.51,76.26,73.33,75.775,2130752.0
2025-10-22,75.4,76.49,73.055,73.965,2911548.0
2025-10-21,75.71,76.66,75.41,76.4,1146569.0
2025-10-20,74.0,76.8481,72.7831,76.14,2161052.0
2025-10-17,73.57,75.65,73.02,75.32,1654199.0
2025-10-16,74.73,74.825,73.3,74.47,2050372.0
2025-10-15,73.91,74.38,72.56,74.22,2055315.0
2025-10-14,71.33,73.64,71.25,72.77,2276115.0
2025-10-13,71.48,73.68,70.525,73.37,3019668.0
2025-10-10,74.0,74.12,68.98,69.16,3062650.0
2025-10-09,75.93,76.03,72.88,73.64,1958116.0
2025-10-08,74.55,76.22,74.155,76.1,1611174.0
2025-10-07,77.63,78.0,74.16,74.34,1585208.0
2025-10-06,77.4,77.655,75.04,76.91,1925767.0
2025-10-03,77.21,78.15,76.865,77.1,1475272.0
2025-10-02,77.08,78.26,76.63,77.37,1742599.0
2025-10-01,76.95,77.6,75.62,76.34,2350758.0
2025-09-30,76.93,77.66,76.2786,76.98,2195439.0
2025-09-29,80.11,80.305,76.5,76.93,2796723.0
2025-09-26,79.38,79.88,78.83,79.51,1310534.0
2025-09-25,79.87,79.965,78.47,79.36,1547242.0
2025-09-24,80.88,81.92,80.54,80.66,1678664.0
2025-09-23,83.23,83.515,80.41,81.26,2301832.0
2025-09-22,79.65,83.47,79.55,82.97,4497157.0
2025-09-19,77.94,80.3,75.7275,78.95,8990816.0
2025-09-18,75.84,77.47,75.38,77.03,3356869.0
2025-09-17,74.33,75.42,73.06,74.49,2413716.0
2025-09-16,73.48,74.6,73.22,74.22,2744596.0
2025-09-15,74.4,75.54,72.48,72.87,2660250.0
2025-09-12,74.4,74.6,73.005,74.46,2140564.0
2025-09-11,74.22,74.81,72.98,74.68,3424014.0
2025-09-10,75.06,75.075,72.09,73.6,2820602.0
2025-09-09,75.63,76.74,74.58,75.06,2290553.0
2025-09-08,75.27,75.68,73.565,75.63,2196150.0
2025-09-05,74.875,76.38,74.575,75.2,2138436.0
2025-09-04,73.03,74.71,72.185,74.64,2279763.0
2025-09-03,73.26,73.72,72.63,73.56,2419750.0
2025-09-02,72.98,73.91,71.555,73.07,2210612.0
2025-08-29,74.65,75.615,74.47,74.94,2234382.0
2025-08-28,76.17,76.53,74.85,75.1,1869151.0
2025-08-27,75.49,76.35,75.13,76.2,1529895.0
2025-08-26,76.0,77.055,75.64,75.67,2814360.0
2025-08-25,77.14,77.39,76.45,76.76,1869750.0
2025-08-22,75.12,78.13,74.8558,77.29,2392248.0
2025-08-21,74.5,75.18,74.17,74.52,1369897.0
2025-08-20,74.81,75.29,73.86,75.12,2393785.0
2025-08-19,74.55,76.02,74.495,74.93,1946292.0
2025-08-18,74.46,75.17,74.08,74.26,1669263.0
2025-08-15,75.75,75.86,73.825,74.52,2364318.0
2025-08-14,72.415,75.64,72.33,75.36,2207038.0
2025-08-13,71.8,73.79,71.38,73.65,1915171.0
2025-08-12,71.465,72.535,70.33,71.69,2950010.0
2025-08-11,71.42,72.23,70.41,70.53,2563828.0
2025-08-08,68.66,71.195,68.22,71.08,2596824.0
2025-08-07,68.26,69.38,67.35,68.55,4293848.0
2025-08-06,69.14,70.8747,65.7,67.52,5432395.0
2025-08-05,68.24,68.57,67.03,67.63,4515237.0
2025-08-04,67.965,68.27,67.59,67.935,2348372.0
2025-08-01,67.77,68.19,66.13,67.69,2727226.0
2025-07-31,70.43,70.99,68.23,68.54,3301871.0
2025-07-30,73.84,73.96,70.79,71.33,2454592.0
2025-07-29,71.84,72.11,70.64,71.94,2406373.0
2025-07-28,72.19,72.32,71.11,71.32,2211799.0
2025-07-25,72.21,72.47,71.21,71.53,1539246.0
2025-07-24,72.44,73.34,71.635,72.34,1482695.0
2025-07-23,73.3,73.56,71.91,73.09,2093531.0
2025-07-22,72.71,73.49,72.3058,73.38,2052026.0
2025-07-21,72.93,74.155,72.66,72.72,1877073.0
2025-07-18,72.5,73.1,72.02,72.765,1788140.0
2025-07-17,72.37,72.97,71.32,72.2,2348470.0
2025-07-16,72.68,73.2,71.87,72.87,1819672.0
2025-07-15,75.66,75.82,72.93,72.97,1952864.0
2025-07-14,74.98,74.98,73.65,74.43,2651148.0
2025-07-11,76.81,77.41,75.12,75.42,2065848.0
2025-07-10,76.66,78.15,76.52,77.7,2169437.0
2025-07-09,77.76,78.7485,76.823,77.63,1381282.0
2025-07-08,76.94,79.21,76.58,77.94,2485863.0
2025-07-07,78.175,78.7964,76.025,76.19,2428453.0
2025-07-03,78.55,78.94,77.64,78.76,1831003.0
2025-07-02,77.27,78.25,76.55,78.18,2326053.0
2025-07-01,74.39,78.475,73.99,77.16,3271893.0
2025-06-30,74.82,74.99,73.99,74.52,1852002.0
2025-06-27,74.84,75.17,73.885,74.8,3796506.0
2025-06-26,74.515,74.86,73.9,74.65,2074913.0
2025-06-25,73.92,74.47,73.4,74.27,2676569.0
2025-06-24,73.01,74.4,72.9201,73.42,3015101.0
2025-06-23,72.32,72.93,71.01,72.35,2642451.0
2025-06-20,72.03,72.23,70.745,72.13,6353912.0
2025-06-18,71.55,72.67,71.27,71.62,2330543.0
2025-06-17,71.26,72.4699,71.21,71.53,3268068.0
2025-06-16,72.21,72.4,71.225,71.98,2601485.0
2025-06-13,70.92,72.165,70.4,71.25,3365824.0
2025-06-12,72.41,73.0,71.71,72.01,2099027.0
2025-06-11,75.2,75.275,72.36,72.82,3493876.0
