date,Open,High,Low,Close,Volume
2025-10-31,43.33,43.88,42.94,43.72,2191292.0
2025-10-30,43.51,44.12,43.415,43.65,2416286.0
2025-10-29,44.83,44.93,43.468,43.51,2637660.0
2025-10-28,45.05,45.565,44.85,45.23,1994434.0
2025-10-27,45.43,45.62,45.16,45.27,2184883.0
2025-10-24,45.7,45.96,45.15,45.44,2429503.0
2025-10-23,46.5,46.555,45.36,45.62,1846446.0
2025-10-22,46.29,47.24,46.17,46.59,1452066.0
2025-10-21,46.53,46.755,46.195,46.54,2106653.0
2025-10-20,47.34,47.36,46.58,46.6,1610851.0
2025-10-17,47.19,47.5199,46.7,47.33,1872612.0
2025-10-16,46.55,47.195,46.41,47.04,1840207.0
2025-10-15,46.59,47.045,45.555,46.37,2663305.0
2025-10-14,45.99,46.82,45.81,46.73,2144573.0
2025-10-13,45.8,46.39,45.67,46.03,2061102.0
2025-10-10,46.32,46.58,45.7,45.97,2168883.0
2025-10-09,45.72,46.1,45.3365,46.01,2343833.0
2025-10-08,46.18,46.29,45.57,45.6,2035901.0
2025-10-07,46.0,46.47,45.72,46.18,2171213.0
2025-10-06,46.25,46.285,45.64,45.65,2297270.0
2025-10-03,46.11,46.48,46.0,46.39,1684227.0
2025-10-02,45.82,46.6961,45.82,46.18,2467883.0
2025-10-01,45.885,46.215,45.4402,46.03,2804048.0
2025-09-30,45.3,45.465,44.5476,45.25,2763584.0
2025-09-29,44.89,45.89,44.72,45.76,2587559.0
2025-09-26,44.67,45.09,44.47,44.83,2154374.0
2025-09-25,45.425,45.605,44.3,44.41,3217817.0
2025-09-24,43.9,45.47,43.8026,45.31,3645700.0
2025-09-23,45.41,45.41,43.99,44.09,3732268.0
2025-09-22,46.1,46.31,45.08,45.09,3558414.0
2025-09-19,47.15,47.22,46.35,46.57,5386206.0
2025-09-18,46.75,47.24,46.42,46.9,2142148.0
2025-09-17,47.55,48.0,46.765,46.86,2404245.0
2025-09-16,47.83,48.1399,46.97,47.43,2759222.0
2025-09-15,48.46,48.6,47.61,47.82,2454014.0
2025-09-12,48.66,48.79,48.0609,48.42,2467491.0
2025-09-11,49.32,49.42,48.85,49.13,1953842.0
2025-09-10,49.22,49.25,48.53,49.05,2613906.0
2025-09-09,50.04,50.31,49.3,49.45,2060466.0
2025-09-08,50.09,50.19,49.46,49.88,1983514.0
2025-09-05,49.48,50.66,49.415,50.39,1787938.0
2025-09-04,49.97,50.0605,49.5,49.91,1866361.0
2025-09-03,50.08,50.22,49.63,49.81,2477373.0
2025-09-02,49.55,50.395,49.42,50.25,2358198.0
2025-08-29,50.4,50.94,50.14,50.49,1714647.0
2025-08-28,51.39,51.39,49.79,50.22,2054213.0
2025-08-27,50.27,51.29,50.27,51.13,2029895.0
2025-08-26,51.28,51.425,50.245,50.33,2652987.0
2025-08-25,52.58,52.81,51.44,51.61,1440682.0
2025-08-22,51.95,52.94,51.81,52.81,1717485.0
2025-08-21,50.99,51.83,50.61,51.74,2213784.0
2025-08-20,51.77,52.131,51.25,51.32,2510457.0
2025-08-19,51.15,52.1488,51.14,51.55,1942694.0
2025-08-18,51.31,51.61,50.985,51.12,2091910.0
2025-08-15,51.41,51.735,51.175,51.42,1514087.0
2025-08-14,51.4,51.615,50.56,51.23,1661049.0
2025-08-13,50.77,51.945,50.66,51.71,2565201.0
2025-08-12,50.55,51.65,50.3515,51.04,2667464.0
2025-08-11,50.67,51.08,49.7,50.31,3348101.0
2025-08-08,49.78,51.035,49.75,50.69,2560907.0
2025-08-07,50.46,50.49,49.33,49.5,3500579.0
2025-08-06,49.21,50.395,48.68,50.21,3744848.0
2025-08-05,49.04,51.085,47.95,49.22,5773846.0
2025-08-04,48.28,49.095,48.11,48.61,3762977.0
2025-08-01,49.31,49.39,48.09,48.21,3089589.0
2025-07-31,48.48,49.26,48.03,48.72,4733242.0
2025-07-30,50.53,50.75,49.13,49.32,2244091.0
2025-07-29,49.98,50.66,49.75,50.62,2118123.0
2025-07-28,50.65,50.885,49.6338,49.92,1996507.0
2025-07-25,51.07,51.27,50.77,51.19,1976554.0
2025-07-24,51.86,52.06,50.835,50.87,2377472.0
2025-07-23,51.94,52.15,51.62,52.08,2622744.0
2025-07-22,50.08,51.64,50.08,51.64,2435139.0
2025-07-21,50.24,50.47,49.85,49.96,1918199.0
2025-07-18,50.63,50.84,49.95,50.06,1903441.0
2025-07-17,49.64,50.409,49.56,50.34,2108502.0
2025-07-16,49.0,49.81,48.92,49.68,1750004.0
2025-07-15,49.47,49.605,48.92,49.05,2043875.0
2025-07-14,49.79,49.84,48.91,49.47,1656557.0
2025-07-11,49.3,50.19,49.04,50.0,1782029.0
2025-07-10,49.07,50.3799,48.98,49.81,1972495.0
2025-07-09,49.36,49.81,48.93,49.55,2234690.0
2025-07-08,48.72,49.72,48.49,49.38,2429376.0
2025-07-07,49.2,49.49,48.665,49.0,2422086.0
2025-07-03,49.67,50.0,49.325,49.44,1466374.0
2025-07-02,49.38,49.86,49.03,49.54,2909575.0
2025-07-01,48.19,49.835,48.02,49.07,3076886.0
2025-06-30,47.31,48.23,47.3,48.09,3795647.0
2025-06-27,46.94,47.58,46.94,47.44,3322398.0
2025-06-26,47.42,48.1499,47.19,47.24,2633551.0
2025-06-25,48.13,48.1899,47.05,47.24,2772708.0
2025-06-24,48.18,48.74,47.95,48.22,2846676.0
2025-06-23,47.9,48.34,47.41,48.05,2881239.0
2025-06-20,48.97,49.045,47.83,48.05,4635606.0
2025-06-18,49.48,49.87,48.75,48.81,3016271.0
2025-06-17,49.36,50.05,49.29,49.34,2988496.0
2025-06-16,51.0,51.0,49.36,49.62,2836278.0
2025-06-13,51.22,51.49,50.4,50.59,1993794.0
2025-06-12,51.55,51.725,51.17,51.52,1815579.0
2025-06-11,52.24,52.295,51.54,51.76,2004237.0
