date,Open,High,Low,Close,Volume
2025-10-31,124.73,124.91,122.815,124.47,299915.0
2025-10-30,127.22,128.18,124.16,124.84,402596.0
2025-10-29,129.52,130.35,127.585,128.12,432199.0
2025-10-28,131.62,132.635,129.89,130.58,478389.0
2025-10-27,132.2,133.29,130.88,132.55,360036.0
2025-10-24,133.21,134.015,131.745,131.91,289522.0
2025-10-23,132.83,133.72,130.25,132.35,381040.0
2025-10-22,132.59,135.96,131.995,132.78,402643.0
2025-10-21,130.38,133.34,129.75,133.06,477639.0
2025-10-20,128.49,131.295,128.49,130.54,384416.0
2025-10-17,124.7,128.92,123.17,128.13,599513.0
2025-10-16,122.12,124.5,121.2463,123.88,310089.0
2025-10-15,122.73,123.77,121.17,121.48,422303.0
2025-10-14,118.58,123.06,118.45,122.28,353241.0
2025-10-13,119.71,122.15,119.71,120.09,491559.0
2025-10-10,125.09,125.85,118.97,119.42,627970.0
2025-10-09,128.98,129.43,124.44,124.7,509021.0
2025-10-08,127.6,129.07,126.49,128.43,318146.0
2025-10-07,128.24,128.625,126.185,126.89,424329.0
2025-10-06,131.54,131.54,127.315,127.71,415231.0
2025-10-03,125.92,131.8,124.98,130.9,757842.0
2025-10-02,123.34,126.145,122.7813,125.5,545771.0
2025-10-01,122.73,125.0,121.36,123.92,500623.0
2025-09-30,121.06,122.45,119.44,122.36,523624.0
2025-09-29,120.41,121.28,119.105,120.65,442335.0
2025-09-26,117.5,121.22,117.5,119.99,933268.0
2025-09-25,122.36,123.37,115.73,117.0,857217.0
2025-09-24,121.51,123.96,121.51,123.29,406294.0
2025-09-23,123.18,124.68,121.63,122.11,529664.0
2025-09-22,121.82,123.313,120.87,122.84,667109.0
2025-09-19,126.0,126.0,122.55,122.63,1037011.0
2025-09-18,126.32,126.81,125.13,125.8,529225.0
2025-09-17,126.21,129.285,125.05,125.62,534808.0
2025-09-16,126.0,127.42,125.235,125.82,407442.0
2025-09-15,130.38,131.44,123.53,125.89,1140853.0
2025-09-12,132.08,132.81,130.16,130.31,712975.0
2025-09-11,130.74,133.18,129.92,132.5,535080.0
2025-09-10,129.58,130.41,128.3175,130.29,858776.0
2025-09-09,130.11,130.97,129.55,130.23,538751.0
2025-09-08,130.34,130.96,128.66,130.18,794835.0
2025-09-05,129.5,131.74,129.5,130.7,624078.0
2025-09-04,126.25,129.28,125.26,129.09,640312.0
2025-09-03,125.37,127.24,124.55,126.05,603997.0
2025-09-02,125.44,127.16,123.8,127.04,774080.0
2025-08-29,126.22,127.26,125.7,126.41,440766.0
2025-08-28,128.95,129.53,125.39,126.22,436363.0
2025-08-27,126.75,129.648,126.75,129.5,640792.0
2025-08-26,127.01,128.76,126.96,127.24,477949.0
2025-08-25,129.28,129.76,127.47,127.55,478988.0
2025-08-22,125.8,129.675,125.8,129.42,444429.0
2025-08-21,124.67,126.57,124.07,124.61,606498.0
2025-08-20,123.86,126.91,123.86,125.65,762752.0
2025-08-19,120.48,125.045,120.45,124.3,655351.0
2025-08-18,120.99,122.21,119.86,119.86,550764.0
2025-08-15,121.38,122.33,120.53,120.68,322159.0
2025-08-14,121.28,122.0799,120.8,121.5,430042.0
2025-08-13,120.1,123.09,119.3436,122.92,629539.0
2025-08-12,116.81,121.05,116.1,119.64,485919.0
2025-08-11,118.55,120.035,115.85,115.95,726596.0
2025-08-08,117.24,119.81,117.01,118.41,701186.0
2025-08-07,113.83,116.52,112.01,115.49,732685.0
2025-08-06,115.0,115.7899,111.91,112.07,530399.0
2025-08-05,116.03,117.185,114.38,114.85,510391.0
2025-08-04,116.19,117.59,115.47,116.06,513023.0
2025-08-01,119.35,119.65,113.35,115.89,642836.0
2025-07-31,123.1,123.79,117.59,119.5,893751.0
2025-07-30,115.1,116.13,113.78,113.91,522423.0
2025-07-29,115.19,116.21,114.5701,115.49,309568.0
2025-07-28,116.12,117.25,115.385,115.56,395743.0
2025-07-25,116.17,117.36,114.9844,117.19,326404.0
2025-07-24,117.31,118.81,116.125,116.2,541318.0
2025-07-23,116.85,117.64,115.51,117.24,651680.0
2025-07-22,110.8,115.22,108.9,115.2,670104.0
2025-07-21,111.72,112.0843,109.73,109.79,703758.0
2025-07-18,114.03,114.3555,110.83,111.06,845809.0
2025-07-17,112.66,114.0,112.5,113.59,543589.0
2025-07-16,114.01,114.625,112.32,113.32,684024.0
2025-07-15,116.01,116.395,113.32,113.47,685281.0
2025-07-14,115.8,116.725,114.5,115.75,641744.0
2025-07-11,118.32,119.025,116.215,116.4,307857.0
2025-07-10,118.41,121.75,118.21,119.94,444210.0
2025-07-09,119.29,120.0,117.83,118.93,452217.0
2025-07-08,116.93,121.7196,116.88,119.68,632496.0
2025-07-07,119.26,120.0,116.32,116.67,458045.0
2025-07-03,122.16,122.39,119.79,119.9,360058.0
2025-07-02,122.33,122.42,120.58,121.59,532469.0
2025-07-01,118.77,123.965,118.09,121.83,735539.0
2025-06-30,120.0,120.0,117.41,118.36,1027226.0
2025-06-27,119.11,119.99,118.31,119.47,712257.0
2025-06-26,119.48,120.38,118.95,119.58,303574.0
2025-06-25,120.02,120.32,118.68,119.15,431644.0
2025-06-24,118.59,120.27,117.525,120.1,461848.0
2025-06-23,117.94,118.85,115.9397,118.06,447529.0
2025-06-20,118.62,118.995,116.6,118.31,1263651.0
2025-06-18,117.89,118.6175,117.04,117.72,556011.0
2025-06-17,119.63,120.8892,117.24,117.53,496923.0
2025-06-16,120.38,121.5325,119.6196,121.11,360756.0
2025-06-13,120.42,122.17,119.89,119.93,368994.0
2025-06-12,120.72,122.3499,120.72,122.1,348599.0
2025-06-11,125.78,125.99,121.41,122.47,465377.0
