date,Open,High,Low,Close,Volume
2025-10-31,141.67,142.06,139.71,140.14,4877357.0
2025-10-30,141.61,143.49,141.4,142.29,4168649.0
2025-10-29,143.57,143.835,140.86,141.69,4383445.0
2025-10-28,142.82,144.05,142.2675,144.03,3628546.0
2025-10-27,142.55,143.54,142.09,143.27,3775393.0
2025-10-24,142.77,142.99,141.84,141.91,3442649.0
2025-10-23,143.06,143.39,142.09,142.4,5072531.0
2025-10-22,144.4,144.62,142.93,143.06,3800206.0
2025-10-21,143.18,144.3,142.665,143.91,3887067.0
2025-10-20,143.95,144.375,142.55,143.33,3321720.0
2025-10-17,143.0,144.46,142.65,143.84,4003151.0
2025-10-16,145.265,145.265,142.0601,142.55,3400159.0
2025-10-15,144.01,146.4625,144.01,145.16,5397683.0
2025-10-14,141.41,144.363,141.16,144.1,4431860.0
2025-10-13,140.23,141.905,139.78,141.39,4144525.0
2025-10-10,138.71,141.065,138.225,140.38,4261186.0
2025-10-09,140.73,141.47,138.45,138.56,3750950.0
2025-10-08,142.72,142.95,140.38,140.71,5158356.0
2025-10-07,142.74,143.65,140.11,142.66,6700979.0
2025-10-06,141.24,143.64,141.24,143.11,6309617.0
2025-10-03,142.49,143.25,141.15,141.33,2994107.0
2025-10-02,143.67,144.49,142.2,142.49,4449477.0
2025-10-01,144.08,145.115,143.535,144.32,6703906.0
2025-09-30,143.31,144.83,143.31,144.54,6435854.0
2025-09-29,143.19,143.65,142.045,143.52,4260517.0
2025-09-26,141.87,143.22,141.445,143.09,4224433.0
2025-09-25,140.87,141.57,140.3,141.46,4119956.0
2025-09-24,139.51,141.45,139.0,140.44,5027665.0
2025-09-23,139.45,139.86,138.9,139.72,3308555.0
2025-09-22,139.79,139.79,138.67,139.41,3683346.0
2025-09-19,140.185,140.42,139.095,139.78,7503971.0
2025-09-18,139.97,141.02,139.37,139.93,4794889.0
2025-09-17,139.99,140.89,139.215,140.04,4617144.0
2025-09-16,140.67,141.11,138.83,139.55,3786539.0
2025-09-15,139.8,141.24,139.47,141.17,4186780.0
2025-09-12,140.52,141.355,138.9,139.48,5173257.0
2025-09-11,140.38,141.25,139.79,140.83,5197897.0
2025-09-10,139.56,140.04,138.71,139.86,3573599.0
2025-09-09,139.78,140.525,139.06,139.97,3453325.0
2025-09-08,139.23,141.0,139.15,140.84,4801504.0
2025-09-05,141.42,141.5,138.93,139.26,6735961.0
2025-09-04,139.87,141.1,139.71,141.02,4172463.0
2025-09-03,138.57,139.58,138.39,139.47,4674368.0
2025-09-02,136.2,138.595,136.2,138.57,5282939.0
2025-08-29,137.27,137.48,135.895,136.61,4118560.0
2025-08-28,137.55,137.9,136.3002,137.12,5139011.0
2025-08-27,136.68,137.5,136.22,137.23,4521962.0
2025-08-26,135.67,136.74,134.745,136.68,6531555.0
2025-08-25,136.11,137.07,135.36,135.5,4734604.0
2025-08-22,137.97,139.3774,135.92,136.54,5776666.0
2025-08-21,136.46,138.76,136.315,137.51,7054329.0
2025-08-20,143.535,145.58,137.76,138.27,13223171.0
2025-08-19,133.34,134.97,133.34,134.62,6727275.0
2025-08-18,132.93,134.13,132.63,133.06,6225921.0
2025-08-15,133.13,133.61,132.01,132.62,4796194.0
2025-08-14,133.02,134.015,132.71,132.95,3763283.0
2025-08-13,133.345,134.23,133.16,134.1,5594084.0
2025-08-12,132.81,133.66,132.33,133.39,4284878.0
2025-08-11,131.79,132.45,130.88,132.4,3304220.0
2025-08-08,132.08,132.7499,131.36,131.37,4629746.0
2025-08-07,132.71,132.89,130.98,131.98,6154837.0
2025-08-06,128.91,132.16,128.63,132.1,4839543.0
2025-08-05,129.23,129.85,128.48,128.77,5178507.0
2025-08-04,126.42,129.22,126.3,129.22,4807802.0
2025-08-01,124.11,126.23,123.78,126.0,4855593.0
2025-07-31,124.94,125.765,124.38,124.53,4652988.0
2025-07-30,126.63,127.08,125.2802,125.81,3193317.0
2025-07-29,126.1,127.0,125.5,126.37,5543462.0
2025-07-28,126.34,127.13,124.85,125.39,6114609.0
2025-07-25,126.76,127.02,125.96,126.44,5143326.0
2025-07-24,126.07,126.72,125.4,126.26,4722811.0
2025-07-23,126.19,127.04,125.925,126.36,4367663.0
2025-07-22,125.08,126.43,124.2303,125.6,4284929.0
2025-07-21,122.485,125.1722,122.3,124.94,4722225.0
2025-07-18,122.3,122.82,122.0,122.17,3464578.0
2025-07-17,121.05,122.39,121.0,122.17,3828349.0
2025-07-16,122.13,122.29,119.8405,121.35,6152040.0
2025-07-15,123.19,123.79,121.72,121.74,4720512.0
2025-07-14,123.15,123.69,122.52,123.56,4651235.0
2025-07-11,123.73,124.17,123.37,123.71,4146140.0
2025-07-10,125.02,125.365,123.985,124.16,5051203.0
2025-07-09,125.52,125.95,124.35,125.45,3818359.0
2025-07-08,125.02,125.65,124.145,125.26,5683325.0
2025-07-07,125.95,126.2,124.72,125.17,3945047.0
2025-07-03,125.35,126.11,124.77,125.86,2986646.0
