date,Open,High,Low,Close,Volume
2025-10-31,111.62,112.66,109.51,109.82,3215607.0
2025-10-30,112.05,113.23,110.01,111.37,3207451.0
2025-10-29,112.67,113.955,111.58,112.92,2714686.0
2025-10-28,114.22,115.09,112.65,113.11,2397865.0
2025-10-27,116.38,116.38,112.66,114.97,2959671.0
2025-10-24,114.94,116.03,113.87,114.71,1465486.0
2025-10-23,114.78,116.4,114.17,114.9,2289494.0
2025-10-22,117.19,118.445,114.19,115.33,2461276.0
2025-10-21,117.87,117.95,116.0001,117.14,2091756.0
2025-10-20,117.64,117.75,115.83,116.34,1442364.0
2025-10-17,115.67,117.304,115.1,116.82,1908490.0
2025-10-16,117.43,118.375,115.68,116.51,1432079.0
2025-10-15,117.25,118.56,116.09,116.69,2593820.0
2025-10-14,112.65,117.31,111.35,116.26,2004975.0
2025-10-13,111.75,114.55,111.37,114.06,2563435.0
2025-10-10,112.94,113.075,108.14,108.22,2231206.0
2025-10-09,116.22,116.22,112.3,113.48,1809541.0
2025-10-08,116.06,116.83,115.0,116.81,1623120.0
2025-10-07,116.16,116.16,112.88,115.26,2045323.0
2025-10-06,115.7,117.14,113.91,115.49,2437867.0
2025-10-03,116.38,117.77,114.85,114.92,1914826.0
2025-10-02,114.75,115.9,113.4184,115.56,2261859.0
2025-10-01,112.03,114.2,111.62,113.83,3187480.0
2025-09-30,111.95,113.88,109.99,113.22,3586740.0
2025-09-29,110.5,111.58,108.5816,111.46,2826573.0
2025-09-26,108.25,109.06,107.1201,109.05,2221046.0
2025-09-25,111.62,112.0,106.2616,107.8,4191222.0
2025-09-24,115.88,117.0,113.22,113.42,3279085.0
2025-09-23,113.92,116.49,113.125,116.14,2711596.0
2025-09-22,114.17,114.705,112.35,113.88,3408686.0
2025-09-19,113.53,115.35,112.96,114.19,5658342.0
2025-09-18,110.61,113.46,110.16,113.3,3006929.0
2025-09-17,110.07,111.02,108.73,109.88,3127105.0
2025-09-16,110.16,110.16,107.76,109.5,2885309.0
2025-09-15,106.27,111.49,106.2,110.17,3415471.0
2025-09-12,106.06,108.0,105.56,106.47,2940834.0
2025-09-11,106.83,107.35,105.22,106.87,3860021.0
2025-09-10,107.03,107.52,101.6,105.3,5118620.0
2025-09-09,104.82,105.25,102.49,105.18,2909777.0
