date,Open,High,Low,Close,Volume
2025-10-31,51.01,51.55,50.62,51.41,2484259.0
2025-10-30,50.59,51.55,50.56,51.41,2743935.0
2025-10-29,51.69,51.76,50.65,50.72,2867335.0
2025-10-28,51.91,52.64,51.5339,52.14,2454721.0
2025-10-27,51.47,52.185,51.26,52.09,2449938.0
2025-10-24,51.8,52.05,51.045,51.38,2410809.0
2025-10-23,52.5,52.7,51.59,51.81,2140115.0
2025-10-22,52.28,53.24,51.93,52.72,2919431.0
2025-10-21,52.48,52.75,52.28,52.35,1754933.0
2025-10-20,52.54,52.715,52.16,52.48,2088805.0
2025-10-17,51.99,52.54,51.585,52.48,2232387.0
2025-10-16,52.81,53.07,51.9,52.16,2679284.0
2025-10-15,52.75,53.265,52.54,52.81,2084226.0
2025-10-14,51.58,52.93,51.0711,52.85,3119339.0
2025-10-13,51.71,52.21,51.5,52.1,3280343.0
2025-10-10,51.78,52.14,51.53,52.1,3272786.0
2025-10-09,52.61,52.61,51.565,51.58,3130243.0
2025-10-08,54.09,54.16,52.293,52.42,4312112.0
2025-10-07,54.15,54.23,53.05,54.21,3347991.0
2025-10-06,54.52,54.675,54.09,54.15,3232684.0
2025-10-03,54.44,54.835,54.42,54.69,1619722.0
2025-10-02,54.15,54.735,54.05,54.42,2850647.0
2025-10-01,54.41,54.78,54.285,54.47,2493415.0
2025-09-30,54.04,54.45,53.435,54.3,4233025.0
2025-09-29,53.9,54.2,52.96,53.96,4083141.0
2025-09-26,53.99,54.32,53.865,54.19,2311392.0
2025-09-25,54.75,54.75,53.7,53.75,2543591.0
2025-09-24,53.66,54.64,53.6436,54.46,2246042.0
2025-09-23,53.85,54.16,53.56,53.85,1988818.0
2025-09-22,53.57,54.17,53.2877,53.66,3168445.0
2025-09-19,54.22,54.275,53.59,53.59,3710838.0
2025-09-18,53.95,54.305,53.75,54.01,1995581.0
2025-09-17,54.35,54.81,54.055,54.12,2303224.0
2025-09-16,54.05,54.615,53.785,54.34,2944586.0
2025-09-15,55.28,55.38,53.905,54.0,2712167.0
2025-09-12,56.015,56.07,55.11,55.13,2357221.0
2025-09-11,55.77,56.43,55.55,56.08,2932627.0
2025-09-10,55.6,55.68,54.815,55.42,2197155.0
2025-09-09,55.7,56.08,55.6,55.84,2235605.0
2025-09-08,55.77,56.067,55.36,55.9,2860591.0
2025-09-05,56.11,56.68,55.7,56.2,2013582.0
2025-09-04,56.5,56.57,55.97,56.18,1946149.0
2025-09-03,56.37,56.54,55.41,56.35,3231748.0
2025-09-02,56.72,56.895,56.15,56.54,2675193.0
2025-08-29,55.86,56.87,55.73,56.78,2591740.0
2025-08-28,57.42,57.44,55.51,56.12,3290033.0
2025-08-27,57.09,57.55,57.02,57.43,1868954.0
2025-08-26,57.25,57.49,56.875,57.23,4071081.0
2025-08-25,57.4,57.55,56.96,57.46,2159886.0
2025-08-22,57.33,57.75,57.14,57.61,1986954.0
2025-08-21,56.49,57.175,56.11,56.97,1841313.0
2025-08-20,57.01,57.53,56.3,56.58,2398839.0
2025-08-19,56.26,56.865,56.13,56.71,2222811.0
2025-08-18,56.81,56.93,55.85,56.07,2706914.0
2025-08-15,56.51,57.09,56.3,56.8,1971794.0
2025-08-14,57.27,57.52,55.95,56.3,2392041.0
2025-08-13,56.17,57.74,56.15,57.69,2587630.0
2025-08-12,56.65,57.08,56.0,56.44,2794693.0
2025-08-11,57.04,57.28,56.18,56.68,2137736.0
2025-08-08,56.58,57.31,56.365,57.04,2497294.0
2025-08-07,56.23,56.555,55.51,56.34,2557353.0
