date,Open,High,Low,Close,Volume
2025-10-31,253.16,257.09,253.16,256.37,1411265.0
2025-10-30,251.46,255.975,250.0,252.78,1265081.0
2025-10-29,250.12,252.75,249.24,251.73,1520541.0
2025-10-28,254.64,256.2,251.41,251.57,1455633.0
2025-10-27,256.29,257.005,252.15,254.27,1318284.0
2025-10-24,255.95,258.03,254.4,255.12,957401.0
2025-10-23,255.34,256.99,254.245,254.53,1042180.0
2025-10-22,261.0,261.06,254.941,255.56,1590829.0
2025-10-21,261.29,262.2031,258.33,260.28,916154.0
2025-10-20,262.22,262.95,260.37,262.29,1340184.0
2025-10-17,259.23,263.0,258.22,261.35,1002026.0
2025-10-16,262.72,264.34,257.54,259.23,1327285.0
2025-10-15,259.42,264.785,259.38,261.5,1325555.0
2025-10-14,256.99,260.7299,254.5487,257.72,900072.0
2025-10-13,253.3,257.42,251.5,256.68,931458.0
2025-10-10,256.09,258.14,250.95,251.97,1350341.0
2025-10-09,259.34,259.38,255.86,256.69,923345.0
2025-10-08,261.11,262.19,255.57,258.07,1332920.0
2025-10-07,257.5,261.09,257.5,260.5,1383390.0
2025-10-06,258.65,259.96,256.1,256.98,1399796.0
2025-10-03,256.67,261.09,255.51,257.68,1728474.0
2025-10-02,255.4,257.335,252.55,256.94,1366330.0
2025-10-01,256.69,258.42,253.2,255.4,1626328.0
2025-09-30,259.7,261.155,256.16,258.36,1986714.0
2025-09-29,257.57,261.47,254.55,259.96,2671320.0
2025-09-26,246.315,258.1,245.49,256.12,3480586.0
2025-09-25,244.09,246.13,242.615,245.11,1189116.0
2025-09-24,253.06,253.06,239.46,244.12,2076154.0
2025-09-23,251.64,254.12,250.84,251.28,1573068.0
2025-09-22,249.39,255.33,249.39,251.64,1609367.0
2025-09-19,251.96,252.4,247.8064,250.85,3620235.0
2025-09-18,251.09,252.61,249.11,249.74,2167138.0
2025-09-17,248.0,251.2,245.7,250.52,1690939.0
2025-09-16,247.54,250.96,246.7218,247.73,1764313.0
2025-09-15,246.25,250.2484,245.92,247.25,1333464.0
2025-09-12,245.97,248.295,244.03,246.26,1001685.0
2025-09-11,246.07,248.0,244.885,246.54,976820.0
2025-09-10,248.58,248.58,243.46,244.04,1116417.0
2025-09-09,249.28,249.9999,247.27,247.86,997647.0
2025-09-08,241.78,250.45,241.4,248.78,2214540.0
2025-09-05,242.0,242.69,236.94,239.68,979465.0
2025-09-04,238.53,240.84,237.371,240.65,915426.0
2025-09-03,241.0,242.3,237.025,238.86,1169430.0
2025-09-02,231.16,241.08,229.33,240.95,1860506.0
2025-08-29,234.28,235.99,232.605,233.27,989052.0
2025-08-28,230.64,235.03,230.64,234.9,1127151.0
2025-08-27,230.52,232.34,228.75,232.03,1030309.0
2025-08-26,231.36,233.55,230.325,230.82,2165313.0
2025-08-25,228.67,232.99,228.5,231.83,1188089.0
2025-08-22,228.67,230.07,226.745,229.03,1089332.0
2025-08-21,227.47,228.79,226.28,227.87,950480.0
2025-08-20,227.38,229.45,225.54,228.67,1327312.0
2025-08-19,232.1,232.45,227.745,228.36,1366324.0
2025-08-18,233.47,235.6,231.52,232.55,1428641.0
2025-08-15,233.65,233.65,229.59,232.18,1376626.0
2025-08-14,235.3,238.39,232.2,233.16,1688745.0
2025-08-13,233.29,236.24,230.7,236.14,2105918.0
2025-08-12,224.435,232.78,224.2,232.56,2440238.0
2025-08-11,219.36,226.57,218.4,222.67,3191102.0
2025-08-08,237.52,239.135,216.34,217.37,5619188.0
2025-08-07,227.75,228.505,222.375,226.49,2267091.0
2025-08-06,226.66,227.665,224.0,227.21,1544408.0
2025-08-05,226.18,227.99,225.41,225.92,1398107.0
2025-08-04,222.84,226.39,221.615,225.99,1875325.0
2025-08-01,222.82,222.82,219.07,220.58,1396460.0
2025-07-31,224.62,225.31,222.3,222.73,1643978.0
2025-07-30,224.05,225.92,223.05,223.81,1512046.0
2025-07-29,227.15,227.36,222.5,223.98,1857602.0
2025-07-28,228.23,228.66,224.4122,226.1,1421678.0
2025-07-25,226.0,227.205,223.04,224.75,1895607.0
2025-07-24,228.18,229.405,225.33,225.75,1608296.0
2025-07-23,230.45,231.2899,227.87,228.73,1331151.0
2025-07-22,232.13,232.85,229.1,231.07,1777141.0
2025-07-21,232.075,233.24,230.06,231.63,1355962.0
2025-07-18,233.97,234.95,227.45,231.18,3170699.0
2025-07-17,238.73,238.96,230.4,233.92,2106067.0
2025-07-16,238.79,239.6,236.91,238.73,1660469.0
2025-07-15,237.8,241.065,236.2,237.7,2203496.0
2025-07-14,233.995,239.16,233.5,238.46,1339984.0
2025-07-11,235.78,236.53,233.15,233.92,1429460.0
2025-07-10,241.67,242.53,234.6,235.33,2472205.0
2025-07-09,241.35,243.18,240.16,242.23,1369512.0
2025-07-08,242.53,243.13,239.51,240.56,1083344.0
2025-07-07,240.64,243.185,239.84,242.53,1924540.0
2025-07-03,240.16,240.9875,237.01,240.11,1008273.0
2025-07-02,239.93,242.28,238.82,239.51,1640728.0
2025-07-01,242.425,243.904,238.11,240.1,1932647.0
2025-06-30,242.68,244.5,237.31,242.85,3236744.0
2025-06-27,239.55,241.91,238.88,241.44,4576830.0
2025-06-26,241.38,242.76,238.66,239.33,1667003.0
2025-06-25,243.47,244.44,240.81,241.64,1526915.0
2025-06-24,242.37,245.075,240.6165,243.05,1943345.0
2025-06-23,238.31,241.96,235.55,241.59,1719028.0
2025-06-20,240.09,242.275,236.98,238.37,3448507.0
2025-06-18,237.7,242.09,235.67,238.5,2510636.0
2025-06-17,238.61,239.56,236.15,237.52,1713236.0
2025-06-16,230.95,240.435,230.67,238.6,2220138.0
2025-06-13,232.93,235.8,229.59,230.23,2011518.0
2025-06-12,234.115,237.39,233.61,234.46,1441152.0
2025-06-11,234.33,235.67,232.24,234.74,1277678.0
