date,Open,High,Low,Close,Volume
2025-10-31,79.21,81.31,79.05,80.81,1412726.0
2025-10-30,79.67,81.16,79.38,79.42,1226737.0
2025-10-29,80.07,81.19,79.08,79.99,1802480.0
2025-10-28,80.26,80.46,79.33,79.95,1602423.0
2025-10-27,81.23,81.23,80.0,80.47,1925124.0
2025-10-24,80.18,81.31,79.41,81.22,2409901.0
2025-10-23,83.08,83.62,78.12,79.47,3737480.0
2025-10-22,82.96,83.565,82.09,82.58,2456764.0
2025-10-21,82.32,84.12,82.32,83.02,1237516.0
2025-10-20,82.03,82.46,81.77,82.4,1039680.0
2025-10-17,80.97,81.8,80.925,81.36,1053297.0
2025-10-16,82.85,83.065,81.4,81.65,861039.0
2025-10-15,84.25,84.48,81.7,82.51,1219826.0
2025-10-14,81.53,84.04,80.6501,83.76,996584.0
2025-10-13,82.35,82.84,81.71,81.74,1451872.0
2025-10-10,85.05,85.16,81.39,81.53,1198540.0
2025-10-09,86.21,86.365,84.51,84.64,1253081.0
2025-10-08,85.36,86.27,84.57,86.22,1018243.0
2025-10-07,87.54,87.9399,84.975,85.03,926012.0
2025-10-06,87.35,87.92,86.65,87.34,1293376.0
2025-10-03,86.35,87.32,86.34,86.85,1497468.0
2025-10-02,85.24,86.48,85.24,86.35,1125983.0
2025-10-01,84.03,85.59,83.85,85.21,1757804.0
2025-09-30,83.96,84.59,83.59,84.49,1271368.0
2025-09-29,84.0,84.5,83.29,84.03,1459888.0
2025-09-26,83.0,84.2,82.53,83.49,1396496.0
2025-09-25,82.43,82.86,81.9,82.35,1236581.0
2025-09-24,83.0,83.41,82.57,82.76,1319353.0
2025-09-23,83.72,84.325,82.37,83.01,1128167.0
2025-09-22,83.34,83.69,82.575,83.49,1278370.0
2025-09-19,84.0,84.08,83.29,83.62,2488804.0
2025-09-18,83.03,84.06,82.91,83.92,1062195.0
2025-09-17,83.48,84.72,82.68,82.71,2065767.0
2025-09-16,82.95,84.42,82.06,83.43,1891287.0
2025-09-15,81.6,82.66,81.24,82.23,1806603.0
2025-09-12,82.07,82.325,81.23,81.23,986921.0
2025-09-11,81.08,82.515,80.615,82.24,1110577.0
2025-09-10,80.4,81.55,80.16,81.02,950301.0
2025-09-09,82.44,82.44,80.22,80.53,1068937.0
2025-09-08,81.48,82.86,80.25,82.74,1816010.0
2025-09-05,81.3,82.18,80.82,81.45,1646814.0
2025-09-04,79.94,81.33,79.44,81.33,794694.0
2025-09-03,79.42,79.71,78.99,79.7,1499821.0
2025-09-02,79.28,79.93,78.48,79.53,1906717.0
2025-08-29,80.41,80.92,79.84,80.16,1289672.0
2025-08-28,82.11,82.21,79.79,80.46,935215.0
2025-08-27,81.37,82.12,81.145,81.89,679117.0
2025-08-26,80.96,81.65,80.75,81.38,1187184.0
2025-08-25,81.44,81.63,80.745,80.76,674630.0
2025-08-22,80.1,82.27,79.87,81.53,876754.0
2025-08-21,79.12,79.78,78.88,79.48,1013720.0
2025-08-20,79.53,80.04,79.24,79.29,1433707.0
2025-08-19,79.0,80.48,78.7991,79.68,1137654.0
2025-08-18,79.0,79.89,78.85,79.07,1571103.0
2025-08-15,80.58,80.58,78.86,78.89,1352892.0
2025-08-14,80.86,80.86,80.09,80.32,973309.0
2025-08-13,78.71,81.65,78.59,81.35,1873803.0
2025-08-12,77.88,78.94,77.63,78.54,1264056.0
2025-08-11,77.12,77.925,77.12,77.58,1643318.0
2025-08-08,77.45,77.66,76.93,77.02,744907.0
2025-08-07,78.01,78.1899,76.45,77.38,877897.0
2025-08-06,78.3,78.6,77.35,77.47,1276535.0
2025-08-05,78.04,78.27,77.17,78.22,1292109.0
2025-08-04,77.37,77.82,76.925,77.81,1139385.0
2025-08-01,76.72,77.46,75.8,77.23,1357945.0
2025-07-31,77.71,78.465,77.16,77.77,1803937.0
2025-07-30,78.49,78.69,77.33,78.05,2713363.0
2025-07-29,79.36,79.5092,77.91,78.14,2905033.0
2025-07-28,80.02,80.24,78.355,78.56,2404976.0
