date,Open,High,Low,Close,Volume
2025-10-31,4.35,4.45,4.3,4.44,5778384.0
2025-10-30,4.42,4.46,4.33,4.37,5327138.0
2025-10-29,4.55,4.59,4.44,4.46,5637379.0
2025-10-28,4.68,4.68,4.54,4.57,4984584.0
2025-10-27,4.7,4.79,4.68,4.68,3008891.0
2025-10-24,4.7,4.75,4.635,4.64,3648540.0
2025-10-23,4.65,4.73,4.6263,4.68,4352283.0
2025-10-22,4.63,4.655,4.585,4.64,4410580.0
2025-10-21,4.58,4.71,4.56,4.64,4045842.0
2025-10-20,4.64,4.69,4.57,4.57,3568495.0
2025-10-17,4.6,4.66,4.59,4.61,2852076.0
2025-10-16,4.67,4.68,4.61,4.62,4352882.0
2025-10-15,4.76,4.805,4.62,4.64,7418884.0
2025-10-14,4.58,4.81,4.58,4.75,4324462.0
2025-10-13,4.63,4.72,4.6,4.66,4619252.0
2025-10-10,4.69,4.7,4.56,4.59,6452733.0
2025-10-09,4.81,4.8551,4.68,4.7,2735214.0
2025-10-08,4.77,4.82,4.73,4.81,2582425.0
2025-10-07,4.83,4.9187,4.74,4.75,3722394.0
2025-10-06,4.93,4.93,4.83,4.84,2889679.0
2025-10-03,4.95,4.98,4.88,4.92,4009020.0
2025-10-02,4.89,5.0,4.89,4.92,3250382.0
2025-10-01,4.87,4.945,4.84,4.88,4752503.0
2025-09-30,4.85,4.88,4.77,4.83,3244382.0
2025-09-29,4.87,4.9186,4.8,4.85,5337749.0
2025-09-26,4.69,4.87,4.67,4.86,6798199.0
2025-09-25,4.7,4.715,4.61,4.66,6852210.0
2025-09-24,4.71,4.756,4.6835,4.74,5726169.0
2025-09-23,4.72,4.8297,4.695,4.7,5837147.0
2025-09-22,4.74,4.77,4.68,4.68,5568056.0
2025-09-19,4.84,4.85,4.73,4.74,9820849.0
2025-09-18,4.82,4.93,4.8,4.84,6495455.0
2025-09-17,4.8,4.93,4.76,4.78,7295796.0
2025-09-16,4.8,4.84,4.75,4.78,5792682.0
2025-09-15,4.75,4.85,4.7199,4.81,5907201.0
2025-09-12,4.89,4.895,4.73,4.76,7119096.0
2025-09-11,4.85,4.92,4.845,4.9,4907850.0
2025-09-10,4.88,4.88,4.8,4.87,4449805.0
2025-09-09,4.92,4.955,4.86,4.88,2876274.0
2025-09-08,4.99,4.99,4.83,4.92,4845278.0
2025-09-05,5.05,5.13,4.94,4.97,5311772.0
2025-09-04,4.93,5.12,4.87,5.1,7241350.0
2025-09-03,4.88,4.95,4.86,4.89,5223171.0
2025-09-02,4.88,4.945,4.86,4.89,5871980.0
2025-08-29,4.92,4.98,4.89,4.92,4019854.0
2025-08-28,4.98,4.99,4.9,4.91,4329899.0
2025-08-27,4.93,5.035,4.92,4.95,5136615.0
2025-08-26,5.035,5.06,4.89,4.91,7143367.0
2025-08-25,5.0,5.13,4.94,5.02,9511400.0
2025-08-22,4.98,5.09,4.94,5.04,6655885.0
2025-08-21,5.0,5.01,4.85,4.95,6991124.0
2025-08-20,5.09,5.17,5.02,5.03,6138744.0
2025-08-19,5.41,5.41,4.98,5.0,11546881.0
2025-08-18,5.06,5.19,5.015,5.06,6587451.0
2025-08-15,5.35,5.35,4.94,5.01,14747660.0
2025-08-14,4.86,4.86,4.7,4.76,7462703.0
2025-08-13,4.9,4.98,4.86,4.9,6406407.0
2025-08-12,5.0,5.01,4.83,4.88,7152445.0
2025-08-11,5.27,5.44,4.91,4.97,14168669.0
2025-08-08,5.12,5.36,4.88,5.19,21853306.0
2025-08-07,6.48,6.49,6.23,6.27,3032287.0
2025-08-06,6.35,6.42,6.315,6.37,1996385.0
2025-08-05,6.43,6.45,6.32,6.33,2296534.0
2025-08-04,6.26,6.465,6.25,6.4,2741108.0
2025-08-01,6.19,6.23,6.08,6.19,2428007.0
2025-07-31,6.33,6.3901,6.24,6.3,2255798.0
2025-07-30,6.6,6.6,6.295,6.36,3309008.0
2025-07-29,6.77,6.77,6.44,6.52,2108206.0
2025-07-28,6.96,6.98,6.73,6.78,2000781.0
2025-07-25,6.82,6.925,6.65,6.92,2049485.0
2025-07-24,6.87,7.0789,6.76,6.78,2183888.0
2025-07-23,6.84,7.025,6.82,6.93,2078162.0
2025-07-22,6.66,6.81,6.615,6.76,2465151.0
2025-07-21,6.52,6.83,6.52,6.6,2777137.0
2025-07-18,6.48,6.54,6.41,6.46,1689842.0
2025-07-17,6.34,6.45,6.3,6.42,1479109.0
2025-07-16,6.41,6.47,6.235,6.35,1429673.0
2025-07-15,6.6,6.65,6.38,6.39,1572311.0
2025-07-14,6.38,6.59,6.33,6.56,1648825.0
2025-07-11,6.58,6.61,6.41,6.42,1998164.0
2025-07-10,6.62,6.88,6.57,6.65,2875718.0
2025-07-09,6.68,6.72,6.5615,6.6,1225681.0
2025-07-08,6.66,6.755,6.5402,6.65,2062227.0
2025-07-07,6.7,6.795,6.5826,6.65,1496177.0
2025-07-03,6.84,6.89,6.72,6.76,1381283.0
2025-07-02,6.73,7.025,6.66,6.87,3088103.0
2025-07-01,6.47,6.96,6.46,6.74,4492659.0
2025-06-30,6.6,6.64,6.465,6.49,2587415.0
2025-06-27,6.535,6.685,6.48,6.59,3178197.0
2025-06-26,6.32,6.44,6.295,6.44,1312340.0
2025-06-25,6.5,6.535,6.3,6.31,1804464.0
2025-06-24,6.6,6.625,6.4,6.52,3459855.0
2025-06-23,6.53,6.56,6.33,6.52,3066143.0
2025-06-20,5.895,6.61,5.89,6.59,6930992.0
2025-06-18,6.02,6.055,5.85,5.86,3925183.0
2025-06-17,6.17,6.19,6.015,6.03,2752081.0
2025-06-16,6.275,6.31,6.135,6.26,3454751.0
2025-06-13,6.29,6.375,6.12,6.18,2092435.0
2025-06-12,6.44,6.48,6.355,6.43,2433879.0
2025-06-11,6.54,6.61,6.435,6.56,3180074.0
