date,Open,High,Low,Close,Volume
2025-10-31,4.5,4.62,4.45,4.61,10836927.0
2025-10-30,4.62,4.63,4.47,4.55,12248385.0
2025-10-29,4.7,4.76,4.61,4.62,11360120.0
2025-10-28,4.82,4.83,4.71,4.72,10111978.0
2025-10-27,4.86,4.94,4.82,4.85,9498533.0
2025-10-24,4.88,4.91,4.8,4.81,7888513.0
2025-10-23,4.79,4.87,4.76,4.85,8176256.0
2025-10-22,4.77,4.815,4.74,4.78,9421879.0
2025-10-21,4.745,4.89,4.7245,4.79,8770516.0
2025-10-20,4.8,4.885,4.73,4.73,8049929.0
2025-10-17,4.77,4.82,4.74,4.78,6619189.0
2025-10-16,4.81,4.85,4.76,4.76,7526749.0
2025-10-15,4.88,4.955,4.8,4.8,7005567.0
2025-10-14,4.78,4.94,4.75,4.89,8718582.0
2025-10-13,4.78,4.9,4.77,4.84,9360369.0
2025-10-10,4.84,4.84,4.72,4.75,10563172.0
2025-10-09,4.96,5.02,4.79,4.81,9135254.0
2025-10-08,4.87,4.96,4.83,4.95,7658971.0
2025-10-07,4.99,5.06,4.84,4.85,8628689.0
2025-10-06,5.055,5.061,4.9606,5.0,7460996.0
2025-10-03,5.11,5.14,5.03,5.05,8576508.0
2025-10-02,5.07,5.15,5.04,5.09,9883402.0
2025-10-01,5.01,5.11,4.985,5.03,10613902.0
2025-09-30,5.0,5.05,4.9,4.99,8594419.0
2025-09-29,5.02,5.05,4.94,5.0,9091647.0
2025-09-26,4.8,5.01,4.79,4.97,14483047.0
2025-09-25,4.83,4.83,4.72,4.77,11912714.0
2025-09-24,4.78,4.86,4.78,4.84,10013662.0
2025-09-23,4.82,4.96,4.78,4.78,12853820.0
2025-09-22,4.82,4.89,4.775,4.78,11119516.0
2025-09-19,4.95,4.97,4.83,4.83,16215720.0
2025-09-18,4.91,5.05,4.89,4.95,12189776.0
2025-09-17,4.87,5.03,4.84,4.86,13202808.0
2025-09-16,4.88,4.93,4.82,4.86,10944190.0
2025-09-15,4.79,4.975,4.76,4.88,10824989.0
2025-09-12,4.98,5.01,4.78,4.85,19419480.0
2025-09-11,5.0,5.05,4.97,5.03,9107841.0
2025-09-10,5.0,5.04,4.9112,5.0,13074387.0
2025-09-09,5.08,5.125,5.01,5.04,8221906.0
2025-09-08,5.12,5.12,4.99,5.1,10115388.0
2025-09-05,5.23,5.3,5.1,5.14,9345174.0
2025-09-04,5.06,5.31,5.04,5.26,13689992.0
2025-09-03,5.02,5.09,5.0,5.06,10249158.0
2025-09-02,4.95,5.07,4.95,5.03,13475841.0
2025-08-29,5.01,5.0789,4.96,5.0,10531247.0
2025-08-28,5.07,5.12,5.0,5.02,11861376.0
2025-08-27,5.0,5.135,5.0,5.04,13281613.0
2025-08-26,5.09,5.1258,4.95,4.99,12821391.0
2025-08-25,5.11,5.18,5.0,5.07,16467538.0
2025-08-22,5.07,5.19,5.0205,5.14,12239822.0
2025-08-21,5.08,5.1,4.94,5.05,16838677.0
2025-08-20,5.13,5.3,5.095,5.13,13439100.0
2025-08-19,5.3,5.38,5.045,5.08,17601404.0
2025-08-18,5.18,5.31,5.14,5.17,15829039.0
2025-08-15,5.18,5.37,5.03,5.17,30531327.0
2025-08-14,5.0,5.0,4.85,4.92,20825511.0
2025-08-13,5.06,5.15,5.0,5.06,23318486.0
2025-08-12,5.14,5.15,4.99,5.03,25241165.0
2025-08-11,5.6,5.625,5.09,5.12,25100179.0
2025-08-08,5.28,5.645,5.12,5.44,61855588.0
2025-08-07,6.84,6.861,6.59,6.64,12564650.0
2025-08-06,6.72,6.8,6.675,6.73,4269151.0
2025-08-05,6.76,6.83,6.6701,6.71,6449496.0
2025-08-04,6.64,6.83,6.6,6.74,6714321.0
2025-08-01,6.53,6.58,6.435,6.57,8419304.0
2025-07-31,6.7,6.795,6.61,6.64,8124962.0
2025-07-30,6.92,6.96,6.68,6.76,6216720.0
2025-07-29,7.14,7.16,6.83,6.88,8462749.0
2025-07-28,7.47,7.47,7.125,7.16,9198339.0
2025-07-25,7.21,7.36,7.041,7.36,10206765.0
2025-07-24,7.28,7.57,7.17,7.17,15471321.0
2025-07-23,7.3,7.49,7.26,7.37,7538908.0
