date,Open,High,Low,Close,Volume
2025-10-31,93.49,94.8,92.91,94.04,5829864.0
2025-10-30,94.93,95.76,92.34,93.38,6272329.0
2025-10-29,95.21,97.57,94.5,95.93,6339323.0
2025-10-28,98.7,98.7,94.5,94.94,5628616.0
2025-10-27,100.5,100.7,98.25,98.8,4016438.0
2025-10-24,97.09,99.91,96.69,99.31,6343749.0
2025-10-23,96.75,97.1,93.33,95.68,6865679.0
2025-10-22,100.1,100.91,96.16,96.27,5415339.0
2025-10-21,100.88,101.67,99.42,100.11,5740945.0
2025-10-20,99.32,103.05,98.24,101.29,7564526.0
2025-10-17,98.38,100.09,97.6,99.14,7564276.0
2025-10-16,102.94,106.45,94.05,98.19,24758453.0
2025-10-15,103.94,104.525,102.73,104.05,10114171.0
2025-10-14,97.5,103.85,97.2,103.15,6591785.0
2025-10-13,98.31,100.9,97.77,99.25,4611590.0
2025-10-10,101.72,103.87,96.39,96.67,6656804.0
2025-10-09,103.605,106.2,99.52,101.34,8097977.0
2025-10-08,96.97,98.74,95.94,98.09,6442410.0
2025-10-07,97.4,97.73,95.1975,96.65,3744973.0
2025-10-06,96.0,97.29,94.55,97.07,3792569.0
2025-10-03,95.4,95.9699,94.165,95.33,4403557.0
2025-10-02,93.64,95.4,92.9,94.83,4153208.0
2025-10-01,95.99,96.51,93.06,93.15,6303024.0
2025-09-30,98.64,99.19,94.81,96.5,5646115.0
2025-09-29,99.89,100.22,96.35,98.64,6437140.0
2025-09-26,100.34,101.05,97.77,97.91,5310650.0
2025-09-25,99.85,100.77,98.57,99.15,4082600.0
2025-09-24,104.71,104.71,100.9192,101.39,5797195.0
2025-09-23,104.24,106.5,103.99,104.13,4071594.0
2025-09-22,105.88,105.96,101.25,104.18,6791746.0
2025-09-19,105.72,106.7,103.85,106.31,11193219.0
2025-09-18,106.48,107.2,105.02,105.38,4302538.0
2025-09-17,104.58,108.15,104.19,105.51,4918225.0
2025-09-16,104.5,105.24,102.1,104.2,4989404.0
2025-09-15,106.65,106.8196,103.31,104.55,4722396.0
2025-09-12,108.95,109.57,106.5,106.58,6077766.0
2025-09-11,108.94,110.66,105.06,109.36,8182557.0
2025-09-10,105.98,108.14,105.31,107.51,5245746.0
2025-09-09,107.42,107.91,103.965,105.65,5259536.0
2025-09-08,107.475,109.44,106.21,107.77,5219232.0
2025-09-05,106.44,107.6083,105.2896,106.59,3634340.0
2025-09-04,106.1,109.3,105.41,106.05,5044150.0
2025-09-03,105.1,109.69,104.93,106.16,5766367.0
2025-09-02,102.99,104.765,101.75,104.68,7055016.0
2025-08-29,105.0,105.85,104.045,105.0,2868911.0
2025-08-28,104.93,106.28,103.37,105.08,3986130.0
2025-08-27,104.0,105.3,103.16,104.21,3158569.0
2025-08-26,102.5,104.355,102.28,104.13,3905746.0
2025-08-25,102.0,103.105,101.66,102.34,2856322.0
2025-08-22,97.61,103.29,97.52,102.98,6043200.0
2025-08-21,99.35,99.4257,96.65,97.185,3740726.0
2025-08-20,100.5,101.72,98.23,99.84,4408187.0
2025-08-19,102.43,103.55,101.4,102.19,3732074.0
2025-08-18,100.25,102.76,99.67,102.37,3886361.0
2025-08-15,99.77,101.47,99.335,100.93,6343737.0
2025-08-14,98.02,99.33,97.52,99.14,3879008.0
2025-08-13,98.67,100.06,97.165,99.79,6048167.0
2025-08-12,91.99,98.85,91.84,98.47,11546060.0
2025-08-11,89.49,91.0999,89.15,89.33,4008128.0
2025-08-08,88.19,90.4299,87.0701,89.29,4642986.0
2025-08-07,89.16,89.2,86.984,87.98,3686536.0
2025-08-06,87.745,89.3,87.51,88.87,4046558.0
2025-08-05,87.45,87.85,85.88,87.66,3816953.0
2025-08-04,85.31,87.135,84.9349,87.01,5135695.0
2025-08-01,85.43,85.7023,82.415,84.57,7304144.0
2025-07-31,90.51,90.93,88.02,88.31,5957435.0
2025-07-30,90.92,91.375,89.1,90.24,4661751.0
2025-07-29,92.81,93.44,90.28,90.65,5144627.0
2025-07-28,91.36,93.08,90.6,92.43,5138570.0
2025-07-25,89.5,91.59,89.1,91.11,5263310.0
2025-07-24,88.84,92.85,87.95,89.73,7329993.0
2025-07-23,91.25,91.88,90.3,90.43,5372318.0
2025-07-22,92.25,92.25,89.358,90.78,6769592.0
2025-07-21,92.55,92.93,91.07,92.35,6664680.0
2025-07-18,91.61,92.78,89.7301,92.25,7633978.0
2025-07-17,91.885,94.57,89.05,91.22,23413390.0
2025-07-16,87.77,88.67,85.81,88.47,15492017.0
2025-07-15,89.125,89.65,86.37,86.38,7373940.0
2025-07-14,87.75,89.05,86.52,88.94,5901682.0
2025-07-11,90.99,90.99,87.1588,87.69,9855528.0
2025-07-10,87.325,93.72,84.89,91.67,20761500.0
2025-07-09,82.43,83.14,79.86,80.18,5688777.0
2025-07-08,82.0,83.49,80.96,81.21,5442670.0
2025-07-07,81.88,83.91,80.08,81.11,4986641.0
2025-07-03,81.72,83.64,81.5,82.36,4047696.0
2025-07-02,80.26,81.25,78.33,81.01,5407694.0
2025-07-01,79.29,80.94,78.8165,80.05,5013134.0
2025-06-30,79.72,80.07,79.01,79.63,4897103.0
2025-06-27,77.87,79.745,77.36,79.18,6495708.0
2025-06-26,77.35,78.47,76.915,77.55,4633552.0
2025-06-25,79.4,79.4,76.17,76.73,5483171.0
2025-06-24,79.7,80.78,77.94,79.02,7187821.0
2025-06-23,73.5,77.34,71.55,76.97,11985207.0
2025-06-20,74.39,75.2119,73.71,74.27,8660228.0
2025-06-18,73.45,76.05,73.35,74.3,8039329.0
2025-06-17,77.01,77.25,73.05,73.67,9396491.0
2025-06-16,75.46,78.87,74.75,78.52,8555204.0
2025-06-13,73.175,76.16,72.522,74.0,10129321.0
