date,Open,High,Low,Close,Volume
2025-10-31,33.4,34.335,33.4,33.69,3984673.0
2025-10-30,34.19,34.19,33.42,33.63,4435777.0
2025-10-29,34.6,34.67,33.52,33.56,4753436.0
2025-10-28,35.9,35.93,34.95,35.04,2595090.0
2025-10-27,36.07,36.17,35.76,36.01,3393514.0
2025-10-24,36.31,36.51,36.13,36.24,3734371.0
2025-10-23,36.58,36.66,36.095,36.31,2830712.0
2025-10-22,36.67,37.04,36.34,36.6,3663433.0
2025-10-21,36.3,36.88,36.17,36.59,2932422.0
2025-10-20,36.25,36.64,36.09,36.26,1796569.0
2025-10-17,35.68,36.17,35.62,36.09,1996810.0
2025-10-16,36.3,36.34,35.81,35.91,2007161.0
2025-10-15,36.38,36.8117,36.06,36.22,2553147.0
2025-10-14,36.12,36.44,36.005,36.36,2958932.0
2025-10-13,35.58,36.215,35.47,36.15,2465502.0
2025-10-10,35.8,35.93,35.21,35.71,3331834.0
2025-10-09,35.95,36.19,35.74,35.79,2697510.0
2025-10-08,36.04,36.38,35.81,36.25,3028281.0
2025-10-07,36.02,36.43,35.86,36.13,2315707.0
2025-10-06,36.53,36.53,35.86,36.03,3335707.0
2025-10-03,36.38,36.89,36.32,36.38,1837142.0
2025-10-02,36.81,36.845,36.265,36.4,3277849.0
2025-10-01,37.15,37.325,36.761,36.92,2308032.0
2025-09-30,36.95,37.35,36.74,37.26,2762039.0
2025-09-29,36.94,37.28,36.705,36.94,3331988.0
2025-09-26,36.84,37.25,36.79,37.18,2195573.0
2025-09-25,37.02,37.18,36.64,36.71,2292012.0
2025-09-24,37.55,37.55,36.925,37.07,1970074.0
2025-09-23,37.46,37.6,37.21,37.51,1704235.0
2025-09-22,37.47,37.51,37.0209,37.39,1936903.0
2025-09-19,37.34,37.86,37.28,37.56,4504360.0
2025-09-18,37.32,37.665,37.12,37.29,1691642.0
2025-09-17,37.3,38.06,37.22,37.31,2179282.0
2025-09-16,37.77,38.08,37.265,37.31,2588739.0
2025-09-15,38.41,38.52,37.715,37.76,2600963.0
2025-09-12,38.94,39.09,38.17,38.37,1777704.0
2025-09-11,38.12,38.99,38.09,38.92,2011739.0
2025-09-10,38.86,39.2,38.055,38.19,2828550.0
2025-09-09,38.62,39.045,38.59,38.98,2285013.0
