date,Open,High,Low,Close,Volume
2025-10-31,177.5,179.11,176.7501,178.5,4347073.0
2025-10-30,177.12,179.0,176.82,177.42,3637269.0
2025-10-29,177.785,178.98,176.0,176.36,4285200.0
2025-10-28,179.3,181.31,178.555,178.67,3344079.0
2025-10-27,179.43,179.63,177.5,179.24,4039665.0
2025-10-24,180.46,180.5,178.29,178.65,3471588.0
2025-10-23,177.6,179.98,176.5001,179.44,5249411.0
2025-10-22,174.49,178.72,173.9199,177.98,10219052.0
2025-10-21,171.81,178.76,170.255,173.04,12296748.0
2025-10-20,159.67,162.07,159.445,160.71,6517842.0
2025-10-17,156.33,158.54,156.1,157.95,5435225.0
2025-10-16,157.77,158.33,156.1,157.05,3926568.0
2025-10-15,159.49,160.655,155.64,157.0,5954743.0
2025-10-14,158.2,160.58,157.29,159.4,3590509.0
2025-10-13,158.445,159.5487,157.37,158.85,5322326.0
2025-10-10,162.01,162.46,157.435,157.7,7776447.0
2025-10-09,168.99,169.15,161.9,162.18,5962371.0
2025-10-08,170.07,170.85,168.43,168.57,4683664.0
2025-10-07,169.36,170.36,168.82,169.27,5186501.0
2025-10-06,167.0,169.75,167.0,168.8,3816913.0
2025-10-03,166.81,167.26,165.495,166.58,2678258.0
2025-10-02,167.14,168.25,165.89,166.63,3498320.0
2025-10-01,165.87,167.72,165.08,167.2,4034453.0
2025-09-30,164.29,167.5,163.8747,167.33,4893662.0
2025-09-29,167.43,168.28,162.79,163.63,6216112.0
2025-09-26,162.0,165.35,161.69,163.35,3962049.0
2025-09-25,162.14,162.3,159.6873,160.51,3917666.0
2025-09-24,161.15,163.0284,160.7,161.38,4269813.0
2025-09-23,159.745,161.395,158.95,160.54,3287068.0
2025-09-22,158.07,159.8,157.67,159.43,3296701.0
2025-09-19,158.7,158.7,156.69,158.24,7083681.0
2025-09-18,157.31,158.29,156.5,158.19,3696121.0
2025-09-17,158.57,159.3199,157.62,158.31,3999375.0
2025-09-16,159.85,159.95,157.64,158.58,6525539.0
2025-09-15,155.925,158.48,155.71,158.37,3891839.0
2025-09-12,157.75,158.14,155.82,155.85,3194530.0
2025-09-11,155.03,158.01,154.36,157.65,4289881.0
2025-09-10,152.0,155.04,151.65,155.0,4520436.0
2025-09-09,153.64,153.7,150.6128,151.75,5461342.0
2025-09-08,156.92,157.0,153.6567,154.22,5522839.0
2025-09-05,158.6,159.0,155.56,157.52,4046261.0
2025-09-04,158.23,159.17,157.55,158.68,3218791.0
2025-09-03,157.95,158.34,156.45,158.11,2734000.0
2025-09-02,158.2,158.63,156.37,158.01,3260070.0
2025-08-29,161.055,161.095,158.43,158.6,3774903.0
2025-08-28,160.15,161.26,159.2501,160.66,3117675.0
2025-08-27,159.97,160.21,159.0,159.84,2992312.0
2025-08-26,156.755,159.7,156.375,159.57,5096073.0
2025-08-25,156.63,157.64,156.0,156.27,2431067.0
2025-08-22,157.05,157.9444,156.21,156.24,4252735.0
2025-08-21,156.79,157.75,156.22,156.32,3179913.0
2025-08-20,153.77,157.11,153.09,156.59,3766527.0
2025-08-19,154.57,155.125,153.21,153.66,3008612.0
2025-08-18,154.43,156.18,154.4,155.5,3679313.0
2025-08-15,154.26,154.87,153.33,154.09,4594161.0
2025-08-14,155.6,156.33,154.645,155.08,2766794.0
2025-08-13,156.0,156.34,152.66,155.71,5012527.0
2025-08-12,154.97,155.93,154.5628,155.49,2963338.0
2025-08-11,154.725,155.67,154.14,154.8,3572882.0
2025-08-08,156.6,156.92,154.72,154.86,3667307.0
2025-08-07,154.65,155.76,153.24,155.76,5105835.0
2025-08-06,156.65,157.73,155.64,155.75,4112067.0
2025-08-05,157.27,158.045,155.76,156.33,4993941.0
2025-08-04,157.13,158.41,156.74,157.38,3961895.0
2025-08-01,156.29,157.475,153.75,156.81,4420724.0
2025-07-31,158.11,158.225,156.75,157.57,4795979.0
2025-07-30,157.45,158.73,156.42,158.4,3998718.0
2025-07-29,157.73,158.79,156.33,157.12,4341826.0
2025-07-28,157.15,157.33,155.6301,156.07,4022897.0
2025-07-25,155.21,157.33,154.26,156.88,4728234.0
2025-07-24,156.25,157.24,155.15,155.22,4865268.0
2025-07-23,150.0,156.59,149.11,156.49,8667093.0
2025-07-22,145.48,150.27,143.56,149.17,10722682.0
2025-07-21,151.98,153.39,151.06,151.56,7115998.0
2025-07-18,151.81,152.85,151.08,151.5,5928556.0
2025-07-17,150.56,151.99,150.1901,151.5,4326459.0
2025-07-16,148.85,150.36,148.26,150.17,3361731.0
2025-07-15,149.8,150.75,148.4,148.68,4530501.0
2025-07-14,147.89,149.57,147.08,149.28,4460988.0
2025-07-11,146.18,147.07,145.5,146.87,3469157.0
2025-07-10,146.11,146.54,145.0251,146.4,4131315.0
2025-07-09,145.73,146.5,144.73,146.18,2666249.0
2025-07-08,145.65,146.0,142.98,144.91,4331294.0
2025-07-07,146.26,146.78,145.13,145.92,4532474.0
2025-07-03,144.49,146.39,144.37,145.75,1888713.0
2025-07-02,143.66,144.72,142.96,144.52,3253335.0
2025-07-01,145.65,145.8,142.655,144.19,4819469.0
2025-06-30,145.48,146.41,145.0,146.02,5939521.0
2025-06-27,142.07,144.71,141.93,144.66,9173882.0
2025-06-26,141.91,143.4,141.26,142.67,5407904.0
2025-06-25,142.28,142.42,140.47,141.38,10395002.0
2025-06-24,143.5,144.042,140.5105,141.85,8242122.0
2025-06-23,146.82,147.0691,145.1,145.81,6548521.0
2025-06-20,145.86,148.15,143.9,146.64,9220560.0
2025-06-18,148.56,149.26,145.66,145.87,7116893.0
2025-06-17,147.43,149.175,145.81,148.48,7251793.0
2025-06-16,146.5,147.07,144.91,146.46,7986139.0
2025-06-13,144.02,146.02,142.316,145.69,11765218.0
2025-06-12,140.27,142.0583,140.1281,140.98,4664370.0
2025-06-11,139.0,141.86,135.425,141.81,6370339.0
