date,Open,High,Low,Close,Volume
2025-10-31,13.92,14.1,13.64,14.04,7529052.0
2025-10-30,14.33,14.55,14.015,14.06,8421174.0
2025-10-29,14.37,15.12,14.19,14.55,11339883.0
2025-10-28,16.65,16.65,14.45,14.58,19607670.0
2025-10-27,16.5,16.9407,16.33,16.61,15357201.0
2025-10-24,16.03,16.43,15.82,16.31,9689592.0
2025-10-23,15.35,15.915,15.25,15.89,6229053.0
2025-10-22,15.22,15.57,15.14,15.29,6237197.0
2025-10-21,14.45,15.335,14.29,15.28,6062364.0
2025-10-20,14.35,14.685,14.11,14.43,5149427.0
2025-10-17,14.06,14.3755,13.99,14.28,5100502.0
2025-10-16,14.35,14.455,13.905,14.17,6539128.0
2025-10-15,14.63,14.835,14.31,14.32,5759300.0
2025-10-14,13.75,14.655,13.72,14.48,5784116.0
2025-10-13,13.61,14.16,13.545,14.05,7821880.0
2025-10-10,13.83,13.88,13.015,13.29,9574539.0
2025-10-09,14.06,14.15,13.695,13.9,7459916.0
2025-10-08,14.57,14.57,13.82,14.01,8427914.0
2025-10-07,14.65,14.79,14.16,14.52,6075991.0
2025-10-06,15.31,15.31,14.49,14.5,5922600.0
2025-10-03,15.47,15.59,15.16,15.19,4504791.0
2025-10-02,15.42,15.48,15.05,15.39,5504611.0
2025-10-01,14.49,15.355,14.31,15.34,6885912.0
2025-09-30,14.45,14.52,14.08,14.43,5266613.0
2025-09-29,14.83,14.84,14.25,14.45,6498005.0
2025-09-26,14.45,14.8,14.36,14.73,5412117.0
2025-09-25,14.68,14.85,14.155,14.39,7009878.0
2025-09-24,14.78,14.86,14.58,14.82,5317005.0
2025-09-23,14.43,15.11,14.4,14.83,8406718.0
2025-09-22,14.34,14.475,14.03,14.33,8373665.0
2025-09-19,15.13,15.19,14.425,14.44,8745555.0
2025-09-18,15.03,15.58,15.0035,15.11,8083416.0
2025-09-17,14.93,15.63,14.67,14.76,10725094.0
2025-09-16,14.35,14.825,13.84,14.69,13214436.0
2025-09-15,15.37,15.37,14.42,14.71,13348572.0
2025-09-12,15.37,15.53,14.85,14.86,6971591.0
2025-09-11,15.07,15.645,15.01,15.48,8471165.0
2025-09-10,15.135,15.28,14.84,14.97,5647266.0
2025-09-09,15.56,15.61,15.175,15.24,6869632.0
2025-09-08,15.23,15.57,14.82,15.56,6960976.0
2025-09-05,14.93,15.35,14.75,15.0,5931262.0
2025-09-04,14.75,14.99,14.39,14.97,5740553.0
2025-09-03,14.79,15.23,14.671,14.82,6719868.0
2025-09-02,14.78,15.18,14.71,14.84,6616865.0
2025-08-29,14.74,15.26,14.7,15.13,6599182.0
2025-08-28,15.09,15.57,14.81,14.9,11161735.0
2025-08-27,14.5,14.97,14.41,14.94,8802790.0
2025-08-26,14.37,14.62,14.265,14.52,11726440.0
2025-08-25,13.62,13.77,13.49,13.67,6257881.0
2025-08-22,13.07,13.85,12.99,13.7,8930364.0
2025-08-21,12.65,13.045,12.595,13.03,5882839.0
2025-08-20,12.96,13.09,12.735,12.85,5565098.0
2025-08-19,13.19,13.59,13.1,13.11,6680095.0
2025-08-18,12.99,13.367,12.98,13.13,8478517.0
2025-08-15,13.03,13.275,12.985,13.08,6488222.0
2025-08-14,12.57,12.975,12.47,12.96,6641375.0
2025-08-13,12.29,13.11,12.28,13.08,11075392.0
2025-08-12,12.07,12.28,11.97,12.21,7194640.0
2025-08-11,11.85,12.01,11.695,11.79,6493982.0
2025-08-08,12.04,12.075,11.65,11.83,8116785.0
2025-08-07,12.42,12.425,12.005,12.05,9530028.0
2025-08-06,12.12,12.515,12.055,12.26,9083061.0
2025-08-05,12.52,12.54,11.935,12.05,12501330.0
2025-08-04,11.95,12.85,11.895,12.58,12632401.0
2025-08-01,11.52,11.7999,11.105,11.66,13588585.0
2025-07-31,12.35,12.35,11.445,11.72,21327039.0
2025-07-30,15.0,15.4,12.7,12.72,28631971.0
2025-07-29,12.46,12.59,12.02,12.4,14263034.0
2025-07-28,12.73,12.785,12.41,12.52,6927930.0
2025-07-25,12.84,12.91,12.43,12.67,5237700.0
2025-07-24,13.13,13.47,12.65,12.68,6966495.0
2025-07-23,13.21,13.51,13.11,13.43,8873284.0
2025-07-22,12.635,13.14,12.635,13.02,8988148.0
2025-07-21,12.51,12.82,12.365,12.45,6724320.0
2025-07-18,12.45,12.51,12.135,12.26,4865522.0
2025-07-17,11.86,12.3,11.83,12.29,9882313.0
2025-07-16,11.87,11.95,11.54,11.82,6590302.0
2025-07-15,12.365,12.39,11.72,11.73,6958144.0
2025-07-14,12.15,12.29,11.985,12.25,6901716.0
2025-07-11,12.6,12.7,12.33,12.33,5968680.0
2025-07-10,12.66,13.085,12.56,12.93,7959294.0
2025-07-09,12.54,12.67,12.35,12.46,5577534.0
2025-07-08,12.58,12.71,12.18,12.44,8024197.0
2025-07-07,12.48,12.89,12.38,12.49,8129436.0
2025-07-03,12.5,12.68,12.47,12.58,4232350.0
2025-07-02,12.35,12.8215,12.065,12.48,10564022.0
2025-07-01,11.61,12.61,11.565,12.24,8969585.0
2025-06-30,11.85,11.88,11.57,11.75,7569872.0
2025-06-27,11.85,11.99,11.565,11.84,6580552.0
2025-06-26,11.54,11.705,11.445,11.61,5003218.0
2025-06-25,11.67,11.76,11.42,11.45,6117329.0
2025-06-24,11.8,11.89,11.495,11.69,6532677.0
2025-06-23,11.53,11.54,11.06,11.48,9210532.0
2025-06-20,11.86,11.935,11.65,11.71,7006990.0
2025-06-18,11.87,11.935,11.69,11.76,5025374.0
2025-06-17,12.13,12.245,11.85,11.86,6013298.0
2025-06-16,11.87,12.43,11.86,12.41,7278457.0
2025-06-13,12.32,12.41,11.47,11.59,12900706.0
2025-06-12,12.55,12.76,12.47,12.63,4670619.0
2025-06-11,13.26,13.26,12.79,12.8,5693016.0
