date,Open,High,Low,Close,Volume
2025-10-31,37.29,38.19,37.115,37.94,1336195.0
2025-10-30,37.41,38.01,37.38,37.42,891025.0
2025-10-29,38.96,39.35,37.21,37.64,1847491.0
2025-10-28,39.22,39.978,38.54,39.28,1429782.0
2025-10-27,39.65,39.65,38.59,39.17,1122282.0
2025-10-24,39.64,39.865,39.2501,39.38,619028.0
2025-10-23,39.64,39.67,38.88,39.32,615946.0
2025-10-22,39.33,39.77,39.05,39.67,838762.0
2025-10-21,38.37,39.45,38.28,39.15,753943.0
2025-10-20,39.47,39.78,38.16,38.28,881400.0
2025-10-17,39.29,39.605,38.79,39.22,1419917.0
2025-10-16,40.63,40.9,39.095,39.5,1936892.0
2025-10-15,40.18,40.995,39.7,40.36,1101828.0
2025-10-14,38.78,39.94,38.6,39.79,864161.0
2025-10-13,38.41,38.995,38.245,38.92,851057.0
2025-10-10,39.58,39.62,37.945,37.97,1292809.0
2025-10-09,40.39,40.465,39.09,39.5,866974.0
2025-10-08,40.59,40.92,40.2,40.3,1260169.0
2025-10-07,41.26,41.61,40.515,40.55,940797.0
2025-10-06,41.13,41.85,40.86,41.24,1468293.0
2025-10-03,41.07,41.67,40.85,41.02,1016363.0
2025-10-02,41.27,41.59,40.85,41.06,1030041.0
2025-10-01,40.5,41.25,40.5,41.22,980603.0
2025-09-30,40.3,40.61,39.93,40.53,877775.0
2025-09-29,40.5,40.95,40.12,40.39,1194816.0
2025-09-26,40.44,40.51,39.73,40.27,1213704.0
2025-09-25,40.41,40.8,40.02,40.39,1070133.0
2025-09-24,41.55,41.55,40.73,40.92,971846.0
2025-09-23,41.77,42.17,41.45,41.71,1379268.0
2025-09-22,41.18,41.98,41.14,41.7,1440109.0
2025-09-19,41.93,42.005,41.315,41.69,6274347.0
2025-09-18,41.45,42.26,41.155,41.92,1094736.0
2025-09-17,42.17,42.5,41.06,41.2,2200790.0
2025-09-16,42.02,42.325,41.7,42.19,2420577.0
2025-09-15,42.9,43.37,41.6273,42.07,2145090.0
2025-09-12,42.72,43.23,42.3205,42.97,1637117.0
2025-09-11,40.7,42.1,40.62,42.01,1371214.0
2025-09-10,39.88,40.44,39.68,40.44,1180731.0
2025-09-09,40.52,40.71,39.69,39.9,1235073.0
2025-09-08,40.31,40.72,39.67,40.68,2099122.0
2025-09-05,40.5,41.37,40.16,41.29,2848685.0
2025-09-04,39.35,40.35,39.35,39.89,2439083.0
2025-09-03,37.81,39.39,37.61,39.33,2648660.0
2025-09-02,37.3,38.07,37.23,37.92,2290146.0
2025-08-29,37.63,38.24,37.57,38.03,1479838.0
2025-08-28,37.77,37.77,37.04,37.57,1676357.0
2025-08-27,36.96,37.82,36.96,37.64,1817151.0
2025-08-26,37.85,38.09,36.92,37.01,3162948.0
2025-08-25,37.88,38.2,37.65,37.8,2160234.0
2025-08-22,36.48,38.18,36.305,38.08,3113616.0
2025-08-21,36.38,36.53,36.01,36.17,1480473.0
2025-08-20,36.6,37.13,36.25,36.68,2333227.0
2025-08-19,36.94,37.505,36.79,37.13,1744890.0
2025-08-18,36.92,37.105,36.645,36.8,1251695.0
