date,Open,High,Low,Close,Volume
2025-10-31,218.02,219.01,215.34,218.76,2619341.0
2025-10-30,210.74,217.65,210.01,217.6,3877604.0
2025-10-29,208.5,212.0,196.995,208.0,5108521.0
2025-10-28,233.44,235.89,231.84,232.13,1752880.0
2025-10-27,234.06,235.37,232.66,233.68,1193473.0
2025-10-24,236.54,236.54,233.805,234.94,943641.0
2025-10-23,237.21,237.85,234.1,234.79,1045166.0
2025-10-22,237.19,239.47,235.845,237.47,1006885.0
2025-10-21,235.03,238.22,234.63,237.03,954507.0
2025-10-20,232.89,235.54,232.1,235.29,953435.0
2025-10-17,231.03,234.38,229.29,232.34,2256033.0
2025-10-16,240.05,242.1,228.09,229.06,1891793.0
2025-10-15,242.23,244.4114,240.36,243.98,1349121.0
2025-10-14,242.89,245.685,241.9,243.36,905040.0
2025-10-13,241.43,244.485,239.78,242.08,739189.0
2025-10-10,241.73,248.215,241.12,243.06,1143550.0
2025-10-09,243.48,243.48,240.43,241.27,765488.0
2025-10-08,245.94,245.94,241.665,243.48,1004420.0
2025-10-07,244.38,246.12,242.68,246.09,824082.0
2025-10-06,249.26,249.26,242.9,245.07,1096352.0
2025-10-03,247.06,250.2,245.99,249.04,861754.0
2025-10-02,249.55,251.96,246.84,247.43,1303844.0
2025-10-01,252.8,252.8,247.8454,249.55,1099099.0
2025-09-30,247.01,253.35,246.38,251.51,1451942.0
2025-09-29,245.91,250.38,245.351,248.78,1376505.0
2025-09-26,244.12,248.82,242.595,247.07,1120635.0
2025-09-25,244.0,246.03,240.885,244.06,1615764.0
2025-09-24,241.95,245.84,240.9226,242.95,1179609.0
2025-09-23,243.38,245.86,240.17,242.3,1077611.0
2025-09-22,241.82,244.395,239.83,244.18,1549686.0
2025-09-19,246.13,246.18,242.57,243.47,2380667.0
2025-09-18,248.55,251.2,245.04,245.33,1670061.0
2025-09-17,250.68,255.23,248.98,249.69,1515470.0
2025-09-16,254.72,256.94,251.13,251.83,1697100.0
2025-09-15,261.85,263.6699,254.66,255.08,1402223.0
2025-09-12,266.57,267.07,262.03,262.2,895525.0
2025-09-11,262.74,267.26,262.74,266.24,1083461.0
2025-09-10,266.7,268.185,261.42,262.77,954174.0
2025-09-09,272.84,273.83,268.22,268.66,902688.0
2025-09-08,270.5,273.2,268.315,273.03,1240377.0
2025-09-05,271.04,273.72,268.105,270.31,1004964.0
2025-09-04,268.79,270.84,267.184,270.05,1103577.0
2025-09-03,265.0,268.54,265.0,268.44,893844.0
2025-09-02,268.31,268.535,263.29,265.0,1116576.0
2025-08-29,266.76,268.44,266.145,268.12,652638.0
2025-08-28,266.54,267.34,265.14,266.19,763159.0
2025-08-27,267.72,268.7288,266.6,267.7,840057.0
2025-08-26,266.83,268.76,264.96,268.31,1101075.0
2025-08-25,270.77,271.195,266.38,267.07,937417.0
2025-08-22,273.48,274.78,269.65,271.06,830217.0
2025-08-21,269.61,273.49,269.045,271.91,871886.0
2025-08-20,273.01,276.19,270.72,270.85,1368571.0
2025-08-19,265.88,271.6561,263.71,271.01,1043898.0
2025-08-18,268.01,268.98,264.67,265.69,1033097.0
2025-08-15,268.0,269.415,265.365,267.86,940317.0
2025-08-14,264.92,269.9,263.094,267.7,1483152.0
2025-08-13,260.19,264.54,259.01,264.19,900618.0
2025-08-12,267.09,267.09,259.77,260.0,1350576.0
2025-08-11,265.28,267.92,264.015,267.42,1405739.0
2025-08-08,263.94,266.76,263.94,265.04,830089.0
2025-08-07,265.91,268.19,263.7,264.52,1129969.0
2025-08-06,264.72,266.26,261.3601,264.98,874462.0
2025-08-05,267.4,268.41,262.12,264.72,1557732.0
2025-08-04,272.03,273.5,267.55,268.0,1527199.0
2025-08-01,280.93,281.82,271.71,271.89,1544023.0
2025-07-31,271.26,279.54,270.36,278.71,2403509.0
2025-07-30,295.79,300.935,274.33,275.47,2417176.0
2025-07-29,295.5,295.57,292.5,294.05,1066392.0
2025-07-28,296.62,297.59,294.08,294.43,635535.0
2025-07-25,297.0,299.76,295.915,297.96,612360.0
2025-07-24,297.39,299.52,296.07,296.09,1078014.0
2025-07-23,296.93,298.32,295.15,297.29,884471.0
2025-07-22,300.08,303.13,294.58,298.12,1256912.0
2025-07-21,302.48,303.72,299.4,299.56,567099.0
2025-07-18,304.29,304.29,300.46,301.9,1530448.0
2025-07-17,302.13,303.3399,300.46,302.6,526780.0
2025-07-16,300.21,301.69,297.645,301.48,707106.0
2025-07-15,303.88,305.73,299.86,300.14,845774.0
2025-07-14,300.91,306.446,300.91,305.62,648321.0
2025-07-11,302.16,302.59,299.37,300.51,950224.0
2025-07-10,302.27,304.245,301.3,302.9,724709.0
2025-07-09,302.74,304.305,301.7,303.72,823258.0
2025-07-08,306.53,307.91,301.85,302.54,998573.0
2025-07-07,304.06,308.19,302.85,308.17,985087.0
2025-07-03,300.835,305.75,299.275,304.06,963566.0
2025-07-02,310.2,310.2,301.04,301.21,1204153.0
2025-07-01,311.34,314.8,309.91,312.95,870624.0
2025-06-30,306.71,311.77,306.6,311.5,1054215.0
2025-06-27,305.28,309.04,304.595,308.66,2480351.0
2025-06-26,304.99,306.07,303.23,305.13,633199.0
2025-06-25,309.47,309.47,302.82,304.17,823672.0
2025-06-24,309.14,312.4246,305.99,309.93,863530.0
2025-06-23,307.57,309.65,306.02,308.41,786538.0
2025-06-20,308.68,308.68,303.42,306.02,1898165.0
2025-06-18,307.64,307.64,305.28,306.27,688609.0
2025-06-17,308.9,309.28,306.17,307.23,537549.0
2025-06-16,310.58,311.73,308.53,309.47,706960.0
2025-06-13,312.07,314.575,309.64,310.41,544037.0
2025-06-12,312.18,314.04,309.95,313.91,521604.0
2025-06-11,312.28,312.89,309.33,311.49,567823.0
