date,Open,High,Low,Close,Volume
2025-10-31,340.09,352.76,340.09,349.6,606746.0
2025-10-30,344.64,350.36,342.27,342.9,603820.0
2025-10-29,344.47,348.42,342.225,343.47,528091.0
2025-10-28,350.22,353.01,345.02,345.95,467529.0
2025-10-27,359.39,359.79,351.75,351.75,520747.0
2025-10-24,357.7,359.66,352.77,359.5,545108.0
2025-10-23,346.76,356.06,346.72,355.68,544806.0
2025-10-22,352.14,357.26,346.96,348.67,573993.0
2025-10-21,348.27,364.99,347.0,349.23,642306.0
2025-10-20,336.31,346.18,334.41,343.18,601589.0
2025-10-17,332.43,337.62,328.65,334.59,446597.0
2025-10-16,327.895,337.25,323.46,334.87,731280.0
2025-10-15,332.03,336.0,329.79,332.41,581942.0
2025-10-14,332.97,338.37,331.87,333.14,649799.0
2025-10-13,329.02,337.11,329.02,336.33,755162.0
2025-10-10,330.47,336.73,328.385,331.0,1647743.0
2025-10-09,327.3,331.13,325.13,330.45,744545.0
2025-10-08,321.16,330.48,319.6,327.65,603923.0
2025-10-07,328.35,331.28,318.14,318.35,491244.0
2025-10-06,327.5,330.0,325.54,327.62,433041.0
2025-10-03,323.95,333.4,322.83,328.39,731945.0
2025-10-02,318.68,327.86,318.13,321.92,616692.0
2025-10-01,300.66,322.81,299.625,319.81,1209598.0
2025-09-30,289.6,300.47,287.66,299.81,848698.0
2025-09-29,292.44,292.44,286.59,289.43,626254.0
2025-09-26,288.46,292.04,284.52,291.71,396782.0
2025-09-25,290.23,290.23,285.68,287.79,470955.0
2025-09-24,297.38,299.66,290.77,292.65,702433.0
2025-09-23,301.45,305.39,299.02,299.22,474384.0
2025-09-22,299.75,302.77,295.11,302.48,746510.0
2025-09-19,307.93,307.93,300.62,300.87,2012717.0
2025-09-18,305.4,309.565,302.47,306.38,792737.0
2025-09-17,303.68,311.435,300.925,303.68,1052779.0
2025-09-16,299.24,304.34,296.61,303.08,515128.0
2025-09-15,297.5,299.69,295.195,299.04,539674.0
2025-09-12,299.45,302.28,294.96,295.39,326675.0
2025-09-11,295.12,303.24,295.12,302.45,384213.0
2025-09-10,297.81,300.12,288.9,293.03,865681.0
2025-09-09,309.79,310.8,298.14,300.52,1083717.0
2025-09-08,304.12,310.23,301.3,309.37,641231.0
2025-09-05,300.6,309.3,299.175,306.32,504612.0
