date,Open,High,Low,Close,Volume
2025-10-31,155.5,157.65,140.15,150.21,20139877.0
2025-10-30,137.755,141.997,135.01,138.13,13870670.0
2025-10-29,131.43,145.68,131.25,141.38,18267279.0
2025-10-28,126.7,126.82,121.85,124.92,7031914.0
2025-10-27,133.0,133.1,123.22,126.67,7249286.0
2025-10-24,129.4,133.54,129.03,129.43,6546406.0
2025-10-23,121.95,126.72,121.715,125.72,7263499.0
2025-10-22,121.17,125.12,117.23,120.47,9033809.0
2025-10-21,121.47,121.99,119.6,121.41,4594429.0
2025-10-20,128.94,132.0,119.85,121.53,10172198.0
2025-10-17,124.87,129.121,123.4501,126.2,6868360.0
2025-10-16,123.27,130.4,122.4034,125.92,13878591.0
2025-10-15,116.7,120.64,113.5,120.44,9943256.0
2025-10-14,116.11,117.2799,112.5201,113.13,7844193.0
2025-10-13,122.25,122.56,116.01,118.86,8388922.0
2025-10-10,120.0,121.945,115.03,115.42,7046192.0
2025-10-09,119.78,120.84,118.0,119.7,6234317.0
2025-10-08,120.77,123.3,119.4125,121.18,7191700.0
2025-10-07,127.465,127.64,117.81,119.93,13674282.0
2025-10-06,135.0,136.197,124.94,125.28,13060318.0
2025-10-03,131.74,136.215,129.93,131.31,8465883.0
2025-10-02,136.01,137.4,128.425,131.26,15306187.0
2025-10-01,118.175,131.12,117.51,130.59,18540368.0
2025-09-30,117.805,122.5899,117.45,120.06,13861677.0
2025-09-29,112.02,118.137,111.83,116.74,14023937.0
2025-09-26,107.47,108.06,105.42,106.88,5520034.0
2025-09-25,106.62,108.7,106.29,107.21,8499398.0
2025-09-24,110.835,112.81,108.91,109.69,8412662.0
2025-09-23,112.48,113.755,109.4,110.25,7375492.0
2025-09-22,107.21,112.83,107.21,112.41,9686251.0
2025-09-19,105.88,107.18,105.32,106.63,11030712.0
2025-09-18,102.455,106.11,102.0,105.15,10389065.0
2025-09-17,102.225,102.3968,99.72,100.94,8787619.0
2025-09-16,102.53,103.98,101.435,103.09,8734852.0
2025-09-15,100.445,103.78,100.0,102.39,12523274.0
2025-09-12,96.21,98.855,95.98,97.66,6753128.0
2025-09-11,96.87,97.78,94.412,96.15,6985090.0
2025-09-10,95.885,96.18,93.92,95.02,8398437.0
2025-09-09,93.0,95.365,92.7,94.54,7195030.0
2025-09-08,92.54,93.5,91.65,93.29,8499368.0
2025-09-05,92.49,93.1,91.43,92.04,20310357.0
2025-09-04,86.39,90.9,85.92,90.49,13542546.0
2025-09-03,84.1,86.275,83.34,86.0,11652559.0
2025-09-02,78.515,81.935,77.9,81.91,5777791.0
2025-08-29,81.57,82.32,79.8,80.34,5004446.0
2025-08-28,80.9,82.16,80.7,82.04,4557500.0
2025-08-27,80.25,80.8,79.55,80.67,5536581.0
2025-08-26,79.1,80.3,79.1,79.71,8724764.0
2025-08-25,76.97,79.84,76.7,79.22,5401371.0
2025-08-22,74.78,77.35,74.57,76.97,6521653.0
2025-08-21,75.75,76.0,74.415,74.66,5490564.0
2025-08-20,75.68,75.68,73.14,75.64,5478307.0
2025-08-19,75.9,76.46,75.11,75.86,3770844.0
2025-08-18,74.79,76.42,74.625,76.29,5191856.0
2025-08-15,76.5,76.58,74.54,75.06,4258515.0
2025-08-14,75.28,76.61,74.7235,76.24,6621516.0
2025-08-13,76.28,77.18,75.67,76.07,5298719.0
2025-08-12,74.9,75.93,74.62,75.91,7694755.0
2025-08-11,75.32,76.67,74.37,74.64,7304259.0
2025-08-08,74.93,75.8,74.49,74.97,4983830.0
2025-08-07,73.71,74.615,73.44,74.44,6938344.0
2025-08-06,75.925,76.46,73.505,73.78,7647042.0
2025-08-05,77.935,78.21,74.205,75.84,5898439.0
2025-08-04,77.77,78.02,76.0536,77.29,5097441.0
2025-08-01,75.71,77.02,74.49,76.55,8789789.0
2025-07-31,74.25,78.7994,73.25,78.69,24012721.0
2025-07-30,69.45,71.81,69.3,71.43,13984025.0
2025-07-29,69.45,71.31,69.405,70.61,8861358.0
2025-07-28,69.4,69.62,68.665,68.985,4508865.0
2025-07-25,69.25,69.7197,66.51,68.82,7880376.0
2025-07-24,69.2,69.62,68.34,69.02,8054280.0
2025-07-23,67.61,69.6,67.575,69.32,7210623.0
2025-07-22,68.53,68.7677,66.04,67.06,5096706.0
2025-07-21,68.19,68.77,67.7,68.74,4128038.0
2025-07-18,67.86,68.52,67.265,68.0,4275307.0
2025-07-17,66.51,67.675,66.35,67.02,6211307.0
2025-07-16,67.53,67.6,65.795,66.53,4780272.0
2025-07-15,67.95,68.06,67.17,67.53,6335121.0
2025-07-14,66.04,67.3452,65.24,66.93,5100413.0
2025-07-11,64.75,66.63,64.23,66.14,5339157.0
2025-07-10,64.96,65.605,64.585,65.06,3917443.0
2025-07-09,64.34,65.12,64.16,64.64,8534415.0
2025-07-08,65.93,66.0,63.67,64.02,8355471.0
2025-07-07,65.8,66.125,64.96,65.215,6232189.0
2025-07-03,65.93,66.83,65.77,66.08,5162095.0
2025-07-02,63.64,65.93,63.0122,65.78,7125003.0
2025-07-01,63.68,64.21,62.94,63.84,5360877.0
2025-06-30,63.6,64.34,63.11,63.99,6074642.0
2025-06-27,63.51,63.66,62.65,63.29,6642309.0
2025-06-26,62.65,63.76,62.53,63.51,5930399.0
2025-06-25,62.53,62.89,62.13,62.55,4530312.0
2025-06-24,60.79,62.32,60.565,62.07,6021185.0
2025-06-23,59.0,60.51,58.66,60.38,4626989.0
2025-06-20,59.88,59.935,58.97,59.29,9426272.0
2025-06-18,58.69,59.93,58.53,59.19,6647734.0
2025-06-17,58.075,60.59,57.875,58.57,9616536.0
2025-06-16,56.49,57.69,56.265,57.41,5552451.0
2025-06-13,54.85,56.27,54.6,55.7,10554505.0
2025-06-12,55.28,56.05,55.1321,55.78,3608882.0
2025-06-11,56.41,56.835,55.18,55.67,4411506.0
