date,Open,High,Low,Close,Volume
2025-10-31,112.16,112.27,110.64,111.73,4117310.0
2025-10-30,115.47,115.47,111.145,112.6,4611928.0
2025-10-29,115.89,116.34,114.5,114.58,2692712.0
2025-10-28,116.87,116.89,115.16,115.22,2915815.0
2025-10-27,116.09,116.79,115.075,116.68,2116129.0
2025-10-24,116.15,116.63,115.435,115.83,1916642.0
2025-10-23,117.64,117.8,115.57,115.91,1277689.0
2025-10-22,116.9,118.185,116.3,117.4,1862009.0
2025-10-21,117.67,118.0,116.09,116.58,2243183.0
2025-10-20,117.5,117.835,116.9,117.5,1983347.0
2025-10-17,116.42,117.18,115.97,116.84,1899632.0
2025-10-16,117.24,118.095,116.04,116.19,2592341.0
2025-10-15,116.48,117.48,116.465,117.28,1868812.0
2025-10-14,115.64,117.2,115.18,116.49,1993651.0
2025-10-13,114.5,115.7,114.5,114.97,1329852.0
2025-10-10,114.29,115.625,113.87,115.13,1477626.0
2025-10-09,115.24,115.63,113.84,113.88,1472930.0
2025-10-08,115.65,115.65,114.165,114.59,1457538.0
2025-10-07,114.75,115.9,114.535,115.2,1731119.0
2025-10-06,113.94,114.6263,113.41,114.55,1389168.0
2025-10-03,113.07,114.1,112.45,113.29,2561776.0
2025-10-02,112.33,112.7,111.57,112.03,2375631.0
2025-10-01,114.38,114.635,112.955,112.99,2017316.0
2025-09-30,114.14,114.97,113.66,114.59,2446484.0
2025-09-29,112.87,114.36,112.28,114.22,2120849.0
2025-09-26,111.63,112.92,111.38,112.85,1830895.0
2025-09-25,112.49,112.875,110.92,111.24,2364622.0
2025-09-24,111.67,112.25,111.38,112.02,1988038.0
2025-09-23,109.66,111.8,109.5,111.76,2330044.0
2025-09-22,110.18,110.48,109.36,109.86,2063908.0
2025-09-19,109.75,110.755,109.185,110.12,3179203.0
2025-09-18,108.3,110.22,108.15,109.47,2324546.0
2025-09-17,109.26,110.0,108.85,109.26,1835590.0
2025-09-16,110.56,110.85,108.67,108.69,1396400.0
2025-09-15,110.51,111.265,110.36,110.97,2388206.0
2025-09-12,109.29,110.775,109.29,110.52,1532663.0
2025-09-11,109.26,110.13,108.8,109.72,2245208.0
2025-09-10,108.23,109.5,107.74,109.39,3268134.0
2025-09-09,107.09,108.04,106.8164,107.56,1444720.0
2025-09-08,107.52,107.65,106.65,107.36,2444010.0
2025-09-05,107.45,107.98,107.04,107.79,1615472.0
2025-09-04,107.67,108.22,106.97,107.48,2968302.0
2025-09-03,105.7,106.94,105.5,106.89,2112054.0
2025-09-02,106.23,106.9,105.65,106.02,1835412.0
2025-08-29,106.51,107.24,106.25,106.51,1551862.0
2025-08-28,107.48,107.5,106.18,106.31,1777494.0
2025-08-27,107.17,107.748,106.99,107.68,1868418.0
2025-08-26,106.96,107.52,106.64,107.16,2367968.0
2025-08-25,108.22,108.39,106.89,106.96,1429729.0
2025-08-22,108.69,109.54,108.03,108.54,1324168.0
2025-08-21,108.73,109.12,108.06,108.48,1516890.0
2025-08-20,109.08,110.27,108.72,108.91,2588141.0
2025-08-19,106.64,108.53,106.46,108.48,1924499.0
2025-08-18,107.55,107.98,106.39,106.39,2890716.0
2025-08-15,107.85,107.855,106.915,107.36,2583816.0
2025-08-14,108.99,109.135,107.78,108.13,2853197.0
2025-08-13,109.43,110.12,109.17,109.94,2698940.0
2025-08-12,109.76,109.76,108.24,109.43,1824070.0
2025-08-11,110.67,110.97,109.25,109.67,1701514.0
2025-08-08,111.36,111.6,110.05,110.35,1800821.0
2025-08-07,109.36,111.29,109.36,110.7,3079787.0
2025-08-06,109.96,111.0,109.34,109.73,1745667.0
2025-08-05,110.92,111.9,109.56,110.0,2125185.0
