date,Open,High,Low,Close,Volume
2025-10-31,179.48,181.84,178.19,181.04,4039967.0
2025-10-30,177.77,181.52,177.45,180.88,2802042.0
2025-10-29,179.04,183.54,174.91,176.96,4807167.0
2025-10-28,189.53,189.53,177.55,179.7,5371206.0
2025-10-27,178.33,182.87,177.53,182.61,3371342.0
2025-10-24,176.79,179.62,176.35,177.94,1893750.0
2025-10-23,176.45,177.26,174.9,176.06,1832426.0
2025-10-22,175.86,176.6,174.72,175.94,1571846.0
2025-10-21,178.43,178.63,173.125,175.12,3450568.0
2025-10-20,176.33,177.9425,175.07,177.71,1901919.0
2025-10-17,172.64,175.655,172.5,175.09,3152414.0
2025-10-16,173.58,173.72,171.25,172.08,2631166.0
2025-10-15,169.0,173.355,168.83,172.34,2862548.0
2025-10-14,166.88,169.48,166.88,169.34,3481597.0
2025-10-13,165.555,166.89,163.75,166.85,2155614.0
2025-10-10,167.02,167.96,165.52,165.94,2538204.0
2025-10-09,169.59,170.07,166.48,167.27,2420393.0
2025-10-08,172.47,172.805,168.88,169.14,3117009.0
2025-10-07,173.86,174.0,171.79,173.0,2241604.0
2025-10-06,174.04,175.4392,173.1516,174.14,1932406.0
2025-10-03,175.38,176.6,175.0,175.04,2001403.0
2025-10-02,178.92,179.365,174.89,175.5,3059086.0
2025-10-01,178.37,180.4,177.9375,179.38,3106564.0
2025-09-30,176.525,178.535,176.525,178.14,4692305.0
2025-09-29,175.0,177.23,174.235,176.2,3427160.0
2025-09-26,172.49,175.1,172.355,174.9,3167668.0
2025-09-25,171.46,172.69,170.89,171.7,2776271.0
2025-09-24,172.51,173.22,170.81,170.97,3678770.0
2025-09-23,168.47,172.71,167.88,172.55,3126426.0
2025-09-22,165.45,167.74,164.54,167.42,3535202.0
2025-09-19,166.77,168.2025,164.88,165.19,20205363.0
2025-09-18,166.2,167.7216,166.1,166.53,3695699.0
2025-09-17,165.33,167.0,164.33,165.91,3769261.0
2025-09-16,169.01,169.15,164.93,165.21,2715677.0
2025-09-15,169.3,170.41,168.575,168.92,2074538.0
2025-09-12,168.43,169.665,168.07,169.13,1981765.0
2025-09-11,168.23,169.22,167.53,168.47,1816870.0
2025-09-10,168.84,170.49,168.01,168.09,2045258.0
2025-09-09,169.02,169.62,168.165,168.85,2136711.0
2025-09-08,167.81,170.99,166.955,169.36,2679695.0
2025-09-05,168.36,168.5932,164.33,167.82,2700832.0
2025-09-04,168.25,168.91,166.17,167.68,2160964.0
2025-09-03,167.48,169.47,167.14,167.43,2081168.0
2025-09-02,168.09,169.27,166.98,167.74,2666944.0
2025-08-29,167.5,168.56,167.29,168.28,1689723.0
2025-08-28,167.43,168.5,166.66,167.4,2114931.0
2025-08-27,166.25,168.15,166.07,167.75,1794418.0
2025-08-26,165.0,166.595,164.1,165.84,3632078.0
2025-08-25,164.53,165.99,164.48,164.9,1333004.0
2025-08-22,167.86,168.47,163.97,164.43,2798525.0
2025-08-21,165.615,167.8,165.43,166.94,2285266.0
2025-08-20,164.455,167.32,164.455,165.99,2127759.0
2025-08-19,162.41,163.61,162.29,163.57,1691975.0
2025-08-18,163.27,164.41,162.0,162.41,1671139.0
