date,Open,High,Low,Close,Volume
2025-10-31,72.7,72.7,70.95,71.63,1414930.0
2025-10-30,74.0,74.275,71.5,71.72,1817736.0
2025-10-29,76.0,76.68,73.8,74.56,1664982.0
2025-10-28,74.19,79.5,73.2601,77.58,4445951.0
2025-10-27,74.05,74.92,73.36,73.78,2243109.0
2025-10-24,74.92,75.03,73.62,73.66,977650.0
2025-10-23,73.19,74.44,72.03,74.29,878247.0
2025-10-22,73.74,74.835,72.62,73.01,1292000.0
2025-10-21,72.5,75.12,71.92,74.55,1144403.0
2025-10-20,73.0,74.08,72.03,72.65,874640.0
2025-10-17,72.3,72.8425,71.61,72.76,864210.0
2025-10-16,73.02,73.1198,71.6185,72.19,1961316.0
2025-10-15,74.39,75.53,73.06,73.16,1038698.0
2025-10-14,71.31,74.66,71.0,74.04,1463781.0
2025-10-13,72.62,73.275,71.77,71.92,1109151.0
2025-10-10,74.5,75.048,71.33,71.53,1954725.0
2025-10-09,77.15,77.2699,74.07,74.45,1589430.0
2025-10-08,76.9,78.2,75.8001,77.13,950703.0
2025-10-07,79.36,79.58,76.6,76.63,778360.0
2025-10-06,80.0,80.49,78.26,79.33,930347.0
2025-10-03,79.94,80.59,79.13,80.05,869330.0
2025-10-02,79.04,80.2,78.785,79.56,980554.0
2025-10-01,78.54,79.45,78.05,79.01,793365.0
2025-09-30,78.31,78.84,77.19,78.6,1093911.0
2025-09-29,78.57,78.96,77.07,78.37,1164199.0
2025-09-26,77.65,78.86,77.3,77.49,1177609.0
2025-09-25,79.1,79.52,77.2076,77.47,2091333.0
2025-09-24,79.19,80.6,79.19,79.64,1207343.0
2025-09-23,81.67,82.2163,79.8178,79.93,1271933.0
2025-09-22,82.52,82.52,80.74,81.09,1331774.0
2025-09-19,84.28,84.6699,82.5,82.68,1620848.0
2025-09-18,86.45,86.8,84.75,84.9,2067634.0
2025-09-17,90.27,91.57,86.34,86.45,1583590.0
2025-09-16,90.25,90.83,89.04,90.3,1798088.0
2025-09-15,93.02,93.29,89.34,89.93,1043106.0
2025-09-12,94.29,94.6195,92.05,92.1,894162.0
2025-09-11,93.49,95.28,92.715,94.96,818945.0
2025-09-10,93.17,93.98,91.58,93.75,1100783.0
2025-09-09,95.21,96.57,93.745,93.81,1164849.0
2025-09-08,94.505,96.0,92.83,95.54,976581.0
2025-09-05,92.65,96.4558,92.355,94.44,1228375.0
