date,Open,High,Low,Close,Volume
2025-10-31,9.27,9.3965,9.12,9.33,11989646.0
2025-10-30,9.52,9.635,9.31,9.42,13604916.0
2025-10-29,9.52,9.78,9.415,9.54,17299928.0
2025-10-28,9.0,9.625,8.95,9.49,27847163.0
2025-10-27,8.98,9.03,8.78,8.91,11180810.0
2025-10-24,8.78,9.22,8.62,8.97,28734102.0
2025-10-23,8.12,8.23,8.04,8.14,15208965.0
2025-10-22,8.12,8.2,8.09,8.13,8025892.0
2025-10-21,8.07,8.2,8.07,8.13,8081826.0
2025-10-20,8.32,8.33,8.1,8.1,6616626.0
2025-10-17,8.08,8.3,8.07,8.29,8875522.0
2025-10-16,8.16,8.18,8.02,8.08,9251340.0
2025-10-15,8.3,8.31,8.145,8.16,7350179.0
2025-10-14,8.07,8.34,8.06,8.28,6618583.0
2025-10-13,8.0,8.17,7.95,8.14,7292553.0
2025-10-10,8.14,8.18,7.87,7.93,11284203.0
2025-10-09,8.15,8.22,8.05,8.07,7380965.0
2025-10-08,8.2,8.23,8.07,8.09,8087881.0
2025-10-07,8.1,8.25,8.08,8.17,11292177.0
2025-10-06,8.0,8.15,8.0,8.07,10187644.0
2025-10-03,8.06,8.15,7.96,8.01,59323072.0
2025-10-02,8.18,8.2,8.02,8.06,8684214.0
2025-10-01,8.0,8.12,7.97,8.08,7922084.0
2025-09-30,7.99,8.0319,7.89,7.99,6971890.0
2025-09-29,8.0,8.04,7.91,8.0,6245813.0
2025-09-26,7.89,8.03,7.8514,7.95,8543501.0
2025-09-25,8.14,8.14,7.85,7.88,11468196.0
2025-09-24,8.13,8.215,8.11,8.16,6038975.0
2025-09-23,8.13,8.1965,8.08,8.12,8260744.0
2025-09-22,8.12,8.17,8.06,8.11,8041057.0
2025-09-19,8.21,8.25,8.12,8.14,16295163.0
2025-09-18,8.37,8.371,8.15,8.2,11065091.0
2025-09-17,8.23,8.525,8.21,8.34,8775700.0
2025-09-16,8.17,8.23,8.0,8.2,11503745.0
2025-09-15,8.47,8.5,8.35,8.39,10622166.0
2025-09-12,8.44,8.49,8.38,8.4,7946286.0
2025-09-11,8.51,8.56,8.405,8.49,7145728.0
2025-09-10,8.66,8.66,8.43,8.45,8249906.0
2025-09-09,8.73,8.78,8.63,8.64,8472937.0
2025-09-08,8.81,8.81,8.63,8.74,7739972.0
2025-09-05,8.8,8.949,8.77,8.84,8168547.0
2025-09-04,8.74,8.75,8.595,8.72,6842176.0
2025-09-03,8.7,8.81,8.66,8.72,6003418.0
2025-09-02,8.61,8.83,8.58,8.75,9358685.0
2025-08-29,8.56,8.7,8.52,8.67,10572191.0
