date,Open,High,Low,Close,Volume
2025-10-31,23.385,23.385,22.57,23.0,13166422.0
2025-10-30,23.07,23.715,22.97,23.51,9473208.0
2025-10-29,23.61,23.7099,23.12,23.2,10319653.0
2025-10-28,23.93,23.93,23.64,23.74,3812025.0
2025-10-27,23.97,24.045,23.76,24.02,3250980.0
2025-10-24,23.97,24.105,23.7,23.89,3461829.0
2025-10-23,23.55,23.88,23.2942,23.85,4532654.0
2025-10-22,23.59,23.9169,23.52,23.61,3156846.0
2025-10-21,23.285,23.92,23.265,23.71,4503372.0
2025-10-20,23.72,23.805,23.23,23.3,3867871.0
2025-10-17,23.71,23.99,23.435,23.59,3828354.0
2025-10-16,23.73,24.04,23.49,23.65,5942007.0
2025-10-15,23.97,24.5,23.73,23.73,6030040.0
2025-10-14,23.76,24.14,23.54,23.9,6405828.0
2025-10-13,24.0,24.1349,23.715,23.93,4196915.0
2025-10-10,24.55,24.605,23.915,23.93,3236843.0
2025-10-09,24.6,24.7295,24.255,24.44,2637337.0
2025-10-08,24.33,24.74,24.065,24.7,3475150.0
2025-10-07,24.98,25.18,24.37,24.42,4593047.0
2025-10-06,25.06,25.1,24.76,24.96,3680725.0
2025-10-03,24.99,25.3,24.98,25.12,2943711.0
2025-10-02,24.92,25.01,24.515,24.93,3593255.0
2025-10-01,24.85,25.04,24.73,24.95,3650388.0
2025-09-30,24.95,25.35,24.59,24.79,5465100.0
2025-09-29,24.625,24.87,24.34,24.86,5111207.0
2025-09-26,24.17,24.61,24.09,24.54,3936338.0
2025-09-25,24.5,24.84,24.07,24.17,4208792.0
2025-09-24,24.5,25.025,24.475,24.61,4481180.0
2025-09-23,24.3,24.455,24.22,24.38,4357158.0
2025-09-22,24.2,24.405,24.14,24.26,5395597.0
2025-09-19,24.55,24.55,23.975,24.1,11569300.0
2025-09-18,24.5,24.83,24.475,24.54,3296478.0
2025-09-17,24.82,25.62,24.47,24.49,4855758.0
2025-09-16,24.8,25.155,24.79,24.94,4704991.0
2025-09-15,25.0,25.13,24.7511,24.82,3776213.0
2025-09-12,25.66,25.7999,24.9,24.9,3710689.0
2025-09-11,25.14,26.1,25.14,25.83,4472656.0
2025-09-10,25.12,25.355,25.055,25.1,4141524.0
2025-09-09,25.81,25.88,25.155,25.27,2826584.0
2025-09-08,26.02,26.02,25.45,25.95,4886872.0
2025-09-05,25.76,26.35,25.69,26.15,3453182.0
2025-09-04,24.99,25.57,24.74,25.55,3900898.0
2025-09-03,24.79,25.03,24.7,24.82,2798273.0
2025-09-02,25.52,25.58,24.795,24.89,6035539.0
2025-08-29,25.78,25.9699,25.685,25.87,3311929.0
2025-08-28,26.2,26.2,25.69,25.95,2811037.0
2025-08-27,26.15,26.48,26.04,26.12,2986613.0
2025-08-26,26.42,26.48,26.11,26.17,6077718.0
2025-08-25,26.76,26.78,26.3345,26.5,4280883.0
2025-08-22,26.03,26.895,25.85,26.83,6048740.0
2025-08-21,25.88,25.88,25.59,25.77,2493962.0
2025-08-20,26.48,26.48,25.91,26.02,5487144.0
2025-08-19,25.81,26.365,25.81,26.33,3103370.0
2025-08-18,25.86,26.01,25.66,25.68,3207126.0
2025-08-15,26.3,26.4,25.81,25.84,4414208.0
2025-08-14,26.04,26.36,25.92,26.3,3300963.0
2025-08-13,25.68,26.46,25.63,26.41,4369190.0
2025-08-12,25.44,25.715,25.25,25.62,3432356.0
2025-08-11,25.45,25.61,25.12,25.28,3034518.0
2025-08-08,25.7,25.83,25.4201,25.48,2407142.0
2025-08-07,25.93,26.1,25.485,25.71,3248334.0
2025-08-06,25.81,25.82,25.525,25.55,3767819.0
2025-08-05,25.35,25.9,25.29,25.8,4830668.0
2025-08-04,25.095,25.41,24.98,25.27,3823189.0
2025-08-01,25.22,25.33,24.72,25.08,4684780.0
2025-07-31,25.345,25.56,25.02,25.05,5651465.0
2025-07-30,25.96,26.35,25.395,25.54,3962276.0
2025-07-29,25.85,26.16,25.72,25.94,3968223.0
2025-07-28,26.23,26.42,25.84,25.88,4402020.0
2025-07-25,25.57,26.625,25.35,26.47,8976885.0
2025-07-24,25.97,26.05,25.435,25.68,7160391.0
2025-07-23,26.16,26.25,25.905,25.96,5336109.0
2025-07-22,25.27,26.24,25.225,26.17,5987999.0
2025-07-21,25.5,25.695,25.05,25.05,4597923.0
2025-07-18,25.73,25.77,25.155,25.31,5117352.0
2025-07-17,25.94,26.11,25.6,25.68,4674820.0
2025-07-16,25.54,25.94,25.355,25.9,5694513.0
2025-07-15,25.88,26.0705,25.33,25.35,3336407.0
2025-07-14,26.21,26.23,25.815,25.89,3425581.0
2025-07-11,26.2,26.37,25.85,26.31,3614241.0
2025-07-10,26.15,26.62,26.08,26.18,4524659.0
2025-07-09,26.19,26.34,26.075,26.15,5318028.0
2025-07-08,25.56,26.255,25.55,26.17,9423653.0
2025-07-07,26.37,26.37,25.56,25.64,4820433.0
2025-07-03,26.7,26.73,26.29,26.43,2532915.0
2025-07-02,26.34,26.85,26.25,26.7,3685983.0
2025-07-01,25.47,26.72,25.16,26.24,5075126.0
2025-06-30,25.93,26.0226,25.475,25.69,5887053.0
2025-06-27,25.97,26.28,25.7735,25.85,10612032.0
2025-06-26,26.22,26.365,26.01,26.32,3358611.0
2025-06-25,26.39,26.55,26.055,26.07,5057004.0
2025-06-24,26.69,26.8,26.51,26.65,2929311.0
2025-06-23,26.19,26.61,26.12,26.58,2493571.0
2025-06-20,26.13,26.43,26.02,26.18,6493307.0
2025-06-18,25.93,26.31,25.795,25.97,2664205.0
2025-06-17,26.695,26.695,25.791,25.87,3323186.0
2025-06-16,27.07,27.2,26.685,26.7,3341009.0
2025-06-13,27.09,27.315,26.63,26.8,2811651.0
2025-06-12,27.24,27.38,26.97,27.3,2341650.0
2025-06-11,27.69,27.86,27.255,27.36,3030763.0
