date,Open,High,Low,Close,Volume
2025-10-31,12.42,12.645,12.26,12.61,2903649.0
2025-10-30,12.95,13.2,12.55,12.59,3548823.0
2025-10-29,13.08,13.18,12.805,12.86,2135066.0
2025-10-28,13.01,13.26,12.995,13.07,2189648.0
2025-10-27,13.2,13.33,12.98,13.09,2643074.0
2025-10-24,13.24,13.3,13.095,13.11,2153565.0
2025-10-23,13.01,13.17,12.9,13.16,2049807.0
2025-10-22,12.93,13.18,12.93,13.03,2050769.0
2025-10-21,12.95,13.065,12.88,12.97,1748994.0
2025-10-20,12.65,12.94,12.58,12.93,3417339.0
2025-10-17,12.6,12.67,12.22,12.51,4165930.0
2025-10-16,12.87,12.875,12.53,12.62,3238859.0
2025-10-15,12.94,12.98,12.56,12.8,5537536.0
2025-10-14,12.01,12.51,11.895,12.47,3196261.0
2025-10-13,12.09,12.34,11.95,12.21,4203639.0
2025-10-10,12.18,12.19,11.69,11.83,6368010.0
2025-10-09,12.42,12.46,12.18,12.22,2752482.0
2025-10-08,12.29,12.62,12.22,12.38,2468389.0
2025-10-07,12.58,12.69,12.29,12.33,1993766.0
2025-10-06,13.19,13.22,12.5,12.52,4377518.0
2025-10-03,12.99,13.32,12.98,13.19,2196461.0
2025-10-02,12.97,13.12,12.825,12.96,2428901.0
2025-10-01,12.74,13.01,12.639,12.95,3702611.0
2025-09-30,12.58,12.73,12.485,12.69,2326721.0
2025-09-29,12.57,12.71,12.41,12.61,3337506.0
2025-09-26,12.23,12.55,12.14,12.5,3979179.0
2025-09-25,12.67,12.87,12.275,12.37,4721729.0
2025-09-24,12.93,13.075,12.825,12.87,2777520.0
2025-09-23,13.32,13.33,12.94,12.96,3020953.0
2025-09-22,13.13,13.33,13.105,13.24,2562455.0
2025-09-19,13.44,13.4982,13.04,13.16,6019803.0
2025-09-18,13.62,13.62,13.27,13.42,3058336.0
2025-09-17,13.61,14.035,13.405,13.43,2816565.0
2025-09-16,13.62,13.71,13.4945,13.62,2844572.0
2025-09-15,13.66,13.72,13.475,13.54,3789604.0
2025-09-12,13.86,13.86,13.5,13.53,3721048.0
2025-09-11,13.65,14.01,13.62,13.94,1995304.0
2025-09-10,13.89,14.1,13.68,13.7,2658217.0
2025-09-09,14.21,14.4724,13.9,13.91,3156757.0
2025-09-08,14.71,14.715,14.125,14.21,2170997.0
2025-09-05,14.49,14.86,14.46,14.62,2056403.0
2025-09-04,13.92,14.345,13.78,14.33,3023173.0
2025-09-03,13.73,13.935,13.71,13.91,2389400.0
2025-09-02,14.04,14.19,13.66,13.81,3061099.0
2025-08-29,14.31,14.38,14.07,14.3,1864548.0
2025-08-28,14.34,14.355,14.12,14.32,2379584.0
2025-08-27,14.3,14.51,14.18,14.33,3552660.0
2025-08-26,14.41,14.62,14.19,14.34,2892863.0
2025-08-25,14.65,14.66,14.3835,14.4,2815838.0
2025-08-22,14.02,14.715,14.02,14.66,2284241.0
2025-08-21,14.09,14.125,13.89,13.9,2326120.0
2025-08-20,13.95,14.4,13.9166,14.26,3414016.0
2025-08-19,13.97,14.31,13.85,14.03,2716753.0
2025-08-18,13.84,14.02,13.78,13.86,2997626.0
2025-08-15,14.0,14.1,13.795,13.85,2968584.0
2025-08-14,13.57,13.885,13.38,13.87,3929718.0
2025-08-13,13.09,14.0,13.01,13.85,5063065.0
2025-08-12,12.61,13.055,12.575,13.05,3423450.0
2025-08-11,12.95,13.03,12.52,12.525,5172465.0
2025-08-08,13.13,13.2802,12.615,12.96,7536020.0
2025-08-07,14.275,14.275,13.01,13.23,8150029.0
2025-08-06,14.08,14.14,13.5,13.68,5608999.0
2025-08-05,14.31,14.405,14.015,14.05,4310215.0
2025-08-04,14.44,14.7371,14.23,14.31,3247778.0
2025-08-01,14.22,14.445,14.02,14.3,6156643.0
2025-07-31,15.12,15.205,14.28,14.31,5690222.0
2025-07-30,16.12,16.25,15.45,15.47,3080516.0
2025-07-29,16.06,16.29,15.99,16.11,2172650.0
2025-07-28,16.02,16.21,15.885,16.07,2779022.0
2025-07-25,16.57,16.595,16.01,16.03,3278610.0
