date,Open,High,Low,Close,Volume
2025-10-31,3.09,3.35,3.09,3.32,7562454.0
2025-10-30,3.36,3.41,3.02,3.09,11511082.0
2025-10-29,3.66,3.68,3.41,3.43,4545512.0
2025-10-28,3.64,3.7,3.52,3.57,3436503.0
2025-10-27,3.62,3.66,3.54,3.63,2924301.0
2025-10-24,3.5,3.66,3.5,3.58,5878196.0
2025-10-23,3.2,3.49,3.2,3.48,5130200.0
2025-10-22,3.21,3.25,3.15,3.19,3273810.0
2025-10-21,3.19,3.28,3.15,3.21,3401017.0
2025-10-20,3.16,3.21,3.095,3.19,4497931.0
2025-10-17,3.08,3.16,3.025,3.1,3893170.0
2025-10-16,3.34,3.37,3.11,3.12,4463441.0
2025-10-15,3.29,3.39,3.2635,3.3,3595914.0
2025-10-14,3.2,3.32,3.17,3.24,4301918.0
2025-10-13,3.28,3.32,3.22,3.28,4473295.0
2025-10-10,3.46,3.52,3.16,3.17,6328942.0
2025-10-09,3.56,3.58,3.45,3.46,3562753.0
2025-10-08,3.63,3.67,3.5347,3.55,3843308.0
2025-10-07,3.69,3.82,3.585,3.63,6170072.0
2025-10-06,3.76,3.78,3.66,3.68,3240449.0
2025-10-03,3.8,3.94,3.73,3.75,3243107.0
2025-10-02,3.92,3.97,3.76,3.78,3053132.0
2025-10-01,3.76,3.89,3.76,3.88,3135595.0
2025-09-30,3.73,3.8,3.67,3.76,2151032.0
2025-09-29,3.78,3.8,3.71,3.76,2651752.0
2025-09-26,3.65,3.8,3.59,3.75,4002924.0
2025-09-25,3.71,3.74,3.57,3.64,4958391.0
2025-09-24,3.94,3.99,3.73,3.78,4498646.0
2025-09-23,4.16,4.27,3.91,3.92,7131537.0
2025-09-22,4.08,4.16,3.925,4.13,4644094.0
2025-09-19,4.015,4.15,3.9,4.1,30706320.0
2025-09-18,3.72,4.0,3.638,3.99,6088551.0
2025-09-17,3.75,3.88,3.615,3.67,5356535.0
2025-09-16,3.65,3.76,3.585,3.75,6793067.0
2025-09-15,3.67,3.69,3.5812,3.63,3711992.0
2025-09-12,3.7,3.74,3.63,3.68,3649324.0
2025-09-11,3.625,3.77,3.61,3.7,4302538.0
2025-09-10,3.7,3.74,3.61,3.62,3997282.0
2025-09-09,3.84,3.84,3.695,3.72,4367169.0
2025-09-08,3.9,3.905,3.74,3.83,5019393.0
2025-09-05,3.92,4.085,3.86,3.92,3506517.0
2025-09-04,3.8,3.91,3.75,3.88,2943317.0
2025-09-03,3.83,3.9,3.76,3.8,2739125.0
2025-09-02,3.9,3.9,3.72,3.83,4741888.0
2025-08-29,3.9,3.98,3.87,3.98,2576440.0
2025-08-28,3.93,3.939,3.8,3.9,3070503.0
2025-08-27,3.82,3.9389,3.74,3.88,5123854.0
2025-08-26,3.92,3.99,3.79,3.82,4296099.0
2025-08-25,3.91,3.99,3.83,3.93,3485053.0
2025-08-22,3.7,4.035,3.7,3.85,4877125.0
2025-08-21,3.8,3.81,3.6612,3.69,4898888.0
2025-08-20,3.93,3.93,3.8,3.82,5828349.0
2025-08-19,3.9,4.04,3.89,3.95,4493971.0
2025-08-18,4.0,4.01,3.85,3.86,4340469.0
2025-08-15,4.17,4.2,4.01,4.02,3484968.0
2025-08-14,4.27,4.27,4.06,4.14,3615409.0
2025-08-13,4.23,4.42,4.17,4.35,4144188.0
2025-08-12,4.22,4.41,4.195,4.22,3306393.0
2025-08-11,4.15,4.26,4.135,4.2,2513624.0
2025-08-08,4.26,4.325,4.1,4.17,3676124.0
2025-08-07,4.2,4.28,4.135,4.22,3368525.0
2025-08-06,4.26,4.6,4.1228,4.17,5251933.0
2025-08-05,4.15,4.22,4.06,4.07,3231761.0
2025-08-04,3.97,4.25,3.96,4.13,5146335.0
2025-08-01,4.01,4.19,3.9,3.935,7645768.0
2025-07-31,5.05,5.22,4.0,4.05,15714714.0
2025-07-30,5.52,5.57,5.2,5.22,3546536.0
2025-07-29,5.95,5.995,5.48,5.5,3082549.0
2025-07-28,6.08,6.08,5.86,5.95,1906512.0
2025-07-25,5.93,6.1,5.865,6.08,2295392.0
2025-07-24,6.52,6.545,5.9,5.93,5437222.0
2025-07-23,5.94,6.8,5.94,6.65,10791059.0
2025-07-22,5.21,5.88,5.21,5.83,4864070.0
2025-07-21,5.14,5.35,5.135,5.2,3162315.0
2025-07-18,5.01,5.08,4.87,5.07,3656801.0
2025-07-17,4.92,5.04,4.92,4.95,2266450.0
2025-07-16,4.88,5.0,4.81,4.92,3125801.0
2025-07-15,5.15,5.2,4.84,4.87,4834318.0
2025-07-14,5.07,5.15,4.99,5.09,3246268.0
