date,Open,High,Low,Close,Volume
2025-10-31,151.17,151.857,149.75,150.85,1347614.0
2025-10-30,152.66,154.27,151.42,151.53,1508843.0
2025-10-29,152.03,153.905,151.365,152.95,1355449.0
2025-10-28,152.74,153.06,146.4644,150.5,2365287.0
2025-10-27,149.005,150.4,148.38,149.4,1688175.0
2025-10-24,148.22,148.92,147.23,148.25,1029277.0
2025-10-23,146.02,148.053,146.02,147.69,920106.0
2025-10-22,147.51,148.47,145.99,145.99,833818.0
2025-10-21,146.37,147.75,146.21,147.19,812763.0
2025-10-20,146.96,147.575,145.57,146.76,728835.0
2025-10-17,144.73,146.19,144.25,145.91,1145085.0
2025-10-16,146.05,146.25,143.61,144.83,1462918.0
2025-10-15,147.12,147.62,144.81,145.77,957152.0
2025-10-14,144.52,147.475,144.0,146.57,905080.0
2025-10-13,145.09,146.79,144.3,146.0,851298.0
2025-10-10,147.27,147.53,144.255,144.32,1403575.0
2025-10-09,147.67,148.81,146.02,146.81,878810.0
2025-10-08,148.78,149.3,147.295,148.19,1029490.0
2025-10-07,150.1,150.47,146.885,148.13,1190843.0
2025-10-06,149.92,151.16,148.42,149.9,1330568.0
2025-10-03,148.68,150.98,147.4201,149.85,1245594.0
2025-10-02,148.49,149.93,147.495,149.01,1347144.0
2025-10-01,146.4,148.12,145.21,147.88,1321001.0
2025-09-30,144.03,147.95,143.86,147.5,1841048.0
2025-09-29,143.77,144.36,142.96,143.95,1087688.0
2025-09-26,141.95,143.1,141.39,143.03,795424.0
2025-09-25,140.74,141.739,140.0672,141.45,942890.0
2025-09-24,142.83,143.415,141.25,141.46,1065869.0
2025-09-23,144.0,144.305,142.25,143.11,957773.0
2025-09-22,142.03,143.93,141.9,143.54,1002953.0
2025-09-19,142.89,143.81,141.61,142.88,2435703.0
2025-09-18,141.38,143.34,141.38,142.18,1303638.0
2025-09-17,141.58,143.395,140.3113,140.99,1200500.0
2025-09-16,142.05,142.115,139.945,140.72,1109006.0
2025-09-15,142.0,142.86,141.215,141.74,1194147.0
2025-09-12,141.53,142.2,141.19,141.55,1432810.0
2025-09-11,138.03,142.52,137.0601,141.8,1705612.0
2025-09-10,137.9,138.81,137.0,137.73,1133434.0
2025-09-09,139.26,139.78,136.33,137.55,1205297.0
2025-09-08,140.51,140.82,139.21,140.03,1421016.0
2025-09-05,142.65,143.13,139.51,140.56,1170908.0
2025-09-04,139.87,141.94,139.54,141.94,870278.0
2025-09-03,140.37,140.725,139.04,139.7,1081266.0
2025-09-02,140.56,140.8474,139.11,140.35,1328697.0
2025-08-29,143.79,144.2536,141.4,141.56,1114452.0
2025-08-28,144.5,144.5,143.42,144.01,961010.0
2025-08-27,143.45,144.83,143.45,144.62,835795.0
2025-08-26,142.56,143.64,142.0,143.34,1524055.0
2025-08-25,143.67,144.83,142.56,142.67,897193.0
2025-08-22,141.09,144.25,140.695,143.74,1186121.0
