date,Open,High,Low,Close,Volume
2025-10-31,138.42,138.46,137.33,138.21,2422808.0
2025-10-30,139.05,140.03,137.37,139.06,2065527.0
2025-10-29,140.26,140.585,138.29,139.19,1620806.0
2025-10-28,142.21,143.18,141.05,141.09,1451399.0
2025-10-27,143.61,144.38,142.0301,142.98,1743828.0
2025-10-24,146.07,147.205,143.14,143.36,1289107.0
2025-10-23,147.43,147.98,145.23,146.37,1238218.0
2025-10-22,148.8,149.53,147.22,147.38,1180537.0
2025-10-21,148.14,149.1,147.14,148.53,1491803.0
2025-10-20,145.53,148.55,145.35,148.16,1992055.0
2025-10-17,143.77,146.24,143.22,145.25,1503060.0
2025-10-16,144.23,144.475,142.21,143.38,1497967.0
2025-10-15,143.97,146.04,143.605,144.51,1492918.0
2025-10-14,139.65,144.62,139.29,143.98,2096060.0
2025-10-13,141.07,142.11,139.8601,140.47,2168001.0
2025-10-10,144.39,144.39,141.29,141.62,2055300.0
2025-10-09,145.36,146.3,142.68,142.69,1371008.0
2025-10-08,146.37,146.71,145.235,146.03,1150601.0
2025-10-07,148.34,148.53,144.75,146.72,1657106.0
2025-10-06,150.09,150.67,148.605,148.78,1394964.0
2025-10-03,150.99,151.23,149.83,150.69,1288535.0
2025-10-02,152.29,153.05,150.74,151.35,1800754.0
2025-10-01,152.59,153.75,151.21,153.19,1991509.0
2025-09-30,153.62,154.47,151.86,152.0,1898762.0
2025-09-29,153.51,155.05,152.75,153.94,1742682.0
2025-09-26,150.73,152.815,150.58,152.7,1208661.0
2025-09-25,149.31,151.09,149.31,150.41,1442639.0
2025-09-24,148.84,149.54,146.96,149.45,2808360.0
2025-09-23,148.41,149.72,147.035,149.44,1616456.0
2025-09-22,145.62,149.6,145.49,149.27,1939231.0
2025-09-19,145.32,146.95,145.12,145.66,3068593.0
2025-09-18,146.63,147.835,144.8001,145.26,1747387.0
2025-09-17,148.34,150.075,147.89,148.26,2042693.0
2025-09-16,148.9,149.92,147.205,148.01,2370593.0
2025-09-15,149.8,150.32,148.9,148.9,2605429.0
2025-09-12,149.0,150.53,148.515,149.49,1809477.0
2025-09-11,146.7,149.58,146.115,149.14,2609698.0
2025-09-10,145.42,147.0625,144.8,146.02,1947136.0
2025-09-09,147.61,148.1,145.66,145.78,1637792.0
2025-09-08,144.0,148.04,143.23,147.99,2187676.0
2025-09-05,143.74,146.11,143.74,144.58,1455825.0
2025-09-04,144.66,145.36,142.35,143.67,1484375.0
2025-09-03,144.72,145.02,143.9,144.55,1531382.0
2025-09-02,145.27,146.18,144.31,145.44,1619041.0
2025-08-29,145.41,147.35,145.3975,146.97,1473397.0
2025-08-28,145.13,145.73,143.98,145.47,1616976.0
2025-08-27,146.96,147.18,144.96,145.33,1812874.0
2025-08-26,146.92,147.965,145.98,147.03,1664964.0
2025-08-25,148.19,148.68,146.68,146.89,1404464.0
2025-08-22,148.6,149.96,147.4,147.87,1995361.0
2025-08-21,148.68,149.05,147.59,148.01,1943772.0
2025-08-20,152.98,152.98,147.55,149.34,2606883.0
2025-08-19,149.3,153.07,149.275,152.01,1952784.0
2025-08-18,148.19,151.11,147.9,149.34,2182850.0
2025-08-15,146.84,149.11,146.45,148.18,2604287.0
