date,Open,High,Low,Close,Volume
2025-10-31,98.65,101.865,98.0,100.56,2124789.0
2025-10-30,99.17,99.99,98.74,99.56,1416318.0
2025-10-29,100.67,101.015,99.14,99.71,1019092.0
2025-10-28,103.15,103.15,100.955,101.14,956512.0
2025-10-27,103.15,103.505,102.5301,103.12,993620.0
2025-10-24,103.71,104.15,102.43,103.03,1118545.0
2025-10-23,103.17,103.665,101.805,103.16,1126630.0
2025-10-22,103.49,106.88,103.265,103.98,2214767.0
2025-10-21,102.81,103.12,102.13,102.69,800955.0
2025-10-20,102.33,103.78,102.19,102.74,1636042.0
2025-10-17,99.82,102.1,99.06,101.92,1158906.0
2025-10-16,99.52,100.56,99.235,99.92,1000153.0
2025-10-15,97.98,100.89,97.98,99.38,2313245.0
2025-10-14,94.61,98.74,94.61,98.37,1349552.0
2025-10-13,94.91,96.3299,94.01,95.09,1485368.0
2025-10-10,97.59,97.65,94.64,94.71,1256692.0
2025-10-09,98.68,98.877,97.05,97.37,810001.0
2025-10-08,98.66,98.66,97.535,98.36,1100660.0
2025-10-07,99.43,99.86,98.56,99.06,920810.0
2025-10-06,101.03,101.31,98.78,98.83,1065643.0
2025-10-03,99.18,101.11,99.13,100.78,896224.0
2025-10-02,98.24,99.32,97.89,99.17,730480.0
2025-10-01,98.83,99.3286,96.055,98.89,1193558.0
2025-09-30,97.95,98.67,97.52,98.5,1188265.0
2025-09-29,98.06,98.52,96.6,98.28,928955.0
2025-09-26,97.31,98.52,97.0,98.24,884333.0
2025-09-25,98.06,98.38,96.215,96.97,1060028.0
2025-09-24,99.72,100.3,98.75,98.98,1406872.0
2025-09-23,101.66,103.6,99.86,100.29,1429974.0
2025-09-22,99.4,102.1,99.01,101.74,1531579.0
2025-09-19,101.15,101.45,99.7101,100.09,4228508.0
2025-09-18,100.74,101.3,98.45,100.21,1304550.0
2025-09-17,99.45,101.65,99.14,99.92,1648036.0
2025-09-16,100.25,100.69,98.67,99.12,1734893.0
2025-09-15,103.16,103.5,100.77,100.96,957827.0
2025-09-12,103.67,104.1,102.9,103.08,883472.0
2025-09-11,102.31,104.49,101.95,104.26,1147597.0
2025-09-10,103.21,104.07,102.16,102.3,1576835.0
2025-09-09,104.01,104.755,103.69,103.85,1282667.0
2025-09-08,105.4,105.5,103.28,104.71,1780248.0
2025-09-05,104.77,106.2,104.49,105.73,1168434.0
2025-09-04,104.99,105.3391,104.09,104.76,998948.0
