date,Open,High,Low,Close,Volume
2025-10-31,264.53,272.08,261.49,269.25,659281.0
2025-10-30,267.84,268.2958,260.45,261.37,943864.0
2025-10-29,274.89,277.0,268.73,270.77,1087637.0
2025-10-28,293.495,293.495,259.01,274.31,3140923.0
2025-10-27,311.93,314.58,309.3,310.57,975442.0
2025-10-24,318.48,320.88,308.465,308.82,600957.0
2025-10-23,302.77,314.39,302.77,313.89,747560.0
2025-10-22,305.78,307.13,299.21,302.63,399080.0
2025-10-21,301.09,308.63,301.09,306.21,370099.0
2025-10-20,297.1,304.74,297.1,301.45,383736.0
2025-10-17,292.92,295.42,290.6852,293.31,413022.0
2025-10-16,294.99,297.49,288.88,293.93,423189.0
2025-10-15,292.69,295.735,287.865,293.345,582758.0
2025-10-14,277.0,291.0,277.0,288.99,510591.0
2025-10-13,280.39,286.71,278.45,281.96,568861.0
2025-10-10,299.41,300.95,275.76,275.89,995850.0
2025-10-09,307.19,308.2675,294.79,298.79,645592.0
2025-10-08,300.74,308.55,298.01,307.28,577781.0
2025-10-07,303.61,304.0973,295.93,296.64,476796.0
2025-10-06,308.08,309.085,298.96,301.94,558208.0
2025-10-03,299.11,311.44,298.4,305.01,452259.0
2025-10-02,294.0,296.77,291.51,295.85,450078.0
2025-10-01,295.31,297.32,290.56,291.79,537320.0
2025-09-30,294.93,298.71,292.09,297.16,500667.0
2025-09-29,302.75,303.78,296.7,296.92,482271.0
2025-09-26,301.58,303.25,297.03,299.77,479907.0
2025-09-25,304.6,305.995,299.25,301.97,396305.0
2025-09-24,314.0,315.495,307.08,308.48,282573.0
2025-09-23,317.74,322.804,312.66,314.05,470539.0
2025-09-22,316.47,318.5,315.06,315.41,382582.0
2025-09-19,323.02,323.02,315.57,318.54,630499.0
2025-09-18,321.84,325.2359,321.2849,322.88,479405.0
2025-09-17,318.39,322.28,312.81,317.32,539079.0
2025-09-16,319.68,322.135,316.96,318.41,495299.0
2025-09-15,314.76,323.9299,313.01,320.91,486359.0
2025-09-12,314.25,315.985,311.29,312.65,517033.0
2025-09-11,306.19,316.52,303.48,316.01,407396.0
2025-09-10,311.96,316.22,305.0,306.19,636712.0
2025-09-09,312.57,313.57,309.67,312.17,447499.0
2025-09-08,313.84,318.2,311.28,313.8,603040.0
2025-09-05,315.27,315.345,307.42,313.8,454928.0
2025-09-04,307.0,312.055,305.0,311.25,418446.0
2025-09-03,307.23,308.35,303.55,305.71,345005.0
2025-09-02,310.71,313.18,305.4301,307.07,732079.0
2025-08-29,321.66,321.66,315.825,317.09,441230.0
2025-08-28,323.36,324.83,321.91,322.0,261776.0
2025-08-27,319.54,322.05,318.31,321.43,395185.0
2025-08-26,319.87,324.13,318.175,320.58,619212.0
2025-08-25,321.74,322.885,319.51,319.55,311499.0
2025-08-22,310.33,324.26,310.33,322.79,495419.0
2025-08-21,304.27,309.98,302.71,308.51,392811.0
2025-08-20,310.24,310.525,302.83,304.74,652140.0
2025-08-19,316.98,321.69,311.39,312.06,542843.0
2025-08-18,318.67,322.08,317.0,317.48,360236.0
2025-08-15,327.98,328.32,316.21,317.9,523966.0
2025-08-14,334.92,337.485,326.16,327.71,604802.0
2025-08-13,329.65,338.17,329.25,337.8,539308.0
2025-08-12,315.82,328.57,311.76,328.14,628534.0
2025-08-11,317.95,320.85,310.62,312.45,535581.0
2025-08-08,319.03,323.75,316.31,317.66,612541.0
2025-08-07,313.05,320.0,308.07,316.01,786233.0
2025-08-06,303.01,309.08,299.48,308.31,1127537.0
2025-08-05,350.635,350.635,300.75,302.6,2001786.0
2025-08-04,337.86,342.405,337.015,341.36,1032596.0
2025-08-01,329.71,336.95,321.945,335.24,976377.0
2025-07-31,334.44,352.66,329.21,339.02,1351275.0
2025-07-30,333.62,337.71,329.83,332.39,367977.0
2025-07-29,337.26,338.2025,330.68,331.6,236912.0
2025-07-28,337.8,337.8,334.37,334.69,303202.0
2025-07-25,334.16,336.15,329.4,335.69,298320.0
2025-07-24,334.71,336.0575,333.0,333.4,317946.0
2025-07-23,331.0,337.07,328.58,336.77,368403.0
2025-07-22,328.1,330.15,324.46,328.1,434760.0
2025-07-21,332.16,334.0,328.27,328.38,371863.0
2025-07-18,331.7,332.675,328.6001,331.73,426632.0
2025-07-17,320.55,331.295,320.55,329.9,393394.0
2025-07-16,321.21,321.21,312.69,319.47,297952.0
2025-07-15,325.22,325.9272,317.46,319.55,297471.0
2025-07-14,325.19,329.56,319.39,322.83,379066.0
